song_rank,song_name,song_link
1,Taste,https://y.qq.com/n/ryqq/songDetail/002yNKiu2Gi3jJ
2,"Good Luck, Babe!",https://y.qq.com/n/ryqq/songDetail/001Zw5zl0kk7cQ
3,Espresso (Explicit),https://y.qq.com/n/ryqq/songDetail/00472drk2HXHK9
4,Please Please Please (Explicit),https://y.qq.com/n/ryqq/songDetail/002794rL06Vnmn
5,Die With A Smile,https://y.qq.com/n/ryqq/songDetail/001Vmfb23BTQXG
6,BACKBONE (Explicit),https://y.qq.com/n/ryqq/songDetail/004Fi84v46DJHX
7,Kisses (feat. bbyclose),https://y.qq.com/n/ryqq/songDetail/000yfeXs2qte6b
8,The Emptiness Machine (Explicit),https://y.qq.com/n/ryqq/songDetail/000weNxB2OCFuH
9,HOT TO GO!,https://y.qq.com/n/ryqq/songDetail/001deek94COiuI
10,Somedays,https://y.qq.com/n/ryqq/songDetail/000zb0hA0jWBot
11,Guess featuring Billie Eilish,https://y.qq.com/n/ryqq/songDetail/000AfZud3hj1Gl
12,Dancing In The Flames,https://y.qq.com/n/ryqq/songDetail/002xm6DC1HpH7s
13,Sailor Song,https://y.qq.com/n/ryqq/songDetail/004gNyYI2c5bEd
14,It's ok I'm ok (Explicit),https://y.qq.com/n/ryqq/songDetail/004A0wGb2wzPb2
15,Move,https://y.qq.com/n/ryqq/songDetail/0006EFeD2yBVCd
16,The Door,https://y.qq.com/n/ryqq/songDetail/002s2ukv2kLerm
17,Apple,https://y.qq.com/n/ryqq/songDetail/003j112m1O04Ai
18,"I Love You, I'm Sorry (Explicit)",https://y.qq.com/n/ryqq/songDetail/003JX6LL04wjHD
19,Angel Of My Dreams,https://y.qq.com/n/ryqq/songDetail/000to2qX0ilT9O
20,BIRDS OF A FEATHER,https://y.qq.com/n/ryqq/songDetail/002V2peX1YZpo8
