song_rank,song_name,song_link
1,Not Like Us (Explicit),https://y.qq.com/n/ryqq/songDetail/000yRsUf34kFDy
2,A Bar Song (Tipsy) (Explicit),https://y.qq.com/n/ryqq/songDetail/003BuBYI2BVnGq
3,MILLION DOLLAR BABY,https://y.qq.com/n/ryqq/songDetail/001qiqTF3YRcor
4,Lose Control,https://y.qq.com/n/ryqq/songDetail/002nY9VY2Q990J
5,Tobey (Explicit),https://y.qq.com/n/ryqq/songDetail/001Tmrre2Zupzz
6,Beautiful Things,https://y.qq.com/n/ryqq/songDetail/001NtCWx1Sk6Gh
7,I Had Some Help (Explicit),https://y.qq.com/n/ryqq/songDetail/003H7AVL23rA7L
8,TGIF (Explicit),https://y.qq.com/n/ryqq/songDetail/002Ktzp93RGccc
9,Wanna Be (Explicit),https://y.qq.com/n/ryqq/songDetail/004XQ4Os1uGrnY
10,Si No Quieres No,https://y.qq.com/n/ryqq/songDetail/001CUFGB27A777
11,Espresso (Explicit),https://y.qq.com/n/ryqq/songDetail/00472drk2HXHK9
12,Si Antes Te Hubiera Conocido,https://y.qq.com/n/ryqq/songDetail/000nM1w00cXp2C
13,Please Please Please,https://y.qq.com/n/ryqq/songDetail/002tZMjD3AQX50
14,Houdini (Explicit),https://y.qq.com/n/ryqq/songDetail/004CBk063vjUXj
15,Gata Only (Explicit),https://y.qq.com/n/ryqq/songDetail/000gUSwc1EDHNm
16,Like That (Explicit),https://y.qq.com/n/ryqq/songDetail/001hte5P4ZJEcI
17,BAND4BAND (Explicit),https://y.qq.com/n/ryqq/songDetail/001I6kOC0pQMpO
18,KEHLANI (Explicit),https://y.qq.com/n/ryqq/songDetail/000z3Xsd11mED2
19,Too Sweet,https://y.qq.com/n/ryqq/songDetail/00196avp09MNjZ
20,Get It Sexyy (Explicit),https://y.qq.com/n/ryqq/songDetail/002PjiW64R57XA
