song_rank,song_name,song_link
1,青花,https://y.qq.com/n/ryqq/songDetail/002MFDAV3rPFlo
2,爱错,https://y.qq.com/n/ryqq/songDetail/004fneUm24gD2c
3,谦让,https://y.qq.com/n/ryqq/songDetail/001oYN8z1WeC4z
4,我们的歌,https://y.qq.com/n/ryqq/songDetail/000NqZLy2lfXjT
5,执子之手,https://y.qq.com/n/ryqq/songDetail/002PHUNR3keaWh
6,白鸽乌鸦相爱的戏码,https://y.qq.com/n/ryqq/songDetail/0015mXCG0EJg42
7,西海情歌,https://y.qq.com/n/ryqq/songDetail/003IjD3G3xCgJv
8,喀什噶尔胡杨,https://y.qq.com/n/ryqq/songDetail/000Bu8mr1ieJes
9,经过原神四周年主题曲中文版,https://y.qq.com/n/ryqq/songDetail/001PiWfo2pSlN8
10,如果爱忘了 (Live),https://y.qq.com/n/ryqq/songDetail/004XJHyS3QhnMs
11,若月亮没来 (若是月亮还没来),https://y.qq.com/n/ryqq/songDetail/002Mu8Y03KLEjY
12,不要慌太阳下山有月光,https://y.qq.com/n/ryqq/songDetail/004eAKWY4BBU05
13,冲动的惩罚,https://y.qq.com/n/ryqq/songDetail/003mkTmw0vPHlE
14,无名的人《雄狮少年》电影主题曲,https://y.qq.com/n/ryqq/songDetail/002QhULf16tWw1
15,爱你,https://y.qq.com/n/ryqq/songDetail/001OKasF2hhpiE
16,不负众望,https://y.qq.com/n/ryqq/songDetail/001LTrBP0kJEiD
17,有爱就不怕,https://y.qq.com/n/ryqq/songDetail/0045KdZS1wyStR
18,感谢你曾来过,https://y.qq.com/n/ryqq/songDetail/0042xeq137FRKW
19,偏爱《仙剑奇侠传3》电视剧插曲,https://y.qq.com/n/ryqq/songDetail/003Ho2cO2RXwUc
20,如果可以《月老》电影主题曲,https://y.qq.com/n/ryqq/songDetail/003JOgMV1LeXOC
