song_rank,song_name,song_link
1,A Bar Song (Tipsy) (Explicit),https://y.qq.com/n/ryqq/songDetail/003BuBYI2BVnGq
2,I Had Some Help,https://y.qq.com/n/ryqq/songDetail/001CnftC2R7Kl5
3,Espresso (Explicit),https://y.qq.com/n/ryqq/songDetail/00472drk2HXHK9
4,"Good Luck, Babe!",https://y.qq.com/n/ryqq/songDetail/001Zw5zl0kk7cQ
5,Die With A Smile,https://y.qq.com/n/ryqq/songDetail/001Vmfb23BTQXG
6,BIRDS OF A FEATHER,https://y.qq.com/n/ryqq/songDetail/002V2peX1YZpo8
7,Lose Control,https://y.qq.com/n/ryqq/songDetail/002nY9VY2Q990J
8,Taste,https://y.qq.com/n/ryqq/songDetail/002yNKiu2Gi3jJ
9,Please Please Please,https://y.qq.com/n/ryqq/songDetail/002tZMjD3AQX50
10,Not Like Us (Explicit),https://y.qq.com/n/ryqq/songDetail/000yRsUf34kFDy
11,Beautiful Things,https://y.qq.com/n/ryqq/songDetail/001NtCWx1Sk6Gh
12,MILLION DOLLAR BABY (VHS),https://y.qq.com/n/ryqq/songDetail/003lKoxk1xjb6H
13,Too Sweet,https://y.qq.com/n/ryqq/songDetail/00196avp09MNjZ
14,Dancing In The Flames,https://y.qq.com/n/ryqq/songDetail/002xm6DC1HpH7s
15,ALL RED (Explicit),https://y.qq.com/n/ryqq/songDetail/000R0txB1G9jUp
16,Ain't No Love In OklahomaFrom Twisters: The Album,https://y.qq.com/n/ryqq/songDetail/000HjNY90zaHba
17,HOT TO GO!,https://y.qq.com/n/ryqq/songDetail/001deek94COiuI
18,Miles on It,https://y.qq.com/n/ryqq/songDetail/001mN5ET3LReQE
19,Lies Lies Lies,https://y.qq.com/n/ryqq/songDetail/004TqGWE0TMyUm
20,It's ok I'm ok (Explicit),https://y.qq.com/n/ryqq/songDetail/004A0wGb2wzPb2
