song_rank,song_name,song_link
1,HAPPY,https://y.qq.com/n/ryqq/songDetail/003PnVrc3WKi3N
2,Welcome to the Show,https://y.qq.com/n/ryqq/songDetail/001XhVNv08UayM
3,Supernova,https://y.qq.com/n/ryqq/songDetail/000JBYAP1N4s5M
4,녹아내려요 (Melt Down),https://y.qq.com/n/ryqq/songDetail/000hPX2Z31pB8B
5,한 페이지가 될 수 있게 (Time of Our Life),https://y.qq.com/n/ryqq/songDetail/004RrAwn3YCCtF
6,클락션 (Klaxon),https://y.qq.com/n/ryqq/songDetail/0007g2Kk4XEUvs
7,Small girl (feat. 도경수(D.O.)),https://y.qq.com/n/ryqq/songDetail/001FtZMu2ZjjBK
8,소나기 (Sudden Shower) (阵雨)《背着善宰跑》韩剧插曲,https://y.qq.com/n/ryqq/songDetail/003Ocm5524NA78
9,How Sweet,https://y.qq.com/n/ryqq/songDetail/002L8GpS1zi9mj
10,Sticky,https://y.qq.com/n/ryqq/songDetail/003MkCMG1lrO6n
11,예뻤어 (很漂亮),https://y.qq.com/n/ryqq/songDetail/001CC2PY4QcBsP
12,Supernatural,https://y.qq.com/n/ryqq/songDetail/003kva882toU7E
13,고민중독 (T.B.H),https://y.qq.com/n/ryqq/songDetail/004QoO4p297rQQ
14,Supersonic,https://y.qq.com/n/ryqq/songDetail/001sH2lv2vSlW9
15,나는 아픈 건 딱 질색이니까 (Fate),https://y.qq.com/n/ryqq/songDetail/0027JyIX098fLu
16,천상연,https://y.qq.com/n/ryqq/songDetail/002ecvV24Fntaj
17,첫 만남은 계획대로 되지 않아 (plot twist) (初次见面并不按计划进行),https://y.qq.com/n/ryqq/songDetail/002DQFDz4VpodY
18,Magnetic,https://y.qq.com/n/ryqq/songDetail/001pQxBw1N2qnM
19,Armageddon,https://y.qq.com/n/ryqq/songDetail/0009P3Z41GHGav
20,Bubble Gum,https://y.qq.com/n/ryqq/songDetail/000873mh4PAtcA
