Username,CommentContent,Time,Location
世漫一,宁宁夸夸楼！卧槽宁艺卓美死我了啊啊啊啊啊啊啊啊啊真是美得我恨不得又哭又叫从五行山下嗖一声窜出来跑遍五岳爬珠穆朗玛峰跑哭来一个螺旋跪地为您的美丽而哭泣到震撼灵魂出窍五脏六腑颤抖眼泪形成长江黄河太平洋滋美了整个中国,5月27日 17:00  ,广西
黑粉,柳智敏美神降临！尖叫楼！！！,5月27日 17:00  ,安徽
D.XyZ,aespa每一次回归都是next level，绝不会被任何人踩在脚下！,5月27日 17:00  ,河南
黑粉,狠狠奖励一下fsh！踩！踩！踩！🦶aespa一飞冲天！！！🚀🚀🚀💥💥💥,5月27日 17:00  ,安徽
米苏ღ.,绝了，完全二代团的味道有人懂吗好sm的一首，伟大，歌曲，舞蹈和妆造全部都是top级别，小吒吒,5月27日 17:00  ,广东
D.XyZ,宁艺卓绝美！！！冲冲冲！！！,5月27日 17:00  ,河南
米苏ღ.,团粉驾到！There are aespa！️🦋柳·蛇系女王·智敏Karina内永亚·酷拽樱花·绘里Giselle金·战斗武担·玟庭Winter️宁·绝美主唱·艺卓NingNing🦋aespa冲冲冲！！！,5月27日 17:00  ,广东
^^,金冬天尖叫楼啊啊啊啊,5月27日 17:00  ,浙江
anonymous,柳智敏做得好！！柳智敏尖叫楼,5月27日 17:01  ,福建
Soowinnn%kk^🖇,好喜欢旼炡（慢慢合上双眼）（缓缓倒下）（咚）（面带微笑）（左手放在胸前）（安详的死去）（灵魂从头上飘出）（双手合十）（带着和蔼的笑容）（慢慢飘向天堂）要怎么形容旼炡呢？我想可能是凌晨四点未眠的海棠花，是世界上唯一一朵玫瑰，是一天内的四十四次日落，是眼底的克莱因蓝，是白雪下连绵不绝的向日葵，是21g的心脏，是盛夏的最后一缕风，是恋火焚身时眼里的眷恋，是时间停止依旧为爱意跳动的心，是崇拜与狂热，是孤僻与荒凉，是热茶与沉醉，是疯狂与张扬，虽然我能说会道，但是看见旼炡的样子我还是找不出最完美的词来形容，千言万语汇成一句话不过是：旼炡，我爱你！！！,5月27日 17:00  ,福建
KKeithy,永远相信宁艺卓啊啊啊啊啊 牛,5月27日 17:00  ,四川
Jade,历代级，天花板，教科书，Artpop，我这辈子没有看过这么牛的MV（上一次被MV惊艳到还是psycho）我可以永远相信SM了,5月27日 17:00  ,广西
米苏ღ.,nova宝你的任务是打倒水货,5月27日 17:00  ,广东
R.,冬冬啊啊啊啊啊啊美死我了啊啊啊啊啊啊,5月27日 17:01  ,辽宁
imnotyuan,这首歌听起来好熟悉，应该是采样了下个月的月冠曲,5月27日 17:33  ,浙江
栀哼雨巷,好听,15:36  ,河南
XxB.,好听,15:16  ,四川
BTS-闵柾亨,,12:51  ,河南
胸肌臀肌大腿肌，真源走进我心里,让一下！！！吉赛尔五腿一，五写一，五鬼塑一驾到！！！,9月29日 23:45  ,河南
061,免费了哈哈哈哈,9月29日 23:15  ,北京
Z-ON,,9月29日 23:11  ,湖南
柯西莫,就是高级,9月29日 21:14  ,辽宁
叫我小溯,柳智敏,9月29日 20:42  ,上海
旺旺,宁宁主唱发挥稳定,9月29日 20:15  ,辽宁
Arelia,五代第一aespa！！！,9月29日 19:58  ,河北
-,#听Armageddon送福利#,9月29日 17:59  ,广东
"你还挺贱的,",我滴妈 终于可以听了💅,9月29日 14:39  ,辽宁
有言以對,小吒吒这首歌特别配电锯人 天启四骑士这个设定太棒了,9月29日 13:23  ,贵州
Cold-blooded,艾斯怕所有歌当中最好听的，没有之一，其次是Thirsty,9月29日 12:12  ,山东
yumi_瑶花,哈哈哈，看了雨琦直播才去听这首歌的。,9月29日 11:01  ,广东
pporappippam,早八deng一下,9月29日 08:54  ,四川
你的心思到底用在谁那里,#听Armageddon送福利#,9月29日 08:21  ,浙江
L,四个神，漂亮孩子的旁边还是漂亮孩子,9月29日 03:33  ,广东
微笑土豆🥔,#听Armageddon送福利#,9月28日 23:19  ,河南
27,宁宁宝宝,9月28日 22:09  ,湖南
👿（见过刘知珉版）,#听Armageddon送福利#,9月28日 21:43  ,中国香港
荆条花,#听Armageddon送福利#,9月28日 20:17  ,山东
巷雨,考试前不敢听 考试完了之后直接听哈哈哈哈哈哈哈哈,9月28日 20:07  ,河北
L  C  Y,aespa里面你们最喜欢谁呀,9月28日 20:00  ,重庆
BornInsnow,兜风神曲,9月28日 16:43  ,福建
