Username,CommentContent,Time,Location
Ares,泳知少女的一些不像自卑的自卑…看mv 后面的动画都璟秀重新贴上创可贴的时候跟着泳知少女一起流泪了🥹即使你没有小脸蛋红嘴唇，但是拥有大的声音，大的性格的你一样值得被爱🥲🥲泳知少女我要像鬼一样一直缠着你,6月21日 18:15  ,中国香港
clru.l,特别好听就是最后一幕我有点碎了,6月21日 17:38  ,山东
Yuyi,“只有弱小的男人才承受不住强大的女人，你根本不需要去改变自己，你只需要去寻找那个能承受住你的强大男人。”Whatever，泳知你超级有魅力啊啊啊！,6月21日 19:07  ,海南
脆皮熊,好嗓。多唱。但是杜静修我吃醋了我吃醋了我吃醋了。,6月21日 17:42  ,未知
叶岛纪暻,好期待嘟嘟能去泳知妹子的虽没菜,6月21日 17:46  ,安徽
stay with loey,特别喜欢，双厨狂喜！高个子性格粗放大大咧咧的女孩子在日常生活中总是很强悍的样子，其实也是想变成一个small girl想去得到别人关爱，会在爱情里常常陷入自卑，质问自己有没有资格去得到这样的爱情，所以需要一个常常肯定自己的伴侣，这首歌完全把内心表现出来了，和妹宝共鸣了,6月21日 18:14  ,山东
没好睡,mv真的好好看！最后那个脸颊bobo妹的反应好好笑哈哈哈哈哈哈 一时不知道该羡慕谁哈哈 妹宝：啊啊啊啊啊都暻秀亲我脸了 米球搜！！（感觉像是突然袭击kk）,6月21日 17:45  ,河南
Kathy,小巧可爱的女生也会有疑问“他会不会更喜欢长腿御姐呢？”所以各位请不自卑，说不定对方就喜欢你呢？,6月21日 19:50  ,黑龙江
oasis,泳知是邀请都暻秀feat，感谢妹妹的同时希望评论区留言的各位都是对作品的评价，给其他点进来的人留下一些好的观感,6月21日 18:53  ,四川
自信的寒冰菇,很棒 很好听   只是先和都暻秀先生绝交一天😶🙁🥲,6月21日 18:14  ,安徽
自信的寒冰菇,认认真真看着歌词又听了一遍……感受到充沛的情感……呜呜呜好有共鸣……歌真的很好🥹……敏感细腻的心思……如果我再娇小一点 再漂亮一点 你是不是就能喜欢我了？……哎呦……宝宝……,6月21日 20:37  ,安徽
9,来自韩国京畿道日山的都暻秀先生你好，我现在不是很喜欢你了，歌曲好听，都暻秀坏，李咏知好,6月21日 19:08  ,河南
Tay&D.O.,和嘟嘟绝交一会，让🐧自己猜,6月21日 19:13  ,河南
见椿,骨架大女生狠狠共情了这首歌...我喜欢可爱衣服但穿上总很奇怪，每次看见喜欢的漂亮衣服都会在心里先默默幻想一下穿上的样子难不难看,6月24日 01:14  ,河南
。,好听！被结尾的dks亲小脸引流把我骗进来了，结果看完整个mv和歌词真的很棒！泳知的自作词很有才华！如果我是高妹你会喜欢我吗，我知道你喜欢精致小巧的女孩但是我又高又大大咧咧，在漂亮就行的kpop里面很少有地跳脱出精致漂亮的画面和模特一样的主角镜头，mv的镜头下也没有经典的男性凝视感，很清爽舒服地传达出女歌手的创作意图，没有作为商品而是作为一个人，也会烦恼困惑自卑的真实的人，很难得。mv里泳知被关在小房间里，像是被世俗白幼瘦审美和自我内心对矮个甜妹的认同感深深地捆住，不得不在狭小的房间里生活起居，就像在现实世界背负这些觉得别人更好的沉重观念，但自己的先天特征根本改变不了，只能无奈负重而行。,6月22日 07:33  ,山东
小狗在允,好仙,14:29  ,未知
叽米米米奎,泳知真的是很棒的一首歌，才发现就忍不住单曲循环,11:59  ,四川
The Glory,很多男人因为自己太弱了，才希望女人比他们更弱,9月29日 15:55  ,未知
Jun,好听,9月28日 22:21  ,广东
琦小狗,非粉表示真的好好听，第一次听就狠狠get到了,9月28日 16:51  ,四川
Echo,啊啊啊啊啊啊啊啊 好好听呀,9月28日 15:42  ,陕西
-,嘟嘟的r&b就是神，妹妹这么好听！！！！天作之合,9月27日 15:46  ,辽宁
⁠反,好汀！！！！,9月26日 23:50  ,浙江
lyawn61,特别好听,9月26日 20:28  ,江苏
Jasmine,好听爱听,9月26日 11:22  ,上海
丝状菌,这算是什么类型的啊？,9月25日 23:12  ,广西
宇宙,敏感高个子微胖狠很喜欢上歌词,9月25日 22:15  ,云南
毛毛,太好听了受不了了,9月25日 17:56  ,山东
生生,妹，，声音真的好好听,9月25日 11:20  ,四川
papo,嘟嘟老rmb了,9月25日 10:48  ,江西
sunny,妹宝牛牛哒很安心,9月24日 21:58  ,辽宁
白鸽,居然还有一点悦耳,9月23日 19:54  ,北京
cheonsin,160的我特别羡慕170 想成为tall girl,9月23日 08:40  ,未知
tinyRed,有一天，女人或许可以用她的“强”去爱，而不是用她的“弱”去爱；不是逃避自我，而是找到自我；不是自我舍弃，而是自我肯定。那时，爱情对她和对他将一样，将变成生活的源泉，而不是致命的危险。,9月22日 21:16  ,广东
엽영기,听一遍真的就爱上了,9月21日 21:26  ,广东
Měi z❤,Kat的声音真的跟李泳知很像欸,9月21日 21:25  ,广东
Z.M.M,有点像巧克力奶昔，带点苦涩的微甜，暖暖的,9月21日 12:42  ,广东
呀呀呀嘿,泳知真的好棒,9月21日 08:15  ,北京
我不焦虑,这就是写的泳知自已啊！希望每个女孩都要好好爱自己不要自卑！,9月20日 23:14  ,山东
啵啵咸不咸🍒,给都老师的嗓子上保险，爱惨了,9月20日 20:28  ,江苏
Swag,真的唱我心坎里了,9月20日 01:06  ,河北
管好你自己,太好听了www🥹🥹🥹🥹,9月19日 23:55  ,浙江
Everglow,太好听啦！,9月19日 21:52  ,湖南
布衣男孩,听这么甜的歌 好想谈恋爱,9月19日 07:12  ,辽宁
要星星不给月亮,不是……我以为这首歌表达的是“爱会让人变得患得患失小心翼翼”，但是对的人会打消你的顾虑，贴上“创可贴”，而不是什么推崇白幼瘦啊……,9月19日 01:12  ,山东
vante lover,特别特别仙的一首歌呀 泳知和嘟嘟配合的都很好,9月18日 22:54  ,辽宁
Ritmiller,这个词。。,9月18日 19:18  ,广东
慢慢,妹宝妹宝～,9月18日 18:17  ,广东
猪是的念来过倒,男声毁了这首歌,9月17日 20:41  ,上海
一池清水,感觉妹宝这首歌最好听,9月17日 20:24  ,重庆
☁️,在学这个歌啊啊啊啊都老师那段好难学要疯了啊啊啊啊🫠,9月17日 19:54  ,河南
v.v,仙曲,9月17日 13:49  ,贵州
小狗被肯泥🐶,好好听，单曲循环中🔁,9月16日 22:36  ,江苏
xing☆xr,泳知好会唱,9月16日 19:25  ,广东
Tris_h,大只女生得到治愈了，大只豪放派真的会对是否真的可以得到喜欢而感到深深的怀疑！,9月16日 17:54  ,辽宁
朴志晟李楷灿老婆！乐乐马颗粒,虽没菜我每期都看,9月16日 17:33  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,做自己就好了泳知很喜欢你！,9月16日 17:33  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,你们一直说我去看mv了好好奇,9月16日 17:32  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,虽然我吃醋但是多多合作太好听了！,9月16日 17:31  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,两个人声线太和了,9月16日 17:31  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,我双担！,9月16日 17:31  ,河南
朴志晟李楷灿老婆！乐乐马颗粒,好听妹宝,9月16日 17:30  ,河南
22ang^,大家快去油管youtube看新一期两位的虽没菜 超有趣 播放量更是火爆,9月16日 13:18  ,吉林
晚万,好听,9月16日 06:11  ,广西
dks^bin,看完虽没菜又来听,9月16日 02:46  ,山东
再见,虽没菜回来重温999遍,9月16日 00:10  ,江苏
Ecole,豪听！,9月15日 19:20  ,中国香港
봉오리,哈哈哈，嘟嘟去虽没菜了，妹宝紧急避嫌全场跑,9月15日 19:06  ,未知
💗,狠狠共情了！,9月15日 18:31  ,辽宁
•H•（见过张杰版）,表明身份看到D.O.才听 但是不听不知道 一听吓一跳 泳知欧尼唱的好好听咱就是说只听开头马上加入歌单了 耳朵👂要怀孕啦～～～,9月15日 17:28  ,重庆
Xyh,绝了 鬼知道我循环多少遍！！,9月15日 14:19  ,浙江
眉毛不完全骨折,无限循环,9月15日 13:17  ,福建
眉毛不完全骨折,真的好听,9月15日 13:15  ,福建
奇美拉👾,豪庭！,9月15日 11:17  ,湖南
贝壳馆主🐚,好好听啊,9月15日 08:35  ,云南
Bambi,真好听,9月15日 01:01  ,山东
BAEK'HYUN,好听!!!,9月15日 00:29  ,广东
BAEKkkk.x.,两个宝宝超级棒啊,9月14日 17:14  ,内蒙古
2000,看完虽没菜又来回味了,9月14日 12:48  ,河北
小天的夫人,非常好听啊啊啊,9月14日 01:38  ,福建
盐,好喜欢啊啊啊啊啊啊,9月13日 23:27  ,河南
DK_soo,虽没菜爆爆爆！！！dks的脸真的太伟大了,9月13日 23:04  ,宁夏
Cr,特喜欢,9月13日 21:50  ,未知
门什么什么辛,我最爱听,9月13日 21:28  ,陕西
🪵,好好好看完虽没菜来听啊啊啊啊啊,9月13日 20:11  ,湖北
247,开头太绝了,9月13日 19:41  ,海南
今晚小雨转晴,期待今晚虽没菜,9月13日 14:50  ,江苏
昏.,两个可爱的宝宝,9月13日 09:04  ,广东
阿柏,好好听，感觉被治愈了。。,9月13日 05:57  ,山东
Elaien,泳知演唱会听到后来听的，音色超级好，听感超舒服,9月12日 23:15  ,广东
破事,之前一直把jessi和泳知搞混过🫠这首真的好好听,9月12日 19:55  ,广东
Moomo^,完全是我的心声...因为个子高骨架大所以会有一些不应该的自卑,9月12日 19:15  ,山东
Rink.,好听好听！,9月12日 15:08  ,四川
