Username,CommentContent,Time,Location
PICK!韩国音乐,KISS OF LIFE全新夏日单曲《Sticky》发行啦！在评论区里分享听歌感受，并在'我的歌手榜'里收听KISS OF LIFE歌曲次数达到月榜30次以上，将随机抽取满足条件的小可爱送上【KISS OF LIFE签名周边】*注：控评、注水、引战等低质量评论不计入评选范畴,7月4日 17:05  ,未知
Ning,感觉是以往夏季日榜会在前十的歌曲，这是可以说的吗,7月1日 10:06  ,河北
EUNOIA,终于上了不会给q音任何一点好脸色,7月1日 10:03  ,黑龙江
≮偶为歌狂≯,由前方块娱乐创始人洪胜成打造的新女团KISS OF LIFE...带着最新数字单曲<STICKY>回归呐...听起来完全就是夏日里清凉的薄荷柠檬冰...特别适合夏日反复食用的一首歌...四个人的嗓音完全没问题...身材也太美太健康呐...嘻嘻...又收藏一首高质量的夏日仙曲...吻妹...大发...,7月1日 10:08  ,四川
🏪편의점보이,瓜艺人榜第一，首次登顶,7月2日 19:22  ,辽宁
HOTTA_,afro风格我真的很爱，听afro所有的坏情绪都会飞走！afro的音乐充满了生命力!,7月1日 10:25  ,广西
许向安.,我只能说扑面而来的女性大方自信热辣的气氛 让我们在这个黏呼呼的空气多了点迎面太阳的感觉 不觉得太腻 也不觉得难受 就放心往前跑 不管汗水如何侵透我的衣裳 我只会带着笑容去和空气和解​,7月1日 13:04  ,广东
NSWER,啊啊啊啊啊吻宝宝们这次一定要拿一位！！！,7月1日 10:10  ,福建
oasisssss,从svt的克拉岛上听到这首歌火速赶来收藏，真的真的真的真的很好听啊，太喜欢这个风格了！！祝吻妹大爆大爆特爆！！,7月24日 22:01  ,江苏
or5,哈哈哈哈就知道有金珉奎，也是被成功安利上了吻妹，非常夏天的一首歌,7月24日 00:26  ,江苏
琉栀^,天空尖叫楼!!!!吻妹大爆!!!,7月1日 10:43  ,浙江
HOTTA_,看在听到了仙曲的份上，暂且原谅你音源迟到，别再有下次💢,7月1日 10:25  ,广西
游云无意,真的少有的新女团能有sistar的那种夏日活力的健康性感 ，吻一定要爆,7月1日 10:26  ,广西
