Username,CommentContent,Time,Location
joe,"青春如超新星,短暂却绚烂。我们都是宇宙中的尘埃,却也能闪耀如恒星。生命虽有限,但热情可以永恒。",9月27日 14:52  ,广东
陶力Toli,aespa这支音乐界的璀璨星辰，绝非任何力量能够轻易践踏的存在。她们在命运的熔炉中锻造出坚定的意志，每一次挫折都让她们更加坚韧，每一次挑战都让她们焕发更加耀眼的光芒。新主打在各大排行榜的傲人成绩，便是对她们实力的最好证明。四位各具特色的成员，共同构成了这支充满活力的主打。作为一个新音乐人，同时也是一位MY，希望我们aespa的四个宝宝能够继续走花路，用音乐照亮更多人的心灵。,6月4日 14:53  ,上海
唱WAP的泰勒斯,艾斯帕就是任谁都无法被踩在脚下,5月13日 17:00  ,陕西
D.XyZ,宁艺卓你好美！请你大声唱！,5月13日 17:00  ,河南
米苏ღ.,团粉驾到！There are aespa！️🦋柳·蛇系女王·智敏Karina内永亚·酷拽樱花·绘里Giselle金·战斗武担·玟庭Winter️宁·绝美主唱·艺卓NingNing🦋aespa冲冲冲！！！,5月13日 17:00  ,广东
小鹅,今天背《小狗经》了吗？1. 旼炡是天 旼炡是地2.不可以惹旼炡生气3.每天都要夸夸旼炡4..要记住旼炡是这个世界上最可爱宝宝5.必须细心地照顾旼炡的情绪6. 给拥有最美的歌声的旼炡打歌打call7.保护旼炡,5月13日 17:00  ,云南
D.XyZ,大家有没有觉得吒这个团看起来有点眼熟？这造型，这风格，这颜值看起来都好熟悉，仔细一看原来是2024年最佳MAMA女团🏆,5月13日 17:00  ,河南
世漫一,NINGNING is coming back💕请选择你的人生直拍🔖紫薯布丁烧 可盐可甜赤宴蝶翎柔弱公主🩰️朋克鸢尾冰山美人🌷墨韵丹青身段柔美🌸雪融白山茶神女吟唱🎐宁宁七变身夜行歌姬🪼初恋白桃白月光校花罗马假日优雅妩媚🦩️烈焰永生花明媚大气🪷,5月13日 17:00  ,未知
HOTTA_,这首真就对味了，一股吒味，就是要这种锅碗瓢盆砸死我的感觉,5月13日 17:00  ,广西
HOTTA_,五代中只有吒能驾驭这风格没有任何违和感，吒应该不会有转型的问题，各种风格都可以尝试,5月13日 17:01  ,广西
感悟心理学那艺娜,giselle内永绘里尖叫楼！！！,5月13日 17:00  ,广西
猪咪杨杨,人一旦喜欢上得宁艺卓那你这辈子就定型了，你一辈子就是喜欢得能宁宁的命了，早早地明白了的好，你就再也干不下去任何事了，你的品味和智力都被抬高到了远超所有人的存在的程度，你就少走了起码一百年的弯路 。,5月13日 17:00  ,黑龙江
