Username,CommentContent,Time,Location
fromis_9,"[白知宪] 오늘재밌었어요!! 수퍼소닉도 계속 많이 사랑해주시고, 앞으로 저희 프로미스나인도 계속 지켜봐주세요 늘 고마워요!!",8月31日 19:30  ,韩国
Q音辅导员,为了更好的与粉丝们互动，fromis_9将于【8月31日19:00-19:30】以分为两组的形式进行空降评论区的活动，【19:00-19:15：采映、娜炅、池原、河英】【19:15-19:30：知宪、赛纶、瑞渊、知宣】，让我们静候大牌空降吧~,8月27日 16:29  ,北京
小珉子可爱捏,接米斯本次回归一位数,8月12日 17:00  ,北京
饭阿元,好啦 这才是我。没有（G）I-DLE的superlady那么有劲；没有Aespa的supernova那么火热；没有NewJeans的supernatural那么复古；没有SEVENTEEN的super那么恢宏 ；也没有StrayKids的superbowl那么美味；我叫supersonic，是kpop万千回归曲中，最平凡的一个！但平凡也请多多支持8月12号的回归吧！,8月12日 17:00  ,湖南
Kiki,宋河英尖叫楼啊啊啊啊啊啊,8月12日 17:02  ,广东
Shhh,好啦，这才是我。没有（G）I-DLE的superlady那么有劲 没有Aespa的supenova那么火热 没有NewJeans的supershy那么青春 没有SEVENTEEN的super那么恢宏  也没有StrayKids的superbow那么美味  我叫supersonic，是kpop万千super中，最平凡的一个。​,8月12日 17:00  ,四川
zzzzzzz,你们真的好有梗呀，我在法国留学的时候身边的人都不懂这些梗呢，还是喜欢跟你们在一起的感觉回国真好。不过我在上海也只是短暂地待一段时间啦，我还要回北京的，虽然我是上海户口。我不是总去上海嘛，然后我怕候车的时候觉得特别热，我就想着买一杯 Starbucks 新品罗勒橘光风情冰镇浓缩（大杯冰标准3泵橙罗勒风味调味糖浆原萃浓缩标准2浓缩份数巴旦木奶星礼卡支付37元）到时候解解渴吧，然后我当时也就穿的很普通的一双 Nike 刚坐到那里，旁边那个人就一直看我然后挺无语的，然后我也挺无聊的就打开我那个新买的 iPad 看电视剧么然后meanmean的说了一句米斯回归大发！,8月12日 17:04  ,辽宁
Thsevan,#世界级TOP男团【BTS】远房表妹💘‍🔥世界巨星【Justin Bieber】远房表妹🌟⚡️五代著名完颜男团【TXT】远房表姐💋新生代音源强者【NEW JEANS】远房表姐KPOP七少爷【ENHYPEN】远房表姐🙌🏻🏻潜力新人女团🤜🏻【LESSERAFIM】🎊远房表姐🦄半路难产尚未出道但已经在HYBE内部热度满满的🔥‍🔥【TRAINEE A】的远房表姐✨已预订六男一的音源怪物【TWS】的嫡系亲姐🪄第二男团【SEVENTEEN】🏻🏻的同系继妹🤲🏻五代著名完颜女团【FROMIS_9】8.12回归！,8月12日 17:10  ,河南
Jeado.,听歌走在路上感觉自己是大美女 虽然我是男的,8月12日 18:30  ,广东
iiuyeon-,大事很妙 不要放过这个米斯,8月12日 17:01  ,北京
牛腱子,bugs实时第一了，这还是我们米斯乃吗好火,8月12日 20:09  ,安徽
beaper,秋天了 hybe你终于放老米回来了……,8月12日 17:15  ,广东
王喜（湛江徐闻),韩国8人女子团体，今天晚上七点至七点三十分空降歌曲评论区互动（上次没有她们名单，这次终于有了）#,8月31日 09:43  ,广东
𝗞𝗼𝗶𝗺𝗶𝗮𝗼,拿最低的预算打最漂亮的仗，，，美得创能翻kpop的fromis nine,8月12日 23:43  ,安徽
Aynju,传下去 米斯是古希腊掌管夏日风的神,8月12日 17:26  ,湖南
Touogii,如听仙乐耳暂明 fromis_9回归大发！李赛纶 宋河英 张圭悧 朴池原 卢知宣 李瑞渊 李彩煐 李娜炅 白知宪 ！！！！！要一起走花路呀！,8月12日 17:02  ,湖北
五百元的瓶装水,啊啊啊啊啊好听,9月29日 12:11  ,广西
五百元的瓶装水,米斯越来越火吧,9月29日 12:10  ,广西
五百元的瓶装水,好听死了,9月29日 12:08  ,广西
五百元的瓶装水,好听！我怎么才发现,9月29日 12:06  ,广西
🫴🏻🐈💬,hi😼😼😼😼😼,9月28日 19:53  ,江苏
阿辣嗖,真的好好听,9月28日 17:26  ,山东
kkuro39_,好听！,9月28日 00:00  ,广东
imjessiey,太好听了吧,9月27日 23:17  ,山东
阿思加里茹,拜见,9月27日 19:33  ,未知
hui,m,9月27日 09:45  ,四川
n大馋小志ct,melon 13，米斯大爆！,9月27日 00:15  ,浙江
INTEGRA,好喜欢这首，DM，Stay This Way这种风格的,9月26日 16:14  ,山东
Illusion,tc成绩好像一般，韩国成绩还不错,9月25日 21:13  ,湖南
Ttus,八王红争气,9月24日 13:45  ,山东
跌入一场盛大的夏日梦境✨,超级索尼请进内环,9月24日 10:59  ,广东
act行动起来,太好了，这次音源逆袭了诶!,9月23日 12:21  ,上海
土巴兔,米斯米斯，朴池原太美了,9月22日 18:28  ,山东
psycho,go with flow是谁唱的，太上头了🥹🥹🥹,9月22日 17:57  ,湖北
警惕消费馅饼,为啥没有中文歌词,9月22日 14:57  ,西班牙
玟:),好听,9月22日 14:42  ,广西
"Thank u, 🫨💭",封面拼贴做的好棒。,9月21日 20:04  ,北京
okyoung_0,super super~~~,9月21日 14:23  ,贵州
慕巷i一抹淡然,super,9月21日 01:16  ,浙江
叫什么名字好呢,榜日榜14 我们老米火火哒,9月20日 22:36  ,北京
yu_ung.,好仙好仙,9月20日 21:36  ,湖北
