Username,CommentContent,Time,Location
零度可乐,昨天kcon表演了这首歌，好好听,4月1日 08:46  ,中国香港
小雄日记_YZ,看完kcon我想说乐队的现场果然是最爽的,4月4日 10:06  ,广东
BUBBLE！,真的很感动 kcon第一次听到，听不懂韩语，但是welcome to the show唱出来就泪流满面 能感受歌手的真诚，真的太感动了 乐队就是要看现场！,4月1日 19:45  ,湖南
🏝MONKEY呆🏖,你们终于发现这首宝藏啦，从三月听到现在,9月4日 12:34  ,上海
CreamyLemon1122,在韩国真的在各大商店便利店都能听到…………,7月24日 22:58  ,广东
Daydream_puppy,是青春电影轰轰烈烈的结尾和未来的起点,3月18日 17:56  ,广东
一捌.,你知道这三年我怎么过来的吗,3月18日 17:11  ,广东
피터팬.Rocky耶🐼,上次回归我高二现在大二了,3月18日 17:11  ,天津
¿Umnngi,毕业总要去一次day6演唱会吧,3月18日 18:13  ,福建
是Samuel啊_,来了来了，这生机勃勃的编曲，熟悉的感觉爱了,3月18日 17:01  ,云南
Astrid Zhang,做梦都想在演唱会上合唱这首,3月18日 17:06  ,江苏
微酱 💤,给我空洞的生活，点亮一丝光亮,3月18日 17:30  ,贵州
Vii1017,纯正呆六味！仙品！！！快来港澳开con！！,3月18日 17:16  ,山西
🍐,这首歌当初看preview的时候就有一种力量感，仿佛沉舟侧畔千帆过，病树前头万木春，宏大而极具生命性的感觉，当然真的也像歌词唱的那样，是一场时隔1064天的华美的show,3月18日 18:23  ,江苏
Mu🤪ssanG.,最后一段，听哭了，真的很对味,3月18日 17:06  ,上海
海鲤鱼,之后大家应该会在演唱会一起合唱这首吧 真的很有生命力啊啊啊,3月18日 17:03  ,四川
音乐铃,超级好听！我向天地发誓，我的爱将永远属于你。无论何时何地，我都会在你身边守护你。,3月19日 17:46  ,内蒙古
りょMchouchou_Lうた,在下班路上听到哭的不行 2017年有你们音乐陪我的那年是最幸福的一年 三年过去了 我都经历了失业 无业 再就业。。。终于等到了推送 等到了更新这就是乐队 就是有生命力的音乐啊 还是想感慨 我们依然热血 依然年轻,3月18日 19:33  ,湖北
🏝MONKEY呆🏖,谁懂啊，好喜欢好喜欢，还是那个味,3月18日 17:28  ,上海
ITerry,太好听了，秒杀瓜榜前面一堆水货,4月10日 19:37  ,湖北
zzf,某收录曲happy喜得PAK,12:07  ,江苏
🍊,+,9月29日 21:27  ,湖南
🍊,999,9月29日 21:26  ,湖南
🍊,8,9月29日 21:26  ,湖南
🍊,6,9月29日 21:25  ,湖南
Su,冲999,9月29日 20:13  ,广东
onecatperson,好好听,9月29日 17:00  ,江苏
抱猫sleep草,助力999,9月29日 15:04  ,辽宁
Minnie.,呜呜呜呜呜,9月28日 21:50  ,广东
大兔子,期待有一天能加入到这首安可现场中,9月28日 21:20  ,广东
what is..,“因为是你 所以我很幸福”,9月27日 21:47  ,福建
他鹿🔱,这么热血,9月27日 19:09  ,广东
