Username,CommentContent,Time,Location
凛,jpop味太浓了，不看歌词和MV绝对会觉得这是首日文歌,5月6日 00:21  ,陕西
好耶,别鉴了……姐几个本来就有几百万的粉丝，再加上原48的人气，水鬼根本就不能相提并论好吧……,4月18日 18:00  ,广东
不知道叫什么,这首逆袭是有原因的…整首歌氛围太适合春夏之交的季节了，很适合听歌讲究仪式感的hgr,4月16日 14:56  ,江苏
🌲,空降高位不一定是好歌，但逆袭的一定是,4月20日 12:28  ,四川
ʚ 程Gary ɞ,chodan之前韩国玩LOL的网红，我老早就看过她直播了，现在居然出道了,4月17日 08:44  ,湖北
嘎嘣🦢,好久没看到全首歌都是韩文的kpop歌曲了,4月15日 23:46  ,湖北
🌚,开学季淡淡的no 就要乐队给我们注入活力 而且她们校园突袭的时候说了为什么不打歌 是因为认为自己的实力不够 实力到了自然会理直气壮的去打歌,4月17日 22:34  ,韩国
zzf,喜欢这首的姐妹，推荐考古隔壁Berry Good的Accio，会回来感谢我的,4月1日 21:08  ,江苏
yfyfyffff...,不是这风格樱花妹不会觉得韩国人在偷吗？已经预料到以后韩国人岁月史书一下就成kpop了,7月9日 19:38  ,陕西
zzf,天哪 ‼️想起了古早味你使的get out!九敏‼️,4月1日 19:10  ,江苏
🥞,每天都在听我是不是中毒了💖,4月14日 11:41  ,广东
Superwony,本二棒子一听前奏就吓傻了，像少女偶像或者乐队番的op,8月5日 19:40  ,福建
N.nia嘎丝,天呐！怎么没人！太好听了这歌wwwww好喜欢！！！一直支持QWER的，我爱乐队！！！,4月1日 17:03  ,福建
吃瓜罗伯特,听过几首jpop就jpop味啊这是纯正韩味哈,6月20日 21:20  ,江苏
J,这次真是国内小龙虾了 客观好听的一首歌啊,7月18日 13:48  ,四川
智敏诊所,hina好棒,9月29日 23:53  ,海南
清潭猫猫神,好听好听,9月28日 22:52  ,浙江
J,第五百条,9月27日 17:05  ,四川
🤓🐰📕,真的好听，我听听听听听听听听听听qwq,9月27日 11:48  ,山东
Chords,你younha零几年就是这种风格了,9月27日 07:44  ,广东
犽犽戮山,好好听前奏真的日音游,9月26日 20:30  ,四川
夏天快过去,占位,9月25日 12:16  ,广西
嫣惒華,hqlm,9月24日 22:45  ,湖北
若叶睦种黄瓜,我听,9月24日 01:35  ,广东
￴ ￴￴ ￴￴ ￴￴ ￴ ￴,特别火的一首歌 고민如중독 一定会大火特火,9月22日 22:30  ,贵州
zzf,苦恼中毒最后如果苟在年榜15，那真的是非常非常好的成绩了‼️,9月22日 20:43  ,江苏
萤石云,好听好听！,9月21日 20:17  ,广西
慕巷i一抹淡然,给我一种热血动漫的味道,9月21日 01:15  ,浙江
NgọcHân đẹp quá,每日一遍哦啾尼~元气的J-POP风歌曲！！,9月20日 02:10  ,福建
知以,好有早期hw的味道喜欢,9月18日 08:53  ,湖南
YukiRinn,好元气的一首歌,9月16日 11:38  ,山西
J,哦揪你~,9月15日 19:42  ,四川
W,每日一遍欧揪呢~,9月15日 17:19  ,新疆
🐾,爱上了,9月15日 16:47  ,江苏
lIlIilI,乐队番标准开局,9月15日 16:38  ,云南
