Username,CommentContent,Time,Location
Hanhanhan,我呆在南韩有多火要不去打听打听呢骂我们注水？大街小巷都在放呆的名曲，各大便利店都在放歌，演唱会座无虚席，军毕三年的第二次回归，空1怎么了我们的名曲一直都在内环，上次回归的HAPPY被多少爱豆COVER，我呆名曲作为去年年末的ending曲我记得你家小吒吒唱的老欢呢别破防了，回自家吧，我们呆可是无数爱豆的爱豆,9月2日 19:53  ,广东
龍,再来这里叫的明天day6日冠周冠月冠断了aespa连冠永世不得翻身哈,9月2日 23:38  ,湖南
.,day6老粉哭了…话说几年前还是哥几个怎么现在大家都叫六叔了！,9月2日 17:40  ,广东
就是爱音乐,JYP但凡学会注水，也不会断送女团名家称号,9月2日 23:05  ,广东
Venus21,有些女团粉幼稚的像初丁,9月2日 22:06  ,河北
甩头王子⭐,真服了居然会有人质疑day6注水,9月2日 19:36  ,广东
幼稚园的虾米,能不能别在这么好听的歌底下吵架,9月3日 00:33  ,菲律宾
D.XyZ,后悔没能早点认识6叔，他们的歌真的都很好听，完全不输其他大热团的曲子，最近逆袭到瓜榜的很多歌都是6叔的，这足以说明他们的音乐质量之高，希望这首歌也能往瓜榜内环冲冲！最后祝呆6回归大发！,9月2日 17:15  ,河南
我是美羊羊大王,在这么好听的歌下面吵架感觉你们这一辈子做什么都不会成功的,9月3日 20:21  ,四川
jkout,今年jyp的音源就靠呆六了,9月2日 17:37  ,湖南
도우냐냐🐶,成为第一个拿下ALL KILL的乐队了Congratulations 了不起的DAY6,9月3日 11:03  ,广东
Erin*2,从出道日榜第100到top100第一 这条路六叔叔走了刚好九年,9月2日 20:36  ,浙江
？,某团粉丝万人雷不是没有原因的。,9月9日 16:45  ,上海
Arr,你们总是能把悲伤唱得恢弘庞大，可是没有任何东西能让我坚持下去啊，哪怕是我自己。我只能谢谢你们把这些思绪和旋律带给我，但除此之外，我也不知道怎么办了。,9月2日 18:08  ,天津
🐟1u_inthepool,既然你们都说成绩 我就来说听这首歌的感受 youngK真的很会写词 听歌的时候看歌词真的想哭 站在追星女的视角看 真的想哭 今天也辛苦了 这句话我相信很多爱豆都说过 可是现生中很少有人对我们说 所以看到这句歌词的时候真的绷不住了 听完真的融化了,9月3日 07:27  ,山东
薄荷水,喜欢了好几年的粉丝真的泪目了 真的太不容易了啊啊啊啊啊 我开哭,9月29日 15:42  ,江苏
桃矢,我之前一直以为是fnc的团,9月29日 08:48  ,湖北
mine,恭喜999,9月28日 15:19  ,新疆
[ Obsession ],何方神圣？,9月27日 23:31  ,北京
🫠,1000打卡,9月27日 20:49  ,福建
🫠,999,9月27日 20:49  ,福建
🫠,997,9月27日 20:49  ,福建
🫠,996,9月27日 20:49  ,福建
🫠,995,9月27日 20:49  ,福建
🫠,994,9月27日 20:49  ,福建
🫠,993,9月27日 20:49  ,福建
🫠,992,9月27日 20:49  ,福建
mine,助力999,9月27日 20:18  ,新疆
ㅋㅋ,全是神曲啊,9月27日 16:45  ,西藏
汐、,好听,9月27日 08:22  ,浙江
瑞德,超神的一曲，耳朵飞升了。。。,9月27日 05:59  ,江西
華玲,因为You were beautiful知道的day6，但是这次回归才入坑，真的很暖,9月26日 16:39  ,广东
Fullsun,很好听啊，,9月26日 15:24  ,湖南
Hanhanhan,们女团丝别来我们呆叔叔底下吵架行不行，好好听歌，不听歌出门左拐慢走不送,9月25日 20:57  ,广东
啵啵咸不咸🍒,宝藏,9月25日 03:51  ,江苏
藤井树,好听,9月24日 08:10  ,福建
Flora,确实好听,9月24日 07:54  ,上海
😁,哇咔咔,9月23日 20:31  ,广东
CreamyLemon1122,别家粉丝来听了又怎么的还不让人听了？,9月23日 14:27  ,广东
给我一份薯角,下家看不惯，全去听day6了点开粉籍是dive和邦尼斯,9月23日 09:43  ,广西
Zero周℃,太热血了,9月23日 00:36  ,四川
Tam,日本风格？,9月22日 17:17  ,未知
Simon,握草好听的,9月22日 16:31  ,山东
巴拉巴拉,特别有活力,9月22日 16:14  ,海南
Taku-,jpop？,9月22日 12:53  ,广东
mine,好好听，已经两百遍了,9月22日 12:41  ,新疆
橘子甜茶,好像动漫的op,9月22日 01:23  ,安徽
no need,#DAY6出道九周年快乐#,9月21日 19:15  ,广东
no need,好听,9月21日 18:51  ,广东
yuki,恭喜一位,9月21日 18:14  ,广东
🎼,融化第二个一位啦！恭喜恭喜,9月21日 17:24  ,广东
听颂,#DAY6出道九周年快乐#,9月21日 17:08  ,重庆
天地無甪,好阳间 感觉st暖暖的,9月21日 16:32  ,北京
sparkle,一位了祝贺,9月21日 16:11  ,江西
hot potato,healer2.0,9月21日 10:35  ,江苏
Vikiii,卧槽好听死我了,9月21日 10:24  ,北京
🐒🐒🐒,咋曲风日系的啊,9月21日 08:59  ,河北
qqq,超级好听！,9月21日 04:05  ,陕西
✡︎,好好听,9月21日 02:32  ,广东
Z.F,顶顶,9月21日 01:05  ,湖南
果大侠,一点水分都没有的日冠 牛逼！,9月20日 22:51  ,四川
昭情,好热血,9月20日 22:46  ,湖南
Roseanne Park,呆6我要缠你们一辈子,9月20日 19:27  ,陕西
mine,爱听爱听，明天就回日季哈,9月20日 00:39  ,新疆
rainbow.,jyp也是命好，每次感觉这公司要半死不活的时候都会横空出世一个团给他续命,9月19日 21:54  ,澳大利亚
pp_ngìì,好好听！！！,9月19日 21:41  ,未知
矮杉,好听,9月19日 16:43  ,河南
-iwanttobeacat-,评论这么少？,9月19日 11:54  ,宁夏
Hanhanhan,融化不要再融化啦，怎么都被哥哥姐姐们打下去了哈哈哈哈,9月18日 21:33  ,广东
长崎吊兰,恭喜日冠,9月18日 15:53  ,天津
yying.,哥几个🔥🔥🔥,9月18日 14:37  ,山西
保安队后勤人员,好听耶,9月18日 13:32  ,广东
北海无挪威,B站无意听到，这个乐队的歌确实挺好听的。,9月18日 11:27  ,广东
右,呜呜呜我还是喜欢这首，虽然happy日冠了,9月17日 23:50  ,重庆
Minni૮ ฅ'ㅅ'ฅ ა🥠,随机播到的一首 刚听到前奏就开摇了hhhh好有热血日番主题曲的感觉超级有生命力的呆六我喜欢！！！,9月17日 20:54  ,广西
Ga114on,呆叔牛逼。,9月17日 20:01  ,北京
