Username,CommentContent,Time,Location
TWS,今天谢谢你们陪我们聊天~ 我们下次再见！,1月27日 21:31  ,韩国
析 哇,评论区有个人从二月骂到最近还在骂，我都不知道我是不是该夸你有毅力,5月2日 11:54  ,浙江
流浪吐司🍞🥠,这歌就比fate好听怎滴,8月11日 02:13  ,安徽
山荔枝花开时,大姐真没人在乎你什么想法。。爱听不听就得了还要特地点进来评论两句找存在感，闲的慌来犯关种病了？,4月21日 15:40  ,浙江
山荔枝花开时,觉得注水就不许听了嗷☝🏻最烦的就是你们这种一边要说注水一边还口嫌体正直来听吐曲一边在评论区发电的人喽,4月6日 22:41  ,浙江
海苔夹心脆,虽然注水，但吐司和礼妹这两首歌是真的好听啊！,7月22日 19:32  ,江苏
PICK!韩国音乐,现公布TWS《plot twist》评论活动的获奖用户：恭喜【TWS妈粉一枚。】【是鹏鹏呀】这两位幸运粉丝各获得【TWS签名专辑】一份～超级感谢大家的积极参与呀～还请这位中奖的幸运粉丝及时查收站内私信，并请于2024年4月26日23:59前在私信里回复收件信息，逾期将视为放弃领取奖品噢～,3月26日 11:19  ,湖南
Q音辅导员,为了更好的与粉丝们互动，TWS将于【1月27日21:00 - 21:30】分成两组进行空降评论区的活动，【21:00 - 21:15】 SHINYU、DOHOON、HANJIN【21:15 - 21:30】 YOUNGJAE、JIHOON、KYUNGMIN，快来占前排等待大牌空降吧~,1月26日 21:32  ,北京
PICK!韩国音乐,PLEDIS新男团TWS正式出道啦！在出道专辑主打曲《plot twist》此评论楼层送上出道祝福或者走心的听歌感受，将随机抽取幸运的粉丝送上【TWS签名专辑】*注：控评、注水、引战等低质量评论不计入评选范畴,1月22日 17:06  ,湖南
D.XyZ,恭喜咱们的中国小伙韩振出道啦！！！河南老乡加油加油，一个字就是“中”！,1月22日 17:00  ,河南
Celeste77,听完感觉自己身上的尸斑都淡了许多,1月22日 17:33  ,浙江
Tzuyeon,慕名来看iu出道多年遇到的第一个音源大雾,2月14日 00:06  ,河南
兔比元饼,💒可盐可甜反差帅哥𝑺𝑯𝑰𝑵𝒀𝑼🌷RAP唱跳皆优的门面担当💖亮相美谈多多的善良小狗申惟将于【1-22】出道啦一起期待这场绝美表演吧🎐,1月22日 17:00  ,广东
Pansy,副歌部分好有日系校园感，很好听🉑。作为出道主打曲的话，概念正确了✅。看先行曲MV时觉得孩子们舞蹈也很齐，有点点心动💗了(是很看中实力的路人🈶，但看的物料也没有很多)。TWS起点已经很高了，努力一把一定会有结果的！(观望ing),1月24日 21:22  ,四川
名侦探柯基子,我不允许有人骂这首歌 男团歌不走清凉风走什么！,2月6日 09:53  ,广东
Dewww,韩振呀！可以和道勋哥拍一个尼克朱迪challenge吗！感觉特别适合啊啊啊啊💖💖,1月27日 21:06  ,四川
想吃油炸的亲故,谁懂啊，听出了我炸的清纯校园风味道,1月22日 17:05  ,上海
兔比元饼,TWS唯一绿卡来自中国的『天才爱豆』韩振＂用我的汗水和心血🩸竭尽全力＂训练时间仅☝🏻️年就成功出道不仅是天赋♡更是汗水铸成🔝,1月22日 17:05  ,广东
黑沼爽子,老娘这辈子离不开男高风了。。。,1月22日 21:08  ,上海
全文战士校园网,shinyu你可以祝我高考顺利吗,1月27日 21:11  ,广东
吃个✓8,原来他们不是冲着iu的日冠去的，而是冲着missa出道即年冠去的,2月14日 12:43  ,重庆
长谷川佑枝,吐司就这样奔向年冠吧,16:00  ,湖北
2ukk,初见面真的好难…最伟大的出道曲,10:29  ,河北
1988,你们到底有没有人明白 年冠不是吐司也不会是你家～🫰🏻,09:36  ,山东
sseuru1,大年冠我们来了,9月29日 21:49  ,江西
눈.,诶卧槽太好听了卧槽受不了了,9月29日 18:09  ,黑龙江
防弹要一直幸福,好好听,9月29日 15:33  ,重庆
特特耳机听什么zxT,惟呐,9月29日 15:12  ,福建
littlerui,我的吐司宝宝,9月28日 20:40  ,江西
🌲,第一句是谁唱的呀 好喜欢他的声音,9月28日 19:06  ,安徽
麋鹿か～,和fate旋律有点像,9月28日 11:16  ,广东
麋鹿か～,这歌旋律好熟悉啊，是不是借用了beat,9月28日 11:15  ,广东
在阿尔卑斯山撑杆跳的薯条,就是好听啊怎么了,9月27日 21:48  ,江西
Rody,别太恨吐司了，没有吐司你家也不是年冠哈,9月27日 17:17  ,重庆
Tipsy,好听是真的，水鬼也是真的,9月27日 12:20  ,广东
쇼타로的水獭毛.,水鬼,9月27日 09:23  ,辽宁
wcho_33,水灵灵的奔向年冠,9月27日 00:16  ,山东
琥珀川的千寻,这歌结构总觉得有点怪，每段单拿出来都挺好听，但是从头听到尾就是有种违和感，不知道为啥，有没有大佬解惑呀,9月25日 23:14  ,辽宁
Stitch,高三牲特别需要吐司的歌来淡斑，请大家多多切瓜给吐司一个大年冠,9月25日 22:08  ,宁夏
热爱人类-,还挺好听,9月25日 10:49  ,广东
🦁,好！好！听！,9月25日 02:58  ,山东
旋转程序syuuu^,每天都靠吸食这群小男孩的精气存活。,9月24日 22:18  ,陕西
别捏我脸,真的好好听！！好久没有这么清爽的歌了！！,9月24日 20:05  ,安徽
嘻嘻🐈🐾,好听爱听,9月24日 15:21  ,山东
win^jinnnn🥟,骂都骂了我们拿个奖那咋了专门跑来骂的谢谢你们给拖阿斯增加搜索量哈,9月24日 12:03  ,广东
win^jinnnn🥟,九月份还在听,9月24日 07:54  ,广东
