Username,CommentContent,Time,Location
HOTTA_,(G)I-DLE这次回归一位数🏻,7月8日 17:00  ,广西
D.XyZ,什么声音这么熟悉？哦，原来是TOMBOY、Nxde、Queencard、fate、Klaxon连续回归pak5的声音！！！,7月8日 17:00  ,河南
D.XyZ,宋雨琦的尖叫楼啊啊啊啊！,7月8日 17:00  ,河南
HOTTA_,团粉来袭🔝⚠️酒窝甜豆赵美延♡1997 01.31♡韩.主唱蜜嗓主唱Minnie♡1997 10.23♡泰.主唱克里斯马田小娟♡1998 08.26♡韩.rap队长烟嗓妖精宋雨琦♡1999 09.23 ♡中.领舞灵动忙内叶舒华♡2000 01.06 ♡中.门面,7月8日 17:00  ,广西
🥑,gidle唯一真Top宋雨琦尖叫楼啊啊啊啊,7月8日 17:00  ,湖北
R,赵美延尖叫楼！！！！！,7月8日 17:00  ,湖北
米苏ღ.,孩子们这次回归一位数🏻,7月8日 17:00  ,广东
minlulu,开个金米妮尖叫楼！！！,7月8日 17:07  ,北京
🐦,中国妹子宋雨琦了解一下💕队内的舞蹈担当和可爱担当 从小学习等级舞蹈和傣族舞蹈 北京101中的理科学霸💕💕外貌甜美清纯兼烟嗓女神形成鲜明的反差萌外貌绝对是净化心灵的视觉花田💕💕舞台表现唱跳实力一等💕宋雨琦回归大发！！！！尖叫楼啊啊啊啊啊！！！,7月8日 17:00  ,广西
Jade,我已经想象到这歌会火遍dy，然后各种challenge了,7月8日 17:01  ,广西
Jade,不知道大家有没有那种似曾相识的感觉，我真的感觉在哪里听过，gidle这新歌首和一首歌真的好像好像，别喷我，我扒谱了，这个调子和一首一模一样的夏日曲真的好像 哦！想起来了！好像某首大爆曲，哦想起来了，就是娃的klaxon电喇叭[doge]～～gidle回归主打曲电喇叭klaxon爆爆爆爆 呜呜哇呜 呜呜哇呜,7月8日 17:00  ,广西
音乐铃,🍷叶舒华·𝐈 𝐒𝐰𝐚𝐲🍷回归预热期 仅靠机场饭拍收获𝐗「千转」❣️惊喜不断的回归小精灵🎸一起期待𝟎𝟕𝟎𝟖▶属于舒华的热辣回归🖍️,7月8日 17:13  ,内蒙古
Jade,好家伙感觉除了面姐其他人都换风格了尤其是米和雨，好期待这一次回归,7月8日 17:00  ,广西
哈利波特倒拔打人柳,叶舒华真是每次都能开发新的拟声词,7月8日 17:04  ,辽宁
米苏ღ.,亲爱的展博:当你看到这封信的时候，我已经在去机场的路了，请原谅我改签了航班，我知道，如果我看到你们，肯定就走不了了，因为我舍不得你们每个人 尤其是你，展博，过去我不懂爱是什么？现在我知道了，爱是记得(G)I-DLE将于7.8号回归 请一定多多关心！！回归大发！！！！,7月8日 17:00  ,广东
重生之我是罗渽民,神曲,13:09  ,云南
ANN.,我娃最棒了!,9月28日 21:28  ,江苏
雾槿lyking,虽然买了数专 但还是希望早点转免,9月28日 20:02  ,湖北
初夏an_,娃大爆！！！！,9月28日 15:35  ,北京
aaa热带芒果批发,砰砰砰砰砰砰,9月28日 11:16  ,江苏
Greeny,轰轰轰,9月27日 20:18  ,湖南
哭了,洗脑了哈,9月27日 00:57  ,陕西
朴小明,喜欢 miyeon 的I love baby~,9月26日 16:03  ,湖北
Jult,终究还是等不了了！！！,9月25日 21:55  ,北京
🌍,好听,9月25日 18:25  ,吉林
可叹,55哇5，55哇5,9月25日 07:56  ,未知
蒙塔,豪听，爱听,9月24日 12:01  ,四川
几幺,啊啊啊啊啊啊啊,9月24日 11:27  ,安徽
Louis_QD,还有几个月转免？,9月23日 23:10  ,广东
ditto,喇叭越听越好听,9月23日 21:31  ,甘肃
ditto,喇叭越听越好听,9月23日 21:31  ,甘肃
ditto,喇叭越听越好听,9月23日 21:31  ,甘肃
MINNIE LIN,呜呜哇呜😼😼😼,9月23日 18:53  ,安徽
Zone,轰轰轰轰轰轰,9月22日 16:34  ,广东
杰瑞米Jeremy,有没有男奶味蓝,9月21日 22:23  ,上海
DEL,越听越爽😁😁😁,9月21日 18:42  ,安徽
Lim Yoo-young,啊啊一位大发,9月21日 16:53  ,湖南
iukoi77·,klaxon,9月21日 16:12  ,重庆
조미연,谁有我晚听！！！,9月21日 15:16  ,浙江
风季,00:25,9月21日 12:16  ,四川
ㅤᅠㅤㅤᅠㅤㅤᅠㅤᅠ,好听好听,9月21日 11:23  ,广西
JISOO103%,前面节奏真的很上头,9月20日 17:36  ,江西
sily.,泰国大top  Minnie！！！！！！！！！！！,9月20日 17:30  ,江苏
数星星,啊,9月18日 21:32  ,广东
数星星,啊,9月18日 21:32  ,广东
