Username,CommentContent,Time,Location
蒤鸦oO,被nmixx和kiss of life对决安利来的,5月14日 22:48  ,上海
狗爵士13,仙曲马上内环！没想到有朝一日呆六居然成了这碗屁的音源担当，笑死,4月18日 00:43  ,陕西
iris_pilipili,其实这首歌在韩国本土很火的.......我们day6其实是韩国很火的乐队,5月26日 19:25  ,浙江
bamgeuiiiii,“喜欢和小狗在一起变得幼稚和单纯。”两个人蹦蹦跳跳地样子看起来很幸福,4月11日 00:31  ,湖北
柳穿鱼,今天韩国同学分我的一只耳机里就放着这首歌，还有之前路过ktv都放着day6的歌，day6在小韩火得无需多言,7月25日 21:17  ,韩国
Savage,一点开评论全是别家粉真的会无语,2023年1月20日 19:23  ,浙江
音乐铃,"DAY6于2019年7月15日，发行最新专辑《The Book of Us: Gravity》回归！共收录主打歌，《Time of Our Life》、《How to love》、《For me》、《Wanna Go Back》、《Cover》等六首歌曲。主打歌《Time of Our Life》，表现了在因缘起点时，对对方的渴望以及想要表现出自信感的心。将彼此共同度过的所有时间比作一本书, 传达了""让我们的此刻也能成为美好一页""的信息。 亲切的和弦进行与加上强烈摇滚音乐的旋律，完成了DAY6独有魅力的全新歌曲。DAY6，回归大发！",2019年7月15日 20:49,暂无数据
阿韵_,不是  DAY6几年前的歌了 现在还能上瓜榜  没办法太好听了,1月13日 17:43  ,河北
ᴠᴇʟʟɪᴄʜᴏʀ.J,从苏西哪里来的！喜欢！好听！,2月8日 10:35  ,黑龙江
仓仓毛,各位路人们走过不要错过这个自给自足的乐队啊！！收录曲也听一下吧！《For me》有一种夏日清凉的感觉（？），副歌的转音超好听 《How to love》讲述的是对爱情的迷茫（？） 2：50的高音太赞！！！《Wanna Go Back》有弹舌hhhh  《Cover》抒情歌超好听 高音超棒  《Best Part》开头绝对震撼   文笔不是很好  有很多想说的但不知道该怎么讲述 总之day6神仙乐队  唱功和作词作曲能力都超棒  各位路人去听听收录曲吧,2019年7月15日 18:14,暂无数据
🔅小MOO同志,人生的每一个篇章，因为有你们的存在，都是无与伦比的精彩。Time of our life是只属于DAY6和MY DAY的独一无二的夏天。这首歌前奏鼓点一响就给我一种日剧ost的感觉！该怎么形容我的感觉呢...就像一个穿着藏青色浴衣的男孩子在夏日拉着你跑，跑得气喘吁吁地，然后站定，透过斑驳的树叶刚好可以看到零星的花火，来年还和我一起看烟花吧！,2023年5月31日 10:23  ,辽宁
温柔可爱陈,在盛夏奉上一首日本动漫般热血的青春之歌  春夏秋冬的每一话都被Day6填得满满的 奔跑的每一个夜晚  灌入的每一瓶汽水 鼓棒敲出的每一个节奏  是Time of our life带来的无尽想象。 Time of my life is all about  Day6!!,2019年7月15日 17:54,暂无数据
persian cat,看了下韩网评论 这首歌已经成为韩国人毕业圣歌了kk 每年冬天都会逆袭！好歌果然不会被埋没,1月17日 15:13  ,河北
永夜极星,这歌也太日风了听到开口唱的是韩语简直吓我一跳,2020年6月15日 23:42,暂无数据
无限湛蓝的海洋δ,虽然是喜欢的人推荐的，但是你真的确定这个作为睡前曲可以睡着吗？？？,2022年10月10日 02:04  ,美国
蓝buff一枚,但day6并不是什么大热团，美呆连同担都找不见了凭什么惯别家粉,3月30日 17:59  ,北京
楽しい,恭喜这首歌成为了day6另一首养老保险！,2023年11月22日 02:55  ,北京
狗狗猪,走在路上晒着春天的太阳听呆六 突然感觉也没有那么想死了,2023年3月7日 09:36  ,江苏
(๑⃙⃘´༥`๑⃙⃘)🐻,貂推荐来的 我是第一个吗,2020年3月26日 21:22,暂无数据
Lokyee,呆6的歌明明很catchy啊，应值得更🔥的。虽然没有每首歌都听过，但凡是听的必中我心，也是很神奇了,2019年12月22日 16:42,暂无数据
10in^,day6的歌真的好听,9月28日 18:35  ,宁夏
长庚星,18岁,9月28日 15:19  ,广西
麋鹿か～,怪不得这团音源好，，真的挺好听的,9月28日 11:46  ,广东
Chanceux,听的day6的第一首歌🥹好听绝了,9月27日 00:04  ,山西
不二,朴再兴音色真的完全独一份。。我晕了,9月24日 21:29  ,上海
27颗🍊,#DAY6出道九周年快乐# 小呆6九周年快乐！,9月21日 20:06  ,上海
pp_ngìì,最近入坑爻 听她们唱了好多次day6的歌 都好好听就来循环歌单 结果一脚踹入坑了 都是什么仙曲啊啊啊 太好听了,9月21日 08:42  ,湖北
落日樱桃派🍒,天啊好好听,9月18日 21:46  ,山东
Attacca,简直是人生歌的程度！,9月16日 17:05  ,湖北
예신원,因为《예뻤어》在几个月前就关注了这个团，但是一直都没有好好听一次，今天来听直接被第一首硬控了，现在听了四首都好阳间啊我天,9月16日 14:45  ,江苏
S.,呆六的风格真的超明显的，我之前只听过几首呆六的歌，第一次听这个歌是从小糊团的翻唱听的，当时觉得好听但是因为忙就只是收藏了歌单也没听，就给放一边了，结果昨天突然想起旋律，我第一直觉就是，这个呆六的歌！！然后马上找呆六就找到了！！这首歌真的超好听！！！,9月16日 11:29  ,湖南
Mango,好强的活人气息,9月15日 11:56  ,重庆
向上的温暖的坚毅的,太好听了🥹,9月14日 21:58  ,河北
one more,这首歌也适合日语，非常热血,9月14日 08:56  ,上海
不言败的Lucifer,莫名觉得很适合婚礼,9月14日 02:17  ,山东
大头制造厂,特别热血,9月12日 13:37  ,广东
Whisper,我说但凡换一个粉丝多点的偶像团体cover粉都不敢这么舞……就是欺负韩国乐队在tc不火呗，欺软怕硬的还理直气壮的嘴硬……,9月12日 07:55  ,黑龙江
Yu Anuo要学习,朴再兴声音绝了！！！！！！,9月11日 21:26  ,浙江
芝麻汤圆,好听,9月11日 09:54  ,广东
oulett_ss,因为什么契机突然逆袭的,9月10日 21:48  ,广东
布朗尼大师,好好听好好听,9月9日 22:27  ,上海
夏优y,仙曲,9月9日 18:17  ,山西
.,这个歌旋律真欢快,9月9日 14:23  ,黑龙江
Daisiest,makemate主题曲…超级清新,9月8日 22:13  ,上海
Matarlo.,md真的好听,9月7日 13:46  ,山东
🌰,进前五了 又来听,9月7日 12:30  ,广东
◆﹎Eleven。,好听 加入歌单,9月6日 21:20  ,安徽
ヴィルトゥオーサ,六叔叔熬了九年终于出头了,9月6日 20:12  ,上海
Claire_x,我就说怎么这么耳熟 之前小韩一个选秀的主题曲是这个 我当时还感慨咋这么好听 原来是改编的这个吗,9月5日 23:58  ,山东
酷泥奇哇,怎么有这么好听的歌啊好想喊全世界来听：,9月5日 22:51  ,湖南
mymyLeemee,喜欢音乐的人自然会发现day6,9月5日 20:12  ,山东
以后,每次听这首歌都觉得很快乐～,9月5日 19:14  ,广东
哎哟攀呀！,边边来的！好听！我家小宝宝推荐！,9月4日 17:38  ,广东
美梦光临,边边在车上很开心地听day6这首歌day6也去拍了边边的善宰人生四宫格哈哈哈！,9月3日 22:37  ,湖南
林小璇👻,歌好听，边哥是真爱啊,9月3日 22:25  ,广东
Renee,因为金所泫推荐 边佑锡听了而来的,9月3日 20:43  ,广东
Meow_l,今天定睛一看才知道是他们的歌  好日漫的感觉啊,9月3日 16:49  ,广东
asdfghjkl,豪庭,9月2日 23:59  ,安徽
POISON,马上回归，期待啊！！！！！,9月2日 10:51  ,黑龙江
喜东东,没力气了听听呆六就来劲了,9月1日 23:33  ,四川
HeeSeung.,瓜榜第6了,9月1日 17:43  ,广东
H,想问一下这位帅哥是朴再兴吗,8月30日 22:33  ,广东
shupian_cookie,补个作业也是燃起来了,8月30日 02:37  ,内蒙古
Yuán,恩瑟觉得这首歌也太好听了吧,8月28日 17:44  ,海南
Antimif,jyp的神话,8月27日 22:13  ,河北
mine,新高,8月27日 12:24  ,未知
知名不具,超级热血 韩国人毕业用这首歌不是没理由的……,8月26日 19:09  ,广西
AYHMusicislife,听音乐的时候 才能感受到活着的能量,8月22日 00:50  ,山西
Hannahyt-,我说韩国人别太爱了,8月20日 20:52  ,未知
FORY❤U,又是被呆六治愈的一天,8月20日 19:19  ,广东
𝒊⁷⁸𝒖𝒖_𝒉𝒆𝒆,呆六好,8月20日 19:15  ,安徽
蒙的都对,这个前奏绝了,8月19日 22:04  ,河南
我安静存在,虽然是被nmixx和吻的高音挑战安利来的，但真的爱上这首歌和这个乐队了，尤其知道楼宇间盛开的玫瑰是这个乐队成员写的后,8月18日 17:32  ,北京
친구,被liz安利过来的,8月16日 01:12  ,辽宁
金云鹤的眼睫毛,很热血的歌，喜欢,8月15日 15:36  ,安徽
困顿蓝色蛙,在榜了大半年,8月15日 00:06  ,广西
背着边佑锡绕地球跑🌻🍅,边佑锡的品味太合我胃口了，太喜欢DAY6的歌了！,8月14日 19:49  ,贵州
7days^wonjun：,太热血了我毛孔都长开了,8月13日 07:52  ,四川
mine,新高第八，争气,8月12日 12:26  ,四川
mine,9.2回归有人知道吗还是无人在意,8月9日 22:40  ,四川
🍏🎧,好青春热血的仙曲,8月9日 13:23  ,广西
🎈 KMSalmon 🐬,这首歌好燃,8月7日 08:35  ,广东
yrimmm,充满力量的一首歌,8月6日 01:16  ,四川
mine,日榜第九了蛙趣,8月2日 13:11  ,四川
嗯呐,太好听了！,8月2日 02:56  ,安徽
李昌燮的凑傻柴,每次听到也会忍不住律动起来,8月1日 16:58  ,北京
一纸流苏白,好听的歌,8月1日 11:44  ,陕西
도우냐냐🐶,增加美呆含量,7月31日 17:48  ,广东
聽雪,前奏刚开始就收藏了我靠🥹,7月31日 16:13  ,上海
G76,好想念在现场听这首的感觉🥲,7月30日 17:44  ,北京
颓废绝望,有能让人变开心的魔法！,7月29日 19:19  ,广东
LiLi娅,太神了妈妈,7月28日 19:42  ,海南
Aum,哥你住瓜榜了？,7月28日 14:59  ,安徽
Fan,伯贤今天演唱会彩排来的,7月27日 18:56  ,河北
Y,金所泫推荐,7月27日 12:39  ,湖北
Chuu_77.,哇,7月26日 20:47  ,未知
柳穿鱼,今天韩国同学分我的一只耳机里就放着这首歌，还有之前路过ktv都放着day6的歌，day6在小韩火得无需多言,7月25日 21:17  ,韩国
善良的吉儿,这首歌还挺好听的,7月24日 23:14  ,江苏
Erin*2,很夏天很毕业季,7月22日 00:02  ,广东
诺曼去他玛的洛克威尔,和韩国小哥一起听的歌哈哈哈 被安利了,7月20日 22:06  ,宁夏
Zoey0409,谁懂啊家人们！这首歌已经在榜11名了南韩人的耳朵终于,7月19日 12:07  ,北京
Galaxy_,非常非常好听！,7月18日 23:06  ,安徽
😺,伟大无须多言,7月18日 11:13  ,广东
mine,太火啦，又回内环,7月17日 12:20  ,未知
yuko,这个副歌感觉有点割裂,7月15日 09:55  ,浙江
阵雨,我们呆六一定会大红大紫！,7月14日 22:36  ,北京
mine,大家快去搜年中总结,7月14日 09:34  ,四川
喜欢吃水果,恭喜回内环,7月13日 00:27  ,四川
mine,回内环了，火死了,7月12日 20:04  ,四川
柴♂小宅,好像日文歌啊,7月12日 18:04  ,黑龙江
無洺氏,MA1主题曲来的 真的好听哦,7月12日 08:39  ,上海
Rachel,这首是内心呆曲top！,7月11日 20:56  ,上海
mine,后劲太大了马上又要回内环,7月9日 19:01  ,四川
猪瘾犯了,好想哭哇好热血的感觉,7月8日 13:54  ,江西
hot potato,哇！这首超过很漂亮了！,7月8日 09:18  ,江苏
thitipoom🐻,觉着好听那就听歌，谁想知道你们从哪来啊。。。评论一堆理直气壮ky的人，还骂这个歌手粉丝的，都有毛病吧,7月7日 14:09  ,山西
민이,啊啊啊啊啊啊啊啊啊啊喜欢,7月6日 11:03  ,广东
喜欢吃水果,,7月5日 02:03  ,四川
O_o,这才是真正的音乐！！！,7月4日 23:34  ,浙江
Mr.rabbit🐇,救命 这首歌好适合追星人,7月3日 13:43  ,上海
Je Te Veux,"最后面那几句英文“come on out and have fun .. .. .""是谁唱的",7月2日 19:42  ,广东
FUuUK0,queendom puzzle来的！原曲也好好听,7月2日 18:07  ,广东
.Scorpio,怎么又上瓜榜了？,7月1日 22:06  ,贵州
4 1900,第一次听是玩ssj的时候，hard玩了好几遍然后突然意识到这首歌也太好听了,6月30日 10:22  ,山东
咕哩,好好听啊,6月28日 19:53  ,山东
小岛,很热血！！,6月26日 17:30  ,浙江
アキヒカ,真的好喜欢呀,6月25日 15:41  ,山东
鲜花港,感觉好像某部日漫的主题曲，好热血,6月23日 20:10  ,广东
Lyyyujia,day6怎么突然火了,6月22日 21:55  ,辽宁
换个微信名,滴滴叭叭来的哈哈哈哈,6月21日 23:46  ,山东
Y,毕业快乐🎊,6月20日 13:01  ,江苏
妄图早起,这首真的好好听,6月20日 00:08  ,江苏
sano_-oo,好🏾,6月19日 14:35  ,福建
May1biin-,元彬飞升吧,6月17日 18:56  ,湖南
如果Ba,老铁们,6月17日 03:04  ,广东
小鹿承,好热血。。。,6月15日 10:33  ,重庆
dori,好好听！,6月14日 13:04  ,广东
原野,太好听了🥹良药,6月13日 14:47  ,北京
IRENE,鸡蛋勋Cover的一段来的，原曲真的好好听，有被安利到,6月12日 22:36  ,江苏
RainaLovesPink,前奏以为是日语歌,6月12日 20:53  ,辽宁
Lucy-Done,还以为是新歌，听到朴在兴的声音突然愣住了，已经很久没听呆六的歌了。。。。。。。,6月12日 20:18  ,浙江
Mooniki,嘎！,6月12日 18:49  ,北京
🍓🐻💜🐰🥕,我们day6怎么突然又支愣了,6月11日 22:43  ,四川
Giroro,好好听 发现宝藏了！,6月11日 19:06  ,上海
Rachel,超级喜欢,6月10日 15:09  ,上海
月升王国,要毕业了,6月9日 14:18  ,陕西
paekiji,生日快乐🍀,6月7日 12:09  ,江苏
Matarlo.,这歌真好听啊,6月5日 14:39  ,山东
～～,日推的 好久没听美呆的歌 但是前奏一响感觉就来了 一开嗓就知道是他们,6月1日 10:33  ,江西
祝青,来补充能量了,5月31日 08:19  ,安徽
reddd,看多哥几个的现场导致我现在听到开头就想go！,5月28日 20:28  ,上海
edelweiss,特别喜欢🫶🏻,5月27日 00:34  ,浙江
iris_pilipili,其实这首歌在韩国本土很火的.......我们day6其实是韩国很火的乐队,5月26日 19:25  ,浙江
Yuán,评论区里说烦的…要不是看了nmixx综艺我都不知道师哥有这么好听的歌，家族一起宣传好曲怎么了,5月26日 14:55  ,海南
Yuán,看了nmixx综艺来的，师哥的歌好绝啊,5月26日 14:52  ,海南
你的血液供给gou,原来是day6的歌,5月23日 02:52  ,广东
刺猬🎵,太太太太太太好听了这首歌,5月22日 15:41  ,湖北
,太爽了🏻,5月21日 17:32  ,广东
mine,超过很漂亮了啊,5月19日 12:18  ,四川
iris_pilipili,霹雳唱this is our page的时候太有希望感了,5月19日 11:30  ,浙江
iris_pilipili,朴晟镇 姜永晛 金元弼 尹度云 데이식스！ 🍀,5月19日 11:29  ,浙江
iris_pilipili,最好最好的呆六,5月19日 11:28  ,浙江
TOI 1388 b🩰,完全热血日漫即视感,5月19日 10:12  ,青海
四大佛山,这首歌有一种即将毕业了对青春的缅怀哈哈哈哈，明明很伤感的但是这首歌的范围完全不一样,5月19日 10:02  ,江苏
吹泡泡的仓鼠,没想到我的小破团终于见光了！！！,5月17日 23:10  ,四川
🐟,日推懂我！！师兄团的歌太好听了吧，love me or leave me也好好听！,5月17日 16:47  ,湖北
开花的澍,原来day6是团名，我以为是综艺名儿呢,5月16日 03:33  ,广东
雪饼雪饼🐱,听了就会幸福的歌,5月16日 01:44  ,山东
Takeitontherun,我觉得这首是恋爱神曲（）,5月15日 18:18  ,北京
认不出我,嘿嘿听了糯米香香唱的！豪庭！！！,5月15日 01:50  ,浙江
蒤鸦oO,被nmixx和kiss of life对决安利来的,5月14日 22:48  ,上海
