Username,CommentContent,Time,Location
欧美报刊亭,《A Bar Song (Tipsy)》发行后流媒大爆，在公告牌热门乡村歌曲排行榜上排名第一。继碧昂斯的《Texas Hold 'Em》之后，音乐史上出现连续由两位黑人歌手登顶乡村榜单的记录！,5月10日 11:21  ,广东
Chloé,这个鼓点和李娜叉的THATS WHAT I WANT很像唉，还以为是共同制作的,5月18日 14:05  ,辽宁
Desmond,一首酒馆里的歌，太好听了也看过歌手和烟鬼同台,5月1日 09:52  ,福建
蓝毛,我的TikTok已经全是这首歌了,4月17日 19:33  ,加拿大
Oreoreo,在rap大行其道的年代，country愈显独特,8月7日 11:23  ,四川
X,这首歌挺好听的呀。为啥还没火🔥,4月25日 10:15  ,四川
Haa,Billboard逆流而上，马上来听了，牛逼,4月30日 22:52  ,黑龙江
CoeX^jul.7 盼国庆捏,乡村音乐是被大众所共同喜爱的 令我惊讶的是有黑裔歌手能够登顶  但不得不说确实好听 小提琴与吉他结合的很优美 味道很足 听着听着已经到酒馆了,7月15日 16:36  ,宁夏
汪汪队总队长,听第一遍就爱上了 也很喜欢他的声线——置身在西部荒漠 身边是一匹我心爱的马儿 走向边陲小镇的小酒馆 尽情歌唱（这是我的意思流虽然和歌词很不搭边）,5月19日 18:13  ,重庆
HA,不得不说，这俩年的榜单一个能打都没有,8月10日 06:24  ,云南
lu,这怎么那么像李娜x的歌啊,8月12日 17:54  ,广东
幼儿园园长,好歌就是经听，已经循环一天了还是那么爱,5月10日 00:14  ,浙江
烟肥c,烟鬼告诉我好听，我来看看怎么个事,4月30日 23:39  ,重庆
ㅤㅤㅤ,我就在这里等待这首歌被更多的人发现  就在这里。,5月28日 19:54  ,内蒙古
mellow,欢快的曲调，充满生活气息，强烈的节奏感，配上上头的歌词，让人欲罢不能,5月26日 14:25  ,广东
云边椰子树🌴,老美今年是真的对乡村情有独钟,9月29日 17:45  ,云南
AI.ZC,歪个楼 他管朝九晚五叫work so hard？？,9月29日 16:48  ,浙江
风圣明月,抖腿摇头神曲,9月29日 09:46  ,广东
Barbie,越听越好听啊！！,9月28日 14:29  ,广东
BB,编曲有一点像old town road,9月26日 19:59  ,广东
未来,美妙的country,9月24日 22:21  ,山西
⁣　⁣⁢,农村包围城市也是被老美玩透了,9月24日 22:18  ,广东
井泉,赶紧播 中国竟然还不火 这么好听哈哈,9月24日 20:22  ,上海
橘色频道,好像bon iver的,9月24日 05:06  ,广东
秦嘉双子,有种苏格兰风情,9月23日 10:16  ,未知
A Lo Lejos,怎么又是乡村,9月22日 20:20  ,四川
恭喜娇娇，娅娅，嘎嘎，布肥婆,妖单可惜我匠,9月21日 00:17  ,广西
Yo.日向.,朝九晚五还不满足啊,9月19日 18:36  ,山东
有酒时放浪的客、,为什么评论这么少,9月19日 11:03  ,法国
恭喜娇娇，娅娅，嘎嘎，布肥婆,冠的也太久了吧,9月19日 01:54  ,广西
iqndbdja,朝九晚五你就算so hard了吗,9月18日 21:30  ,北京
麦塔纪元,这不是李娜×的旋律吗,9月18日 17:37  ,山东
Conejo malo,今年怎么这么喜欢乡村,9月17日 13:31  ,陕西
Childress.96,哥们没文化，豪庭,9月16日 00:00  ,辽宁
Ajun,这歌比匠女王的2首高？刷榜的吧,9月15日 14:45  ,江苏
12956,稳住！！！！,9月15日 02:16  ,广东
Aya,外国人真喜欢听乡村,9月13日 00:05  ,内蒙古
强强,农村包围城市,9月12日 12:38  ,北京
ø,村曲近几年也是好起来了啊,9月12日 04:26  ,湖南
恭喜娇娇，娅娅，嘎嘎，布肥婆,恭喜9周冠,9月8日 22:29  ,广西
Summer,保底10周冠了吧，电台流媒稳的离谱,9月8日 02:45  ,福建
music,B榜的质量还是一如既往的可以,9月8日 01:06  ,四川
☻✘☻✘✘,🫶🏻🫶🏻好听,9月7日 20:22  ,河南
冈崎片段,循环播放,9月7日 00:45  ,天津
甜甜妹妹超甜的,开口就能听出来，但是没办法教你，乡村乐的唱腔靠前,9月6日 11:01  ,吉林
海德、哲基尓舆我,不懂why一直第一,9月5日 07:02  ,日本
小眾/.,八周冠,9月4日 21:43  ,四川
⛵远洋去哪儿~,简单轻快上头,9月2日 23:42  ,四川
敏敏咯咯,真的很好听啊,9月2日 19:01  ,山西
WC,还不🔥，没理由,9月1日 18:00  ,云南
DCGJ,豪庭,9月1日 16:55  ,陕西
小虎牙,黑人搞乡村乐真的buff拉满了……,8月30日 19:57  ,四川
先生很忙,好好听，第一第二都收藏了，节奏非常好听。,8月29日 14:36  ,重庆
V卍,听说梅里诺喜欢听这首歌,8月29日 08:54  ,福建
Gaia,听着还行，就是好公式化啊，我听着感觉跟之前听过的两三首歌基调差不多，不知道是纯属巧合，还是采样，还是抄了,8月29日 04:31  ,四川
MagicMike,买顶牛仔帽,8月28日 23:54  ,山东
@@@Albert,可是挺好听的啊。。,8月28日 21:53  ,北京
some biscuits.,前奏很像很像Oasis的woderwall………,8月28日 16:43  ,广东
Byst,这首听出了一点lil nas x的感觉,8月28日 03:48  ,山东
Billie,前奏好像Mr. Forgettable的前奏,8月27日 17:38  ,贵州
Landy蓝迪,好听成这样,8月27日 10:07  ,广东
Gezelligheid,麻鸭，好听惨了,8月26日 21:35  ,青海
三月,听完后只感到惬意与欢快让我忍不住想高歌一曲（不过五音不全）,8月26日 21:09  ,河南
