Username,CommentContent,Time,Location
啊咩Fusion,🇨🇳🛫🇨🇳07♌️一天吃8顿#📍破烂旧小区🛌👩🏻‍🏫💩🏻#高中毕业证不翼而飞#喝过5次冰红茶#最爱盖浇饭#城里人#infp#油头#凶狠凯蒂#fyp#亖尸微诈#四线小城市#lifestyle#174#inmyfeeling#differentvibe#闪电特效#墨水特效🚾🐀🏨💩#国际学校,6月26日 22:37  ,广东
📟🌨,老外听这歌都听魔怔了,6月8日 17:16  ,河南
Dusk,"We can go band4band,fk that, we can go m4m",6月10日 13:02  ,上海
奕颗心.,陈奕恒同学，我知道你在听，你的品味真好，我也很喜欢这首歌,8月1日 14:20  ,浙江
CHELSEA,🇨🇳🚲🇺🇸#09国际生ENFP ♏#inmyfeelings #ootd🏎️🤺⚽🎡👩🏻‍🏫🍲🥃🍝🍱#小学毕业 #初中毕业证找不到了#爱喝蜜雪冰城 #玩原神,6月24日 16:43  ,上海
爆,家哼听的比我潮（扶额笑,7月29日 19:25  ,江苏
Marcos🐘,什么时候能看到central cee现场，他一直在美国,5月25日 15:17  ,英国
偶像剧.,听说家哼喜欢就来听了,8月3日 19:07  ,甘肃
古琴手,村口✈️村尾07♉️IMSB大专生📍农村自建房📱OPPO A5#IMSB #华莱士 #美团拼好饭神券膨胀 #pdd先用后付 #初中 #rap #美式 #超雄 #大瓶冰红茶 #洛克王国VIP#近亲结婚,6月25日 15:49  ,河北
童₇话都是骗人的ᴋ.,哼哼也是美式上了,7月29日 19:34  ,湖南
77xx,🇨🇳✈️🇨🇳12♑️INTP📍床上📱iPhone13Pro妈妈血混爸爸血💀💀🔥🔥🔥#超雄#fyp#卷毛#美式#国际学校#168#会弹电吉他#占卜师#街舞,6月25日 21:37  ,吉林
我要逆天11,中文翻译就交给asen（我感觉我的freestyle能出一张专辑）,6月12日 11:04  ,四川
LuvisDrug,🇨🇳✈️🇨🇳08♒️ENFP📍New York武汉🗽📱🛌all day#职高#160#农村人#fyp#没洗头,6月22日 14:46  ,湖北
ooli,老公爱听所以我就来了,7月29日 03:53  ,广西
LT7,匪帮➕drill 你俩真懂我,5月24日 22:41  ,辽宁
Cakee7,英国国歌,9月28日 12:42  ,广东
gemir,家哼爱听我就来了,9月27日 21:52  ,福建
Don't do this,我有你没的二头肌,9月27日 03:13  ,浙江
腌面战神,tiger视屏底下天天听,9月26日 23:30  ,广东
忧郁的宝剑10,好听的批爆哈,9月22日 04:40  ,重庆
Rebecca,drill,9月20日 23:15  ,浙江
蜡笔小鑫.,小哼哼挺潮的,9月20日 12:37  ,湖南
ez,英国国歌,9月19日 22:50  ,未知
21😿,不是，怎么全是什么哼哼啊,9月16日 18:08  ,四川
宋你一只小哼猪～🐷,哼哼～,9月16日 12:53  ,四川
加州的日落,你晓得我演出贵,9月15日 08:37  ,四川
marin,m对m,9月13日 21:37  ,广东
yu,m4m,9月12日 15:38  ,广东
nOTiNpUrPosE,太土了不敢开车听 怕被朋友蛐蛐,9月12日 03:13  ,加拿大
王一,那么帅的歌，中文翻译有点译得太偏了,9月10日 03:45  ,美国
sujack2000,在日本海鲜市场听到 惊了 太hiphop,9月9日 09:47  ,日本
Kobe,哼太潮了,9月9日 01:59  ,广东
听听,美式哼,9月8日 15:36  ,四川
_哼咪驾到（和陈奕恒对视版,陈奕恒 越来越多的人喜欢你了,9月4日 22:45  ,四川
^ ^哼什么恒歌,为哼哼来的,9月4日 21:52  ,中国香港
她说万幸只是相识,英国小asen,9月3日 11:44  ,河南
敢阴阳我？我直接跳起来一拳打头,这是UK drill美式呢？,9月2日 02:38  ,广西
Royalty.,鹿观最爱听所以我来了,9月1日 15:10  ,湖南
純情小狗,哼哼听这首歌 脑袋里会不会自动翻译阿,9月1日 13:55  ,山东
爱 唉,围脖 哼味章禹丸 宝宝们来找我玩 🔝张泽禹 陈奕恒,9月1日 08:03  ,贵州
