Username,CommentContent,Time,Location
春落秋叶,西班牙语歌还得看南美，西班牙跟翔一样,6月4日 04:55  ,西班牙
EVACRIS,Instagram上天天刷到这个歌，好喜欢,5月19日 10:41  ,浙江
lalislili,美抖音乐品味遥遥领先！！！,5月13日 13:41  ,浙江
Blessing,Cris Mj还是很帅的,8月7日 11:27  ,湖南
Vii💫,I love cris mj he’s so fine like hello??! my husband bfr,4月27日 21:29  ,澳大利亚
呀子,好想跟唱 怎么学会啊啊啊啊,5月1日 23:30  ,湖北
呵呵了,又跟着一漏来听歌了…他用的bgm真好听啊,4月18日 22:43  ,辽宁
Adrey*,外网很火但这里没人听系列,6月9日 03:37  ,中国香港
太撑了 吃不下任何东西,妈呀 因为这首歌迷上西语了,7月14日 22:24  ,江苏
24hour,来这里的是不是大部分都从外网回来识曲的,8月25日 10:24  ,辽宁
Rozlyn,喜欢,9月29日 20:31  ,西班牙
· Celeste,TikTok来的哈哈哈,9月26日 19:38  ,重庆
v,长得好可爱,9月19日 13:33  ,西班牙
dimple,听五个月了还没腻咋办,9月16日 16:23  ,美国
Jupiter,额啊啊啊有没有做西语歌单推荐啊，坏兔兔都快给我盘包浆了,9月14日 02:39  ,贵州
千切豹馬到成功,真的很好听,9月12日 09:15  ,湖南
MiManchi,爽死我了,9月9日 21:54  ,湖北
F1aaa,单曲循环中,9月9日 16:20  ,陕西
何以为家,循环的循,9月9日 06:22  ,上海
Z-,从抖音过来的,9月8日 17:54  ,西藏
蟑螂粉絲51凡,真的太好听，太好听，太好听了,9月3日 22:56  ,中国香港
inodg.,求还有像这种音乐类型的吗求推荐,9月1日 11:42  ,四川
:/,好美的歌……,8月29日 20:33  ,重庆
Sotatataaa29,感觉我已经能全文背诵了,8月26日 20:28  ,四川
24hour,来这里的是不是大部分都从外网回来识曲的,8月25日 10:24  ,辽宁
iirklii,这是真好听,8月24日 16:16  ,山东
我家老公,超好听,8月22日 20:22  ,新疆
钚-186,翻译还是太收敛了,8月21日 15:14  ,福建
zzzoiey,超爱,8月17日 21:37  ,江苏
passion fruit,好喜欢,8月17日 10:39  ,江西
Devil👿,猜你想听：1：58,8月12日 09:20  ,上海
Hassina,Cris Mj is so cool,8月11日 12:49  ,浙江
Hassina,wow!it it's good,8月11日 12:43  ,浙江
Blessing,Cris Mj还是很帅的,8月7日 11:27  ,湖南
🍔🍟,终于有翻译了,8月5日 23:59  ,四川
