Username,CommentContent,Time,Location
欧美报刊亭,"姆爷在新单预热视频里说：“Well for my last trick, I’m going to make my career disappear,” 加之他的第十二张专辑标题为《The Death of Slim Shady (Coup de Grâce》，粉丝都在猜测这会不会是姆爷的封山之作。",5月31日 12:00  ,广东
Liu1ess,戒酒10周年+女儿出嫁后的老爹怒写一首《without me 2.0》,5月31日 12:28  ,广东
幺鸡,差点以为要联动Dua Lipa了,5月31日 14:22  ,新疆
nineteen•︡ᯅ•︠,女儿出嫁无所事事，五旬老人说唱出道,5月31日 18:30  ,湖北
will_lwq,我觉得姆爷这一专是用来谋杀自己的shady人格，并不是封麦不唱了,5月31日 12:47  ,广东
L·N,啊什么？为什么听起来这么像Without me,5月31日 12:34  ,安徽
Gavin,2:17秒的旋律like：是谁抢走了我的麦克风🎤,5月31日 14:15  ,上海
JESY,"Eminem 在新单曲《Houdini》嘲讽 Megan Thee Stallion 被枪击：“If I was to ask for Megan Thee Stallion if she would collab with meWould I really have a shot at a feat?（如果我问 Megan Thee Stallion 她是否愿意和我合作，我真的有机会（shot）实现这个合作吗？）”在这里，""shot"" 一词既表示“机会”，也暗示了 Megan Thee Stallion 曾经被枪击的事件。",5月31日 14:48  ,新疆
米苏ღ.,Eminem你现在是真走起来了，都能跟Slim Shady合作了,6月4日 10:07  ,广东
MF12akaBigB,前面听得头刚摇的受不了，听到后面的歌词会心一笑之余又有点伤感，老姆真的在回首二十年间的一件件事了，加上那句for my last trick，不会真的要退休等着抱孙子吧,5月31日 12:18  ,辽宁
AlEX-l\DƎR,Eminem现在52岁说shady之死，而houdini是底特律的魔术师，在他52岁的时候去世。（他曾表演倒挂入水，Eminem role model 的mv有这个画面）,6月1日 10:24  ,浙江
Libra,我的个老头子啊 复活了这是,5月31日 12:08  ,重庆
米苏ღ.,新专先行曲一股浓厚的shady时期风格，连声线的处理也和职业生涯初期极其相似（对比Revival 和Kamakazi整专可以很明显发现），之前一直担心姆姐新专要再次走shady风，他的声线还能不能挺住，因为实话实说人到中年声音变化对歌手的挑战实在是太大了，现在从新歌看来应该没啥问题，保持关注！,6月4日 10:07  ,广东
大鱼,所有人，请我们的说唱王和我们的说唱女王一起把驴蹄子除掉,5月31日 13:56  ,中国香港
Stanley Wim,Without Me 2.0 ೭(˵ˉ̴͒ꇴˉ̴͒˵)౨,5月31日 12:12  ,四川
左斐然,我的麦克风？？？,9月24日 23:20  ,未知
。。。,,9月24日 19:15  ,湖北
🍒燊杼,泰裤辣 他回归了 哈哈哈,9月21日 20:42  ,湖北
去码头整点薯条,我这种平时不听说唱的都觉得他唱的牛逼，那个什么佬的从来不听,9月21日 16:24  ,广西
我感觉非常冷,论抄不抄的到最后起源都是欧美何必自取其辱呢，承认现代流行乐源自欧美那么难吗,9月20日 22:30  ,黑龙江
乌龙酱,是谁偷走了我的麦克风🤦🏻‍♂️,9月18日 08:16  ,江苏
西米,老姆宝刀未老！,9月15日 22:51  ,广东
嘻嘻嘻,法老的小高级的背景音乐,9月15日 17:38  ,浙江
小马会飞,冠了吗,9月14日 14:55  ,福建
贪吃蛇,这就是后劲吗,9月13日 22:19  ,湖南
貓先生Karl玩Phonics,Paul这个梗真的好Who’s back,9月13日 11:05  ,广东
彼得,真服了那些说像我的麦克风的，读点书去吧，,9月12日 16:53  ,澳大利亚
Fei,asen骂法老抄了一辈子。真没说错他他连前段时间那个diss都抄的这首歌，除了词是英文的他把词改了改旋律flow一模一样。,9月12日 11:27  ,宁夏
Hollyhock,有一段很像 是谁抢走了我的麦克风🎤谁懂啊！！！,9月12日 07:48  ,江苏
晚莞,怎么有一句 和潘玮柏的“是谁拿走了我的麦克风”调一模一样,9月11日 18:34  ,江苏
胜仔,这不是超级魔术师每次开场表演的bgm吗,9月11日 11:18  ,广东
luxury🐠,这首像周董的风格,9月10日 06:11  ,美国
独自旅行,丝滑,9月4日 13:32  ,广东
DWD,你是谁为什么要抄袭我姆爷的歌,8月31日 01:36  ,重庆
judyrain,旋律有点像法老的小高级,8月29日 15:30  ,上海
M. A. Houran,Eminem recreates ‘Without Me’ video for new single ‘Houdini’,8月21日 15:59  ,陕西
X哥👟👔⌚️🌍jianswag,这音乐听着感觉在西部沙漠公路开着车放着听的感觉,8月20日 04:50  ,广东
luxury🐠,编曲像《比较大的大提琴》,8月20日 02:37  ,美国
Marcus ♚,abra abra cadabra,8月18日 20:28  ,新疆
solo,开烧,8月17日 09:28  ,湖北
