Username,CommentContent,Time,Location
欧美报刊亭,龙宝简直办法天王，接连跟流行/乡村的顶流合作🫰🏻,5月10日 10:22  ,广东
Forensic Tam,我龙一万个回春方法,5月10日 08:41  ,广东
雷阵雪@台风,这歌其实也就还好，但是现在大多欧美热单都是灰蒙蒙，偏压抑，这首那么阳光轻快像是回到了小时候的那个欧美时代，还蛮清流的,5月11日 21:39  ,北京
💭,世纪组合，摩根在乡村领域里算是马龙的大哥了,5月10日 08:47  ,江苏
এ້໌ᮩ᭙ꪮᖇꪶᦔ💫,马龙属实会找合作对象！,5月10日 10:38  ,广东
移星河🥳,？意想不到的合作？乡村音乐的现役顶流和流行领军之一马龙的合作？！！？我吃得有点太好了🥹🥹🥹两个人的嗓音简直天作之合呜呜呜🥹,5月10日 09:02  ,天津
Posty5,龙宝带着他的夏季热单走来啦！超喜欢这首合作曲！( •͈ᴗ⁃͈)ᓂ- - -♡,5月11日 13:10  ,福建
Arthur,我现在应该是听到单音旋律就会悚然一惊了，这歌的旋律模式化太高了，主歌模进副歌单音，这么容易上头的旋律，他太想火了。后面还有一首跟Luke Combs的合作，看看后面的乡村风格的专辑怎么样吧，Malone还弹得一手好吉他呢。,5月13日 11:08  ,北京
由崎星空,“Help”译成“共谋”“听前语言错误”“听完憬然有悟”,5月10日 23:04  ,吉林
YuSuf,很享受马龙这种风格,5月12日 11:22  ,浙江
Hydrogen.,3分钟不到龙宝给点力，学学你姐来个10 min version,5月10日 10:09  ,广东
南波湾的完能☁️,马龙这个乐器还是不错的,5月10日 18:36  ,天津
Mia,马龙现在真的开始玩乡村了？？？,5月11日 10:34  ,江苏
反泳,龙宝的风格一直在变啊，这首也很好听，嗓音契合度完美,5月12日 10:46  ,贵州
x,又是世女一又是村男一，马龙怎么这么会合作,7月2日 09:03  ,山东
星叽,志晟直播过来的哈哈哈哈,9月22日 07:54  ,广东
Timeless,某人喜欢的歌 果然很好听,9月20日 00:17  ,重庆
舟Benjamin亢,音乐响起 每根汗毛都在跳舞,9月4日 08:15  ,北京
extrusted,打卡啊啊啊,8月19日 21:10  ,河北
蟹蟹xie,打个卡～hi～Im here！,8月16日 12:42  ,北京
瓜瓜,you know what I mean 🫶🏻,8月14日 13:32  ,山东
李知恩,如听仙乐耳暂明,7月17日 02:49  ,四川
reminder,m,7月16日 13:19  ,四川
Aas,这歌 好玩好听,7月6日 17:52  ,上海
Yangly,听这歌感觉脑子被红脖子锤了一顿。,7月3日 14:03  ,江苏
x,又是世女一又是村男一，马龙怎么这么会合作,7月2日 09:03  ,山东
Access,感觉他俩产生了一种很完美的化学反应。,7月2日 01:42  ,广西
YeahYeahYeah,一根绳上的蚂蚱,6月30日 11:35  ,四川
Miley🌻,Silver ho🐺泡泡推荐的，有点乡村的感觉🎸,6月27日 18:06  ,福建
Lailainee,跑来🏃,6月27日 17:43  ,天津
waoo,客观的好听,6月25日 23:33  ,湖北
Taylor Swift,,6月21日 08:54  ,浙江
伯乐。,好听,6月20日 01:54  ,河北
summer,龙根组合,6月19日 21:22  ,河南
最伟大发明,等新专,6月19日 09:28  ,四川
新年日💕,好好听的乡村音乐 龙宝爱了爱了,6月18日 19:19  ,江西
,马龙是什么神奇添加剂，fortnight和这首都是越听越上头,6月18日 12:53  ,浙江
CRUSH,好听很舒适,6月16日 21:22  ,河北
炘颖,好听,6月13日 12:06  ,天津
檐雨如绳,好听好听好听好听好听好听好听好听,6月11日 13:10  ,广西
Shaka,马龙和摩根这首看B榜早期预测要五周冠了,6月10日 15:13  ,江苏
