Username,CommentContent,Time,Location
【Dream】@梦想 - DJ,这个歌名…drill音乐名字都喜欢致敬rnb女歌手吗？上次印象深的drill还是central cee的doja,7月23日 11:30  ,安徽
ayub 范达🇨🇳,"This is gonna blow up🔥, mark my words",6月19日 18:37  ,青海
juliaa,太好听了这个flow我需要歌词,6月10日 21:34  ,云南
果核酱牛煲,采样了 Summer Walker 夏姐的 Potential,7月21日 00:59  ,广东
ayjan,一天不听就浑身难受🫣,9月27日 14:23  ,新疆
Mint,日推听到chill,9月26日 14:55  ,广东
诗礼,求相似风格曲目推荐,9月25日 18:24  ,江苏
Janet,谁懂这种又chill又辣又暧昧的feel啊 绝了,9月24日 12:01  ,江苏
⸸anokyai⸸,,9月22日 10:19  ,四川
别顺走猪狗-,两天570遍 好好听我不行了,9月19日 07:54  ,河南
vvvcheems,这是原版吗,9月19日 07:33  ,广东
💀,🧎,9月17日 23:12  ,广东
别顺走猪狗-,好听..,9月17日 13:26  ,河南
礼澍,太爱了,9月17日 10:34  ,安徽
1am^0^,洋抖火了🔥,9月15日 21:58  ,四川
-duck不必-,这首歌我是在电台听到的！好好听啊！,9月15日 11:42  ,北京
翛翛,好聽,9月14日 22:07  ,未知
7A*Seven A$,哈哈哈哈哈哈好听，这首歌的二创也好听,9月12日 16:35  ,美国
迷恋你,来了,9月11日 20:01  ,湖南
恋习,🏻,9月9日 23:44  ,福建
豚踢兔,好听,9月8日 23:14  ,山东
SUNGCHAN,留个名,9月8日 22:45  ,河北
垂直线^,好听啊。张峻豪认证,9月8日 21:51  ,海南
谢谢灵文真君保,好听,9月8日 13:21  ,重庆
久本,好听的,9月6日 18:34  ,河南
Trayé_WRLD999🥷,留个名,9月3日 19:58  ,四川
李李李修远,像不像糯米的，阿普的思念,8月28日 06:45  ,未知
leona</3,Nah cuz I took way too long to find this,8月27日 19:34  ,上海
F1Lluv,舒服的sexydrill已经在tiktok爆火了,8月26日 23:37  ,重庆
Yvonne,today song,8月21日 20:48  ,上海
0.,tk爆红,8月20日 21:52  ,北京
严,留名,8月14日 10:51  ,广东
天天分手的tana,,8月11日 05:14  ,新疆
CHIHIRO,🔥了这歌,8月10日 12:09  ,河北
简童,调调是我喜欢的格调,8月7日 08:58  ,浙江
vapaus🤟,Slay,8月6日 09:58  ,新疆
😽🤍,太特么好听了,8月5日 00:43  ,山东
moresojuplease,单曲循环两天了好听,7月31日 17:55  ,江苏
NINGx2,留名,7月31日 12:18  ,广东
【Dream】@梦想 - DJ,这个歌名…drill音乐名字都喜欢致敬rnb女歌手吗？上次印象深的drill还是central cee的doja,7月23日 11:30  ,安徽
✨,🔥前留名,7月22日 17:26  ,广东
勒布朗,tiktok dance,7月21日 09:41  ,江西
果核酱牛煲,采样了 Summer Walker 夏姐的 Potential,7月21日 00:59  ,广东
黎桉.,This is true music.,7月18日 13:53  ,吉林
Yuhi,感觉要在抖音火了这歌,7月5日 21:42  ,四川
zzzzzzzh,要不要太像calling for you,7月5日 16:40  ,广东
ayub 范达🇨🇳,"This is gonna blow up🔥, mark my words",6月19日 18:37  ,青海
juliaa,太好听了这个flow我需要歌词,6月10日 21:34  ,云南
