Username,CommentContent,Time,Location
Yessirskiii,Drake怎么能这样说人家制作人，害得我Metro敲一天的鼓,4月19日 08:21  ,四川
"“π""",没关系，我鸭会出手,4月16日 15:56  ,北京
·DAME·互关,好笑的是metro现在唯一能回应的方法也就是做个beat,4月19日 14:22  ,北京
Pasión,炸裂，这首歌不得不承认因为diss让他上升了一个高度，metro这次应该也被寄予了厚望，编出了这么炸裂且westside的verse，重点是每个intro都踩中了喇嘛的点，整篇又很搭future的老烟嗓，希望jcole下次制作带上pdiddy，想看这场battle再拉大点，rap能有个16.17年的矛点，也算粉丝狂喜 ps:白字理智对待不站边，欣赏别踩黑子,4月11日 13:29  ,浙江
Xux1aoyu,这beat真感觉地铁被气坏了,5月1日 11:35  ,云南
私です 乁·澜,全专最佳，这波必须支持我喇嘛指点江山，整治说唱⭕，Drake不要因为牛牛大就觉得自己音乐也屌炸天,3月23日 12:45  ,四川
nightcrawler,kdot在他的verse里回应了Drake和J. Cole在fps里关于big 3的那句歌词“it just big me”,3月22日 13:05  ,山东
Kamikaze,Kendrick Lamar在做一些能拉开自己和他们两个人的身价的作品,3月23日 17:41  ,浙江
Rakim,太顶了 居然还有kdot的verse,3月22日 12:10  ,广东
九四二零,metro是真不想跟drake一起玩了,3月22日 15:13  ,江苏
Satellite,K.Dot贡献了2020年代迄今为止最狠的一段diss（可以不加之一），他仿佛回到了十年前backseat freestyle那种目中无人的张狂态势。他将自己对于jcole和drake的不屑与鄙夷写在了每个字的字缝里。虽然这二者在我看来都有很高的音乐建树，但是K.Dot却咄咄逼人，将他们比作迈克尔杰克逊而将自己比作王子（甚至踩了一脚MJ，尽管我们知道这不是他的本意）。句句尖锐，句句扎心，但是我们又不得不承认他说的对：kendrick lamar已经成为了当代嘻哈领域的佼佼者，很难找到谁能与他相提并论。这么针锋相对的骂人方式，居然让我想到了JPEGmafia，当然，是Peggy的话就指名道姓骂了,3月23日 22:45  ,湖北
ye,kdot？？？这次真的流豆浆了,3月22日 12:54  ,江苏
网友张顺飞,什么勾八三巨头，最屌的只有我,3月25日 10:50  ,陕西
大鱼,所以说唱界确实King和Queen只能各有一个,3月23日 13:29  ,上海
Yessirski,Metro tryna get out of here,3月22日 12:22  ,江西
成嶋亮,都站喇嘛这边 就没有站严浩翔哥哥这边吗,4月7日 19:06  ,湖南
无殇,drake绝对是有实力做出好专辑。好歌。但这货这么些年待在舒适圈太久了。不仅待在舒适圈，有没有人和我一样的感受，drake最近很多首歌的verse很无聊，且有一种浓重的敷衍之感，甜品歌曲都做不好。j cole就没啥好说的，音乐作品上限就摆在那，没啥创新的成分，玩的就是老一套的东西，离“巨头”其实差一段。与lamar，drake其实不在一个层次上。,3月31日 20:28  ,河南
Cactus_jks,歌名致敬说唱圈传奇巨星kriswu,4月29日 22:13  ,福建
Perpetual,"I crash out, like, ""F rap,"" diss Melle Mel if I had to",3月22日 19:14  ,德国
你头发乱了喔,就前面一段歌词而言，完全符合人们对早期 rap 不好的刻板印象的一首歌，女人和钱，这两个题材缺一不可的那种。前面那一类词中主要展现的还是那一套：男人的厉害和威望都建立在所谓的“女人”身上，比如词“我把你的恋人哄到手了她对我百般殷勤”…类似 在这种事情上的那种自信啊真的是无比自信。（从中国人对词的价值观上所考虑的，不否认他们的能力和歌曲的棒，仅代表个人写评）,4月12日 10:27  ,江苏
爱听说唱的猫咪,苹果音乐全是消音版，听个锤子,11:43  ,广东
Tasakawo,USC！,9月28日 21:57  ,河南
rap fan,这怎么也要vip了,9月23日 23:05  ,河南
Emily,Future这词写的真不行。。。,9月18日 15:22  ,广东
Bionic0rigina1,kdot声音好性感,9月17日 12:04  ,重庆
Jonathan,🦆,9月11日 11:52  ,浙江
Emily,kdot要上超级碗啦哈哈哈,9月10日 21:17  ,广东
Klin11,@浪迹天涯 开头Beat挺特殊的,9月2日 18:17  ,广东
𝕐,又听了一首你喜欢的歌,8月30日 21:55  ,山东
Xandhi,结算界面,8月29日 00:02  ,陕西
低质量地球online玩家,词写的也太逆天了我去,8月21日 20:14  ,北京
Margaret,烤鸭前菜,8月21日 18:21  ,山东
晚风,beat极有攻击性 两段verse各有特色 国王的铺垫和Lamar的爆发都很关键,8月21日 01:00  ,浙江
经赐（爻0819回归版,1100,8月19日 00:08  ,河北
HXxxx,你喜欢听这个啊,8月15日 20:03  ,北京
viannn,来了,8月15日 18:33  ,广东
Luoyh,这首歌的节奏太好了,8月13日 00:50  ,广东
大宝宝,喇嘛太狠了啊,8月12日 02:44  ,西藏
373737,新的大战又马上开始了,8月10日 21:35  ,四川
Tod,这个beat确实顶啊,8月6日 11:39  ,未知
老三,drake自此开始半自闭模式,8月6日 07:58  ,浙江
373737,metro这个beat太有侵略性了，真感觉有90s的西海岸之争beef的水准了,8月2日 02:19  ,四川
373737,我寻思着这首不必like that好听吗,8月2日 02:16  ,四川
Chusuk,采样了kanye的eazy？,7月29日 16:26  ,广东
躯体化,爽,7月29日 11:07  ,河南
