Username,CommentContent,Time,Location
欧美报刊亭,《Million Dollar Baby》是一首融合了R&B、放克和南方陷阱的混合型音乐作品。一个十分魔性的合成器音效贯穿在低沉的吟唱和高耸的假音之间。它被多家媒体盛赞为今年最佳夏日单曲。在此前没有任何商业成绩的前提下，Tommy Richman凭借这首歌瞬即在短视频平台爆红，并蹿升至公告牌亚军位置。,5月29日 11:40  ,广东
Rose,那群国际高中围着味就来了,7月3日 15:01  ,山东
离人,omg，都要冠了，居然才10评论,5月6日 13:25  ,广西
Mvinegl˃ʍ˂,老婆们别ky，好好听歌，不然我们又要被骂了,7月24日 00:32  ,河南
我就爱tour咋滴了,从jaehyun的ins来的啊啊 真的太好听了,6月17日 18:06  ,福建
ɪᴅ_di,上头的vibe但是撞了泰勒斯的苦难诗社又撞了kdot霸凌🦆,5月16日 02:40  ,天津
◢,感觉最近欧美热歌的风格和封面都挺“暗黑系”的…,5月8日 22:39  ,四川
costannie,好像是上世纪末的曲风，真好听啊，ins天天刷这首歌,5月11日 17:30  ,湖北
Mkikiy,小魁拔你们好会选曲,7月24日 00:13  ,广西
‭‭,我将评价为现最骚丝滑剪辑歌.mp3,5月4日 07:55  ,广西
Qqqzlva-,来啦奎八p来了来了来了,7月23日 23:53  ,甘肃
续冬,我靠 爸爸妈妈你们这是要官宣了吗,7月23日 23:43  ,山东
揉捻时光,流媒体可以啊，苹果榜快进前十了,4月29日 00:38  ,江苏
☀️,感觉和heat waves一样很有一种夏日chill的感觉,6月17日 10:53  ,四川
ღ~~ ღ,奎八~better than friends ！,7月24日 00:04  ,北京
,00:23,02:31  ,未知
‭‭‍‪‍‪‍‪‍‍范,2k25听到的，听歌识曲,9月29日 18:22  ,江西
恋～真寻,如何,9月28日 16:21  ,四川
季节的老婆,我快疯了 这首歌为什么可以这么爽,9月28日 15:52  ,广东
nn,谁懂真的很好听很好听啊啊啊有品,9月28日 12:53  ,广东
Nightmare,下辈子当国际生,9月27日 20:34  ,未知
待定,,9月27日 20:01  ,湖北
No.032🧸,前奏好帅好爽。。好听,9月27日 18:41  ,河北
。,豪庭！,9月26日 21:48  ,山东
陶吉吉,丸辣 这首歌被挖掘了🥹,9月26日 18:30  ,广东
碱性电池,神。,9月26日 18:00  ,黑龙江
Amireux.,听着爽爽哒,9月26日 12:49  ,广西
TMAS,听爽了,9月24日 23:54  ,广西
易逝,太带感了兄弟们,9月24日 23:14  ,浙江
Va1lame,,9月22日 22:00  ,四川
DRHO,消消气,9月22日 17:45  ,广东
Afterrain,虽然但是…听到副歌那一段我总会联想到暮光之城第一部艾伦一家出场那一幕和他们打棒球那一幕…最近太着迷暮光之城了，太帅了,9月22日 12:51  ,江西
Road Blocker,乱打的街球来的,9月21日 23:16  ,希腊
淋雨日,#卷毛#国际生#fyp  #inmyfeelings 毕如业了哈。,9月21日 20:35  ,广东
力与美的交融,brad剪辑专用音乐,9月20日 13:54  ,四川
Yang,开1.5听前奏,9月20日 00:33  ,博茨瓦纳
🦊,仙品,9月19日 21:32  ,山东
perezozo,听爽了,9月19日 03:16  ,北京
uuy-,好听,9月18日 00:12  ,上海
lenyfvina,ky很烦啊,9月17日 20:09  ,福建
thugiixx_,小前奏,9月17日 19:49  ,北京
7April,鼓点爽爆了。,9月17日 17:56  ,福建
Ed8n24🅴,魁拔是什么来的有没有解释一下的,9月17日 17:54  ,福建
all.,2K25居然有这首歌,9月17日 16:06  ,上海
Y’s LIN,好有感觉，我去。,9月17日 15:03  ,江苏
译の笨瓜,嚎带感,9月17日 07:06  ,陕西
De leau,把这首歌加入收藏两个月后她在某音火了 然后越听越二叔,9月17日 07:01  ,云南
XA64K,有品,9月17日 01:00  ,广东
呼噜打给左耳听,感觉已经在顶胯了哈哈哈哈哈,9月16日 22:49  ,湖南
Lucy,真正的豪庭,9月16日 20:33  ,云南
blacky,我靠，有Cowbell.！,9月16日 20:22  ,四川
大罗洞观,豪庭，但起飞了,9月16日 17:43  ,未知
Nanli,豪庭,9月16日 17:03  ,内蒙古
王八吃秤砣,这才是真正的音乐！,9月16日 13:54  ,上海
PB小王,1:35,9月16日 10:40  ,北京
tzgggg_,从ig来的,9月16日 09:06  ,美国
BrainSlices,怎么会有这么吊的歌,9月15日 21:38  ,广东
念裕,日推就是爽,9月15日 20:55  ,广东
杲,好听,9月15日 13:48  ,北京
corndoll,边听边背书,9月15日 11:40  ,湖北
诶嘿,jc勾导的车载音乐来的,9月15日 09:07  ,上海
GRIND.,美国高中生闻着味儿就来了,9月15日 00:38  ,美国
DawaDrolma_🌼,豪听,9月14日 10:59  ,四川
Self confidence,伦哥,9月13日 17:23  ,广东
阿ヽ亮,,9月11日 23:32  ,江苏
0_o2l4i7,从不放弃美式😐💸,9月9日 22:39  ,河北
陆浅,好听,9月8日 21:17  ,湖南
Xz,爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛爽！！！这才是真正的音乐🤜🤛,9月8日 16:30  ,湖北
杰森陶德的主人,OMG好有什么什么张力的一首歌，听的夹不紧腿了,9月8日 16:26  ,河南
颂季淮,听力了,9月8日 16:25  ,河南
noor—ho—tebbe,,9月8日 12:54  ,黑龙江
wPmH🏆,,9月8日 10:24  ,北京
颓,ky的你cp就是假的,9月8日 01:57  ,河南
就这个星铁爽！！！,太拽了这首歌爱听！！！,9月8日 01:18  ,四川
无禹,谁能一动不动的听完 反正我不能🥲,9月7日 23:03  ,上海
