Username,CommentContent,Time,Location
欧美报刊亭,#喇嘛官宣超级碗中场秀# “Only one opportunity to win a championship. No round 2s” - Kendrick Lamar,9月9日 10:28  ,广东
九折,DRAKE = Don’t Rap Against Kendrick Ever,5月6日 03:01  ,广东
吴桐,cole道歉的含金量还在上升！,5月5日 11:49  ,浙江
Pyrite,如同宇智波斑第二颗陨石般的突袭感,5月5日 11:31  ,云南
Kanye West,还一起发 有点嗑你们俩了,5月5日 11:46  ,四川
Echo,从一开始看乐子到现在人已经麻了………,5月5日 11:37  ,美国
leeeeeon j,cole：当初笑我道歉的人请立刻道歉,5月5日 15:46  ,吉林
ShotGun_Rider,如同蟒蛇缠绕的窒息感…是时候再发一次这个图,5月5日 11:46  ,广东
Perpetual,J Cole是最骚的 打响完第一枪自己跑了 舒舒服服 人家世界大战 他在家里看戏,5月5日 18:51  ,天津
7盎司,油上18小时播放破一千四百万，风评完全一边倒，鸭一败涂地。kdot用一把把不锋利的锈刀把drake捅得体无完肤。,5月6日 13:07  ,美国
Mr.Cheung,"这首歌已经成为Spotify史上播放量最快突破1亿的说唱歌曲(9天) 打破了Drake的""God's Plan""的记录 (14天) 并且打破本世纪任何歌曲一周内播放量最高的记录 取代了Cardi B的""WAP""和Taylor Swift的""Fortnight"" 事实证明Kendrick要么不出歌 每次出必是王炸",5月16日 07:35  ,广东
PREACHER MAN,昨天Drake的Family Matter里面说YG才是真正的gangster，今天这首开头就是YG唱的tag“Mustard on the beat”,5月5日 12:04  ,重庆
Mr.Ma,J.cole道歉的含金量还在上升！Kendrick的Beat的制作人是哪位，太棒了,5月5日 14:04  ,北京
Kiiro🥢,代表西海岸，代表纯正的hiphop，这场仗kdot必须火力全开,5月5日 23:22  ,上海
六神合和,Cole是不是有高人指点，及时撤退了,5月9日 17:32  ,河北
空白,《段位不详，剪辑赋能》,9月29日 22:29  ,浙江
空白,Vamos！,9月29日 22:28  ,浙江
笨笨,无敌,9月29日 18:36  ,四川
乱儿媳,豪庭,9月28日 19:25  ,广东
熙俊,终于有译文了,9月28日 18:46  ,河南
三匝,CS2,9月28日 16:16  ,中国台湾
艺术家^%,还要vip？,9月28日 11:54  ,四川
最爱大晴天^,Drake：6,9月27日 21:28  ,河北
雾透月·,Drake粉爱听🫰,9月26日 06:54  ,上海
🐲安,就这样的，第一，然而前一百全字母，越活越回去了啊，呸,9月24日 22:33  ,浙江
(StatTrak) Milo,Aminor～ Certified pedo~ I hear u like em young,9月22日 21:28  ,陕西
€,太上头了,9月22日 14:02  ,辽宁
半颗覆盆子冰淇淋球,plq变成了我想要的样子 你选的嘛喇嘛,9月22日 10:59  ,湖北
Aki,1,9月21日 21:56  ,未知
甜,看得出来喇嘛是真把阿赞当兄弟,9月21日 19:26  ,江苏
飛鳥馬時,J Cole选择退出RAPbattle是明智的选择,9月21日 14:52  ,新疆
Ez4T,听的我好爽,9月21日 08:56  ,湖南
sovan1_coJett,微博有这评论吗,9月21日 00:39  ,湖南
局長きょくちょ,必须在节拍上,9月20日 23:37  ,重庆
ㅤ,这踏马才是音乐,9月20日 09:58  ,未知
