Username,CommentContent,Time,Location
小野寺绿,歌词完全是我当小三的内心活动,7月9日 14:39  ,广东
稚嫩的老人,滚烫的新歌 马上就被套路拿来用了,6月28日 11:23  ,上海
Agogo,歌词没什么问题，幻想都不行吗？有多少男的看到美女，连小孩在哪上幼儿园都想好了,7月20日 22:37  ,广东
水果缤纷,听曲子就行，不能在意歌词烂的一批,7月4日 07:25  ,未知
Rapper,太 Groovy 了，身体不自觉地摇摆起来了,8月16日 13:05  ,辽宁
achiyeji,今天vma的表演这首很有感染力,9月12日 18:29  ,上海
kay,我是石头老师的好学生🕺,9月29日 12:43  ,广东
Clara,好不容易有一首觉得还挺好听的新歌，到歌词是唱小三的心里活动,9月18日 11:13  ,辽宁
Cochen,这首歌在歌单里吃灰俩月了，看到vma又想起来了，看现场挂那么多国旗还以为是跟足球相关的歌，结果看评论区怎么是小三之歌。。。。,9月14日 10:59  ,四川
疯马,VMA听到不自觉要跳起来,9月13日 16:13  ,山东
所得寺内 ，,VMA是真好看,9月13日 14:16  ,四川
丹丹龙,vma突然就get到了哈哈,9月13日 08:52  ,广东
achiyeji,今天vma的表演这首很有感染力,9月12日 18:29  ,上海
·,,9月7日 22:41  ,山东
拉娜下雨,呵呵在hm试衣间裤子穿到一半突然听到这首歌就赶紧听歌识曲了，好听嘟,9月6日 00:54  ,新疆
冰冰Bingbing,🩵🤍💗,9月3日 21:14  ,广东
999方力申,好听,9月2日 11:15  ,广东
hyilrldjjd,真的好喜欢 但姐你为什么要支持🇮🇱,8月31日 17:44  ,上海
可疑人物,1,8月26日 16:36  ,广东
L.,不理解为什么会喜欢有主的人曲好听，仅讨论词，勿喷,8月25日 13:42  ,广东
extrusted,打卡,8月19日 23:42  ,河北
假如爱有天意,外网火的一塌糊涂，国内无人问津,8月17日 00:09  ,山东
Rapper,太 Groovy 了，身体不自觉地摇摆起来了,8月16日 13:05  ,辽宁
ㅤ,收到一条通知回来听一遍+1,8月7日 21:19  ,海南
陈义,这算afro吗,8月7日 12:30  ,贵州
昵称是,看了你们的评论，还好看不懂西班牙语,8月1日 23:46  ,内蒙古
此情莫待成追忆,这是哪种语言？,8月1日 12:53  ,安徽
把心交给希望,火钳刘明,7月24日 22:38  ,重庆
·Pooh·,好喜欢好喜欢好喜欢~,7月24日 22:04  ,浙江
酩酊,112先行曲,7月23日 14:32  ,广东
ヽ匿名。,还挺好听，很清爽,7月22日 08:19  ,广东
把心交给希望,好听,7月21日 23:30  ,美国
Agogo,歌词没什么问题，幻想都不行吗？有多少男的看到美女，连小孩在哪上幼儿园都想好了,7月20日 22:37  ,广东
幻夏之沫,112先行曲,7月20日 17:26  ,上海
Mrs.Benito,好听鼠了！,7月15日 23:00  ,上海
。,夏日暗恋之歌,7月15日 16:52  ,四川
Qwer,西女一空,7月14日 23:18  ,湖南
吢丕.,节奏好欢快~~喜欢,7月13日 13:13  ,四川
Mr.Lee,洗脑神曲,7月12日 18:05  ,江苏
ROSY,好歌烂词,7月10日 17:17  ,广东
小野寺绿,歌词完全是我当小三的内心活动,7月9日 14:39  ,广东
星空为梦想而生,1,7月6日 23:14  ,陕西
Chocolate,喜欢,7月5日 01:21  ,玻利维亚
水果缤纷,听曲子就行，不能在意歌词烂的一批,7月4日 07:25  ,未知
珊汏蜜思密达美奈子兮”🎀,112先行曲,7月2日 19:52  ,北京
Jay,好听,7月1日 00:45  ,北京
KT,zumba重度爱好者,6月30日 12:29  ,北京
hafen,112 merengue,6月29日 17:52  ,山东
刘旭小同学,112来啦,6月28日 18:03  ,北京
稚嫩的老人,滚烫的新歌 马上就被套路拿来用了,6月28日 11:23  ,上海
Vera,Zin112先行,6月28日 02:54  ,江苏
freedom,Yes...klg🔥,6月24日 14:30  ,多米尼加
奶酪,第五个,6月22日 14:50  ,陕西
半人🥋半神🎭_shubb,新歌来啦,6月21日 23:24  ,广东
Shake It Off !,好喜欢这个旋律，很洗脑,6月21日 18:07  ,上海
斯温豚,快乐,6月21日 14:11  ,北京
郭·子,你觉得这和Don't Be Shy 哪个好听,6月21日 12:18  ,古巴
