Username,CommentContent,Time,Location
Treyvon,Rihanna对着A$AP Rocky唱GloRilla的《TGIF》🔥,6月29日 13:15  ,江苏
Mr. Shameless City,GloRilla喜欢轻微错拍式的饶舌，再配上颇为整齐的鼓点，造成了一种叛逆和压迫的氛围，这种说唱比较耐听，而且易学，很符合当下碎片化音乐的流行趋势,7月1日 13:34  ,湖南
Nikolas,和蕾哈娜一对比，真的声音差太多,7月2日 12:57  ,湖南
Treyvon,GloRilla又双叒叕产出一首好听带感洗脑的新歌🔥,6月21日 13:22  ,江苏
翼鸽YiGe,三首同时在榜billboardTOP50 实火,7月2日 23:40  ,江西
Moytt,vma现场燃爆,9月24日 12:08  ,安徽
Kozzz,听完就想疯狂za,9月2日 08:03  ,美国
天羽剑斩,这个太色情了,8月15日 12:12  ,四川
翼鸽YiGe,ayy~,8月11日 13:35  ,江西
IrvineMaSiWei🅴,屌,8月7日 11:20  ,美国
Taylor  Swift,翻译老哥还是有点功底的,7月26日 15:46  ,河南
KACHUNKO,这个beat有种要打boss的感觉,7月13日 05:01  ,广东
单调递增,上次来的时候还没有歌词，蛮快的,7月12日 07:20  ,美国
勇,哎～哎～,7月11日 20:19  ,安徽
Lulu🖤,🔥 📛 Eyyyyyyyyyyyyyyyyý!,7月5日 11:16  ,江苏
古和月,哈哈这就是日婆唱的,7月3日 19:58  ,北京
翼鸽YiGe,三首同时在榜billboardTOP50 实火,7月2日 23:40  ,江西
Nikolas,和蕾哈娜一对比，真的声音差太多,7月2日 12:57  ,湖南
Mr. Shameless City,GloRilla喜欢轻微错拍式的饶舌，再配上颇为整齐的鼓点，造成了一种叛逆和压迫的氛围，这种说唱比较耐听，而且易学，很符合当下碎片化音乐的流行趋势,7月1日 13:34  ,湖南
有趣,Rihanna来的哈哈哈哈,7月1日 11:34  ,广东
Daisy,居然没啥人,7月1日 02:10  ,广东
X,Rihanna优选,7月1日 01:49  ,四川
啊嗯嗯啊啊啊,Rihanna来的,6月30日 21:47  ,天津
A$AP,Rihanna来的,6月30日 01:15  ,江苏
BaebusGotcha 🅴,riri,6月29日 23:37  ,广东
云徂何往,riri唱了 好听,6月29日 19:48  ,黑龙江
Byst,Rihanna认证get,6月29日 17:57  ,山东
Treyvon,Rihanna对着A$AP Rocky唱GloRilla的《TGIF》🔥,6月29日 13:15  ,江苏
追风的男人。学车考驾照找我,好听耶,6月21日 17:59  ,广西
Treyvon,GloRilla又双叒叕产出一首好听带感洗脑的新歌🔥,6月21日 13:22  ,江苏
