Username,CommentContent,Time,Location
楞头小青年,Eminem和蕾哈娜还要合作一次,7月3日 00:22  ,西藏
独吞小稚,开一层尖叫楼！！！！！！啊啊啊啊啊啊啊啊啊！！！！！！！！！,7月3日 00:21  ,四川
ME,听爽了啊啊啊啊啊 姆今年双歌,7月3日 00:43  ,新疆
Perplexity,感觉新专的乐评不会太高，格莱美和乐评都不太喜欢老姆，但是听众喜欢,7月3日 10:41  ,北京
抢不到青柠味薯片,Eminem：“我踏马是山羊侠！！！”,7月3日 11:59  ,黑龙江
只能看一眼,老姆新专绝对牛逼 炼金和metro坐镇beat这块就差不了,7月3日 08:39  ,湖北
アグネスデジタル,好好好好好好好好好好好好好好好好好好好好,7月3日 00:03  ,辽宁
阿来JDC,你永远可以相信姆爷和姆爷的歌，对✓，一如既往地收藏进你我的歌单，单曲循环，不停地。,7月3日 15:29  ,广东
Dante,屠榜开始！电锯响起来！！！,7月3日 01:12  ,四川
人间暂留计划,这beat感觉加鼓点更爽啊，摇不起来,7月3日 03:04  ,广西
星爷只听歌,Houdini 和 Tobey 都是人名，该不会整张专辑的每首歌歌名都是人名吧！,7月3日 16:47  ,云南
Saying,等了十二个小时，终于出了,7月3日 00:01  ,江苏
Perpetual,"""That man is a legend,” b-tch, so am I”",7月3日 10:08  ,中国香港
Perpetual,别管那Big 3了 这位才是真👴,7月5日 19:26  ,中国香港
杰洛,Man！！！！！熬夜Stan大胜利！,7月3日 00:49  ,广东
粥劫倫,请教一下大家 姆爷是hiphop什么流派 为什么我只喜欢姆爷 nf 这种rapper的作品 又不知道什么风格,9月7日 00:41  ,北京
SwimmingD,全球乐坛滑坡,9月4日 10:44  ,河北
👑Feng🎉,赞,8月28日 10:54  ,广东
GH05T5★,,8月22日 23:36  ,未知
Stanley小甘蔗,Stan表示姆的歌单曲循环起来真的太爽了！,8月17日 14:55  ,广东
Randytaylor70,biXXX so am i 这一句太炸了,8月14日 10:43  ,重庆
Joestar,感覺這是姆爺近幾年來最牛的專輯,8月12日 17:48  ,陕西
2024立花的西装,我是多少级em,8月10日 10:18  ,海南
huigg,阿姆也是江河日下了，评论区还被韩流姐入侵了，甚至关注和歌手榜单里面不沾一点hiphop的人都来叫了,8月5日 16:46  ,湖南
huigg,开个尖叫楼（仅限sz）都来叫,8月5日 16:32  ,湖南
德牧牌巧克力饼干,我觉得Eminem 应该跟 cardi b还有megan thee stallion,8月5日 10:41  ,澳大利亚
汉尼拔,goat都快成贬义词了,8月4日 10:51  ,湖北
无名氏,这个封面。。。蜘蛛侠？,7月31日 03:19  ,湖北
Newell,歌就nb,7月30日 09:48  ,未知
Nick.Q.,怎么还有个唱英式的,7月24日 16:31  ,云南
Geraldine♡,有点nf那味,7月23日 16:50  ,天津
🍐,也是帅到爆炸了💥🕶️,7月16日 14:39  ,陕西
Chef.,老姆又要发新联名的乔4了吗是,7月15日 11:57  ,山东
明ʚ̴̶̷́ .̠ ʚ̴̶̷̥,来晚了,7月14日 16:49  ,四川
Jraye,s  h  i,7月13日 13:47  ,江苏
Gasoline✨,no favors之后终于再合作了🥹,7月13日 11:06  ,江苏
戏浮夸,人气唱片全球第一的rapper却挤不进圈内人排行榜 只因他是白人,7月12日 22:56  ,浙江
ン夢醒時分╰つ,6666,7月12日 20:13  ,广东
幸平,新专呢qq音乐,7月12日 12:18  ,安徽
Desmond,我专呢？？？,7月12日 12:09  ,上海
落花流水,专辑呢,7月12日 12:04  ,广东
MX,啥时候上新专,7月12日 12:01  ,河南
REKIM,姆大哥姆大爷 ，不是12号新专吗，，专呢,7月12日 10:35  ,陕西
Perpetual,还有几个小时就能听到TDOSS了,7月12日 10:22  ,中国香港
寡巴胺,翻译没有到位,7月12日 07:05  ,广东
建御雷,this is real rap.stop listening to your domestic rap a hō. welcome to DTT.,7月12日 00:30  ,江苏
子衿,看她昵称还不知道什么成分吗,7月11日 20:22  ,河南
XXXTEminem,听上头了,7月11日 09:23  ,山西
Disguiser,好听！！！！！,7月11日 03:25  ,美国
小吴不爱吃盐,乘人群还没来，快听,7月11日 00:13  ,重庆
Mia,讲真 这个比houdini爽 满满的都是技巧 houdini总感觉 不是黑em 就是有点像念经,7月10日 22:44  ,江苏
Cindy,GOATTTTTTT,7月10日 20:04  ,日本
来日秋,帅,7月10日 16:13  ,广西
Perpetual,Possession,7月10日 14:45  ,中国香港
仁正,姆爷牛逼，我只能想到这句话了五旬老汉还那么拼，相形见绌,7月10日 12:00  ,云南
攸四,对味,7月10日 07:54  ,陕西
吃汉堡大王,先听先享受,7月10日 01:46  ,辽宁
Eminem,,7月9日 17:44  ,北京
Perpetual,去看MV！,7月9日 17:32  ,中国香港
Eminem,MV贼棒,7月9日 17:01  ,北京
想要Sprinter,gooooooooooood,7月9日 12:14  ,四川
Nice,贼特么牛逼！！！,7月9日 11:50  ,未知
Lucky 小冉,他们不知道我也是个传奇姆爷这个嘲讽太顶了,7月8日 23:44  ,贵州
ゞ Em黎子齐Jfla,beat ACE MVP,7月8日 23:04  ,湖南
Gǎike,这封面有点像蜘蛛侠纵横宇宙的那个片段,7月8日 21:52  ,黑龙江
柑橙柠桔柚,来了,7月8日 18:45  ,辽宁
二木夕梦,来了,7月8日 17:59  ,天津
Yx's,太吊太炸了,7月8日 16:59  ,未知
太贺,太喜欢阿米尔汗了,7月8日 13:10  ,云南
安琪拉,不咋好听,7月8日 10:53  ,甘肃
忏悔,来过,7月8日 10:31  ,河南
‭‭‭‭,你会原谅我的口无遮拦吗，我的心空空如也，不停在期待中镂空，就像时刻需要你的回应填满，哪怕一个眼神都好,7月7日 22:22  ,浙江
凛冽山竹,真的强  多年之后  思维如新,7月7日 19:53  ,上海
218CHANGER💜,听的好爽,7月7日 17:46  ,江苏
节能术士,没想到托比马奎尔能这么用哈哈哈哈,7月7日 13:05  ,辽宁
Soprano,姆爷是真的叼,7月7日 11:40  ,德国
☻✘☻✘✘,语言不可靠，思维不可靠，想象不可靠，感觉让我抵达那应许之地，谢谢Eminem。,7月7日 09:40  ,河南
#Cutthroat,2B这开口beat想极了 i wish,7月7日 01:09  ,湖南
⩘⩗​,里面的欧比旺是指星球大战里的吗,7月6日 23:12  ,安徽
Karl,含姆量,7月6日 21:18  ,天津
😔,姆爷，爱了爱了,7月6日 20:59  ,青海
IndigoKing,听力了，🐍得停不下来,7月6日 17:53  ,陕西
E.M,期待阿姆后面的新专辑,7月6日 13:42  ,四川
🍦,恭喜百年老登回归,7月6日 12:45  ,内蒙古
YJ,goat,7月6日 10:55  ,浙江
Mk.,太牛了 期待全专,7月6日 10:46  ,陕西
三笠,我爱阿姆,7月5日 21:36  ,浙江
果蝇,又有新传？,7月5日 20:35  ,广东
ωǒ,鉴定完毕，没有冠单潜质,7月5日 20:13  ,西藏
ALL WESSYDE,彐！我姆唯一存在！,7月5日 20:05  ,上海
Perpetual,让你们总笑话Em不会挑Beat 这下好了 哥们儿直接不用Beat了,7月5日 19:40  ,中国香港
Perpetual,别管那Big 3了 这位才是真👴,7月5日 19:26  ,中国香港
frannnk.,新专会爆炸的,7月5日 18:43  ,重庆
frannnk.,封面乐了,7月5日 18:43  ,重庆
¹,,7月5日 15:50  ,新疆
Comet Hale-Bopp,太好笑了这个封面,7月5日 14:18  ,云南
Perpetual,Sean签Ye那真委屈你了 跟Em合作Flow都痛快了,7月5日 13:28  ,中国香港
AlEX-l\DƎR,mv几点啊 和歌一样吗 凌晨出吗？,7月5日 13:15  ,浙江
Joey,豪庭,7月5日 10:05  ,湖北
𝐃𝐨𝐨𝐦𝐞𝐫,前排啊,7月5日 08:11  ,加拿大
Am飞😘,我姆的声音一出来 我天简直了 还是那么NB,7月4日 22:45  ,北京
#Ü,大肖他回来了,7月4日 22:14  ,北京
Bu22%,这才是真正的音乐✋🏻🤚🏻,7月4日 17:58  ,云南
闰土爱猹,妈耶，听到姆爷熟悉的声音一秒回到2020,7月4日 17:53  ,北京
五杀摇滚贝斯手,ohyeah,7月4日 14:22  ,云南
Marshalls,疯了,7月4日 13:38  ,贵州
‭‭‭‭,唯一该死的就只剩我,7月4日 12:10  ,浙江
‭‭‭‭,他们用他们的科技安排我的人生，发现不能喝我的喜酒就开始冷嘲热讽，他们要收走我的门童，敲响他们乌托邦的大门,7月4日 12:07  ,浙江
stan,副歌给姆爷唱就完美了,7月4日 10:12  ,广东
卡卡罗特,快出新专啊,7月4日 09:40  ,重庆
基奇纳赛马的钢琴家,好听,7月4日 06:58  ,重庆
melody,"2017:So me and you are not alike,b*tch, I wrote ""Stan"". — —Walk on Water2024:""Melle Mel shouldn't get no reply"" ,""That man is a legend,"" b*tch, so am I .— —Tobey",7月4日 02:55  ,广东
孑木,顶！,7月4日 02:20  ,福建
毛茸茸的你,左边还有夏奇羊,7月4日 01:34  ,重庆
爆炸头上望春风,哇哇哇！！,7月4日 00:43  ,内蒙古
