Username,CommentContent,Time,Location
Poro,听上去好像是一首甜蜜的情歌，但实际上，Hozier唱出了他对自由生活和个人空间的独特坚持。歌词里的“我”是个典型的夜猫子，喜欢深夜独酌、品味纯正威士忌，享受凌晨三点的宁静时刻。而他的另一半则是阳光型人物，早睡早起，热爱生活的每一刻美好。虽然歌词中满是对恋人的赞美，比如她如同天堂之门般纯净，清早的阳光一样明媚，但他也透露出一种无奈：尽管她的甜美让他欣赏，可那种规律且健康的生活方式对他来说有点难以适应。“你对我而言太过甜蜜”，这句歌词更像是在表达他对于自己无法全身心投入这段关系的自省，以及对自由随性生活的坚守。所以其实这首歌并非我们通常理解的那种甜蜜情歌，更多是在探讨两个人不同生活方式间的冲突与选择。,4月5日 23:41  ,四川
巴基,离take me to church 已经10年了,4月8日 16:33  ,美国
Sterne,4566很好。倒是你们这些在评论区一直ky 4566的癫子是带着败坏她路人缘的任务来的吗？,4月1日 07:59  ,四川
,uk这周冠，b榜应该下周冠，很喜欢这首有一种以前华语金曲的味道，还有这首歌的歌手在15年b榜年榜14的教堂早就出名了，到处ky的人也许还不知道酱香型歌手的含金量，无语,4月17日 18:57  ,四川
大人列車,好！赶在霉霉来之前冠了，这歌不冠真的可惜,4月28日 16:21  ,北京
欧美报刊亭,Hozier借由“Unreal Unearth”的专辑主题，继而将所思所想往更深的地底扎根。《Too Sweet》为首的四支单曲，同样暗示着但丁地狱关于贪恨嗔痴的不同层面。低音贝斯亦为这首歌埋下了一种怪异黑暗的基调。,4月17日 16:47  ,广东
realllllwt,直接找4566老师让她来翻译歌词！,3月22日 11:20  ,青海
左岸香颂,贴个歌词听这首歌就像在喝威士忌桶酿冷萃咖啡仙品,3月22日 11:24  ,上海
Dewey,㊗️愿Hozier来个世纪大回春吧,3月24日 19:11  ,湖北
不🧊美式,啊啊啊从4399那闻着味就来了,3月22日 13:33  ,福建
信徒,评论区全都是提别人不算ky？,3月28日 07:36  ,北京
🌟,当一个p人和j人谈恋爱be like：,3月22日 22:25  ,广东
Rowing,这旋律好像一首华语老歌,3月24日 20:30  ,四川
未知深雾 。,哒姐们...nbcs你从谁哪里听来的 别ky好吗,3月24日 20:36  ,江西
工藤T,Too sweet！！感觉听着都有红酒香味扑来啊啊啊啊啊,3月22日 10:46  ,云南
Delicate,十年了，前有教堂后有甜蜜,4月3日 13:01  ,浙江
磨人的搓澡巾,歌词，歌词，为什么我这边显示暂无歌词,3月22日 10:42  ,河南
奕奕奕奕,⠀⠀⠀⠀⠀⠀ ⠀我希望正在读这句话的人永远开心⠀⠀⠀⠀,3月29日 12:19  ,江西
薛定谔的猫,看到评论区都是4566就放心了,3月22日 22:19  ,山西
Ophelia,好久没看b榜了，好听的让我一瞬间以为欧美圈起死回生了,4月28日 13:09  ,未知
少年郎儿,Shownu翻唱了来听听,9月26日 23:20  ,韩国
微信用户,第一次觉的贝斯旋律太6了～,9月24日 19:28  ,上海
SUN`,好听！,9月21日 23:28  ,内蒙古
sam,很好听,9月21日 11:13  ,未知
空格,你的甜腻我无福消受。,9月18日 12:39  ,湖北
睡一整天,散文集有关的歌真的都挺好听o,9月16日 16:35  ,广东
说了再见,从orm的歌单来的,9月12日 23:20  ,四川
ø,还以为查无此人了啊？带我去教堂后top100就没见过猴子了,9月12日 04:28  ,湖南
初从心,还以为是4566的歌,9月9日 08:23  ,山东
杨杨,第一遍就爱上了！！,9月7日 20:48  ,陕西
数到三就不哭,It can’t be said I’m a early bird 接,9月7日 18:19  ,新加坡
Durkey,这歌太上头了😽,9月2日 21:18  ,北京
DASH,好盛大,8月31日 09:21  ,江西
Gaia,这首歌挺适合改成中文歌的,8月29日 04:41  ,四川
rr,晚睡晚起,8月28日 22:32  ,河南
笑容在阳光里,有人要唱了，先来听听,8月28日 00:11  ,山西
芝麻.এ᭄,豪庭,8月27日 20:48  ,河北
别担心我的小猫咪,姐姐,8月27日 20:39  ,广东
pOpular,啊,8月27日 19:46  ,广东
睡一整天,姐姐对我唱这首歌了，她心里有我,8月27日 19:42  ,广东
抓住这只散文猫,好甜啊,8月27日 19:30  ,上海
迟遇,好听,8月27日 19:05  ,上海
超喜欢睡午觉,听一下,8月27日 19:04  ,山东
一块大抹茶,豪庭,8月27日 18:57  ,上海
狭间霉云桑,来听听,8月27日 18:55  ,广东
