Username,CommentContent,Time,Location
♪向日葵不會說話♬,上海见！！！,9月29日 18:00  ,安徽
๑魚🐟,广州见!!!,9月29日 14:56  ,广东
麟昀,上海见，许愿一波,9月28日 21:20  ,山东
山楂卷,上海见！,9月28日 17:53  ,上海
Forty_two,二开内场拿下，上海见,9月28日 15:11  ,安徽
尤,广州见！,9月28日 13:54  ,重庆
想去奇响天外,好诶！！,9月28日 13:41  ,福建
清羽☆TONG,安酱没唱真的太可惜了QAQ,9月28日 13:00  ,山西
ぴ 时光机゛,广州见~,9月27日 22:18  ,广东
Yuuri_,广州见,9月27日 22:13  ,浙江
田彩彩彩彩彩彩彩,上海见。,9月27日 18:16  ,浙江
七奈,从初中初次接触ll，到现在仍然喜欢ll，不会改变。上海见，我也一直很想见你们,9月27日 17:15  ,湖南
焰色的小钠钠#(＝①ω①＝)#,上海见,9月27日 17:02  ,江苏
呵呵呵哒,祝亚巡圆满举办!,9月27日 17:00  ,陕西
小林历奇小姐请速速与我结婚,上海见！,9月27日 16:30  ,上海
★炭酸☆,上海见,9月27日 15:34  ,上海
butterflies,抽抽抽,9月27日 15:16  ,河南
花帆花帆花帆花！,上海见！！！,9月27日 10:49  ,江苏
【南山南_。🍃,广州见,9月27日 08:18  ,江西
中核派沼津支部,振兴拉拉！,9月26日 13:33  ,美国
七卡卡,上海见！,9月21日 06:46  ,浙江
天天想吃大汉堡,热乎的,9月21日 01:44  ,浙江
丶Infinity,广州见！,9月21日 01:01  ,北京
Gua.,期待上海场！,9月20日 19:36  ,浙江
半片脑叶,中！,9月20日 19:06  ,安徽
侑凌,广州场见,9月20日 18:27  ,广东
木雨龙龙,我一直很想见你～广州上海见！,9月20日 15:45  ,北京
千千梧桐树下,抢到广州场的啦,9月20日 15:14  ,广东
Pursu.,中！,9月20日 14:27  ,上海
麦子汽水。,中!,9月20日 13:18  ,浙江
吃鲨鱼的鲤鱼,广州见！泪已经憋不住了,9月20日 13:18  ,河南
み～か～ん,上海见！,9月20日 13:17  ,江苏
酥肉炖蘑菇,上海广州见！！！,9月20日 12:55  ,江苏
就是爱音乐,横滨见！,9月20日 12:46  ,广西
PayPal,广州上海见！,9月20日 12:23  ,上海
星见流羽,我一直很想见你！,9月20日 12:12  ,山东
溜（社畜ver.）,上海见,9月20日 12:07  ,湖南
🍬,新歌好耶！！上海见,9月20日 12:03  ,山东
