Username,CommentContent,Time,Location
Xuyeahyeah,大冰是谁不认识🤜来中国巡一个看看实力,4月17日 00:24  ,中国香港
Forsythia,啊，怒不可遏了。有没有礼貌，谁管你是哪里来的。也并不需要你偶像的曝光量，大冰和组合的作品足够优秀，你那靠脸吃饭的花瓶偶像谁用的上你，别贴金了。把嘴巴闭上安静欣赏歌好吗，别来给你偶像招黑了，哈。,7月7日 01:33  ,河北
咩咩想吃洋,有时候为什么叫kym，自己好好反省一下吧,6月15日 00:48  ,广东
🐇Flipped.♡,到底怎么定义的ky啊？嗯？别人从其他地方听来的BGM觉得好听，然后过来Q音听歌。想到是通过哪里听来的就说了啊。就像是各个团之间的cha互动，有了这样名气就能扩散开呀。就这么kousou嘛？看不得自己家歌好？评论区我看也像内娱一样的那种“**最美，**最棒....”类似的那种ky评论呐？,7月11日 12:24  ,贵州
LENG,为数不多喜欢的团，同是为唱跳团，但大冰真的给人很不一样感觉，比起大部分团歌是以曲风洗脑蹦迪为主，大冰则是更注重音乐性，本人特摄厨，第一次听大冰的歌是16年的欧布主题曲two as one，后来是Revice的主题曲，当时只是觉得歌好听没有去了解，直到后来在看日本b榜的时候听见了花火齐放被吸引了，才开始慢慢去了解他们，也逐渐喜欢上了这个风格独特的男团,6月11日 22:27  ,四川
春至晚,我还以为评论区是聊大冰或者这部电视剧的,6月4日 23:35  ,广东
守护徐彰彬的脸颊肉,妈呀日推来的，好开心的一首歌，感觉好像每天上到最后一节课的下课铃，听到脚步都会变轻快！,5月28日 23:17  ,广东
HINO.YURIKO,求求你们别ky了，自己知道不就好了。这是大冰的场，提别人合适吗？,7月3日 22:41  ,安徽
Carin7w,团团转谁和我恋爱了真的很好看,5月27日 20:05  ,黑龙江
Utada,jpop做出来的音乐还需要谁来cha给热度吗。况且daice在日本多火,7月28日 23:59  ,重庆
是影宝不是影,第一次接触他们还是因为two  as  one呢,4月24日 22:40  ,青海
吃一点骨科,原创评论底下不刷原唱刷别人真的是有点毛病,6月1日 14:36  ,日本
I can！！,慕名而来的游客请不要大喊导游的名字！！！,5月29日 16:56  ,广东
Z,从别的地方听到了好听的歌过来留下一句评论就是ky了？我喜欢的歌手评论区有出现类似的评论我也觉得欢迎啊，并且很开心好歌被发现了，怎么就ky了？这是什么风气,7月28日 15:32  ,广东
bisco,本人也是克拉，但这首歌是我目推听到的，真的很好听，克拉们也不要ky啦,7月6日 20:13  ,安徽
君の名は希望,生见爱瑠特别可爱,9月21日 20:05  ,江苏
魔法暴躁小兔,太好听啦~~~~~,9月19日 19:28  ,广东
不是本人,懵懵懂懂走进各自天空,9月18日 22:14  ,安徽
Hiieww,有种周五放学回家路上的轻松～,9月18日 00:41  ,北京
