Username,CommentContent,Time,Location
愚者一得,真的很有家庭自驾出游的幸福感，有说有笑，遇到风景了走走停停，兜兜转转又回到家,8月8日 23:09  ,湖北
satoyo,大森老师又在狠狠的向世界散播爱意,8月8日 23:10  ,天津
JBAT🍑🍏e,好温馨，像是暖阳下和朋友玩乐打闹五个月怎么就没了,8月8日 23:48  ,贵州
Youzzz,五个月结束了 我的盼头呜呜呜呜呜,8月8日 23:09  ,澳大利亚
一纸流苏白,,9月23日 08:18  ,陕西
扶光,越听越好听,9月16日 08:16  ,辽宁
十个海子,下班路上一直单曲循环，感觉心情要起飞了发现了冷门宝藏歌曲太开心了,9月2日 18:46  ,贵州
aeniuk,太好听了,8月25日 02:51  ,贵州
骏木斯康明,很温暖的调调，让我想起了小时候放学，走在开满向日葵的小路上，身后是阳光的温暖，好快乐。,8月25日 00:51  ,贵州
艺,好美的感觉嘞！！！！w,8月13日 20:48  ,海南
糖糖,幸福就是珍惜当下 把爱汇聚成更强大的力量 祝大家都能拥有感知幸福的能力,8月12日 00:21  ,山东
imxiaochi,绿苹果高产啊啊啊,8月11日 23:18  ,青海
名为尧的舰长,很清新的感觉,8月11日 14:59  ,未知
暗影様,来了,8月10日 16:19  ,江西
Utada,商曲都这么好听 命中注定的绿苹果啊🍏,8月9日 18:12  ,广东
溪流,前排,8月9日 13:42  ,内蒙古
Petrichor,前排打卡,8月9日 13:37  ,澳大利亚
洛琪.,好温馨，好温暖，好喜欢😻,8月9日 11:06  ,北京
濯缨,俺来力,8月9日 09:57  ,上海
Maveeeso,开头还以为是胡子男,8月9日 09:30  ,江苏
背着哈民跑,新歌！！,8月9日 09:12  ,山东
LuAK,嚎,8月9日 08:55  ,安徽
おもりだいすき🥰,大森永远的神,8月9日 08:19  ,广东
雨天易拉罐,好诶 是新歌！（我紫丁香还不会唱 新歌又来了哈哈哈哈）,8月9日 08:15  ,安徽
Ordermade.,大森老师高产如那啥呀,8月9日 01:36  ,广东
烤鱼真好炽,又发新歌了啊🥹,8月9日 00:58  ,天津
空光,这么高产，质量也很稳定，无敌了,8月9日 00:50  ,重庆
白恙,不是？出歌那么频？,8月9日 00:41  ,江西
啊嘿嘿嘿,来了！,8月9日 00:40  ,江苏
宇宙重来诗篇,好轻松的感觉～,8月9日 00:37  ,上海
克里斯马Q,依旧很打动人心，motoki是神,8月9日 00:35  ,江苏
螺蛳粉加鸭脚,好听好听,8月9日 00:34  ,黑龙江
涼宮ハルヒ,刚刚,8月9日 00:34  ,福建
螺蛳粉加鸭脚,前排,8月9日 00:34  ,黑龙江
克里斯马Q,果门🍏,8月9日 00:34  ,江苏
桐,好幸福啊 真的很幸福,8月9日 00:12  ,广东
May,豪庭,8月8日 23:51  ,广东
JBAT🍑🍏e,好温馨，像是暖阳下和朋友玩乐打闹五个月怎么就没了,8月8日 23:48  ,贵州
章鱼哥パ,太好听了啊啊啊啊啊好放松,8月8日 23:40  ,广东
MR.children,太喜欢了，好好听,8月8日 23:35  ,广东
🎄,一点点轻松的可以把握的小幸福,8月8日 23:28  ,四川
Last Song,不是？大森老师你也太劳模了吧（多来点我喜欢）,8月8日 23:20  ,山东
四舍五入两米高,来来来,8月8日 23:19  ,广西
踮起脚痛击楼上膝盖,大森!,8月8日 23:18  ,英国
雪之下,来了,8月8日 23:14  ,广东
satoyo,大森老师又在狠狠的向世界散播爱意,8月8日 23:10  ,天津
愚者一得,真的很有家庭自驾出游的幸福感，有说有笑，遇到风景了走走停停，兜兜转转又回到家,8月8日 23:09  ,湖北
时艺,来咯,8月8日 23:09  ,广东
Youzzz,五个月结束了 我的盼头呜呜呜呜呜,8月8日 23:09  ,澳大利亚
夏紀,火速赶到,8月8日 23:08  ,上海
Uduki,今年最无敌的一首,8月8日 23:08  ,日本
mirei,前排,8月8日 23:05  ,重庆
