Username,CommentContent,Time,Location
戒断中（跑路apm版,来了！！！！！！！特别温柔有力量的新歌！！！期待lastmile引进那一天啊啊啊啊！还有就是公演追加上海场了我一定去啊啊啊啊啊啊啊啊啊啊啊米津玄師我来了啊啊啊啊啊,8月20日 00:01  ,广东
御坂美琴可爱（主页背景本人超帅,米津玄師 2025 TOUR / JUNK」追加公演： 2025年3月8日 上海2025年3月9日 上海,8月20日 00:04  ,广东
小纸雏鸾,“你是将我照亮的那束月光啊”米津久违的抒情摇滚，歌词也很伤感,8月20日 00:02  ,山东
祭碳,hachi要来上海了！！！！！狂喜啊啊啊啊啊啊！！！！两场我一定都要去啊啊啊啊啊啊啊啊！！！！！！,8月20日 00:03  ,上海
ゲームを始めよう！,米津玄师新歌《がらくた - JUNK》里的这句『あなたは僕を照らした月の明かりだ笑わせるもんか』真的好有你拿在《八月、某、月明かり》里写下的『君の人生は月明かりだ有りがちだなんて言わせるものか』的感觉今晚月色真美，像你的面容，像我形容你的言语，像我的爱『你就是照亮我的月亮，怎能任人嘲笑』『你的人生明媚如月光，我绝不允许别人说他无趣』,8月20日 00:32  ,山东
枫葉っぱ,斯哈 斯哈 我的八爷 只能说晚睡的孩子有歌听了,8月20日 00:15  ,重庆
破烂,能笑着一同感叹的两个人是破烂也无妨超级喜欢这首,8月20日 00:01  ,广东
Monster,三部神剧（虽说最后一英里没有看过但是应该不差），三首神曲,8月20日 00:41  ,天津
Yakk1I,晚睡的孩子有八爷的新歌听,8月20日 00:18  ,安徽
MR.children,rock&抒情，忧郁中的爆发，太好听了,8月20日 00:02  ,广东
08hachi～,刚得知，追加巡演后我还以为只有亚洲结果发现了法国，我很兴奋。结果看到了四月1号星期一，我感觉我兴奋了一刹就那一下，我不是大学生，我还没有到工作的岁数，哪怕我有一瞬间我可以见到你，只有一瞬间，以至于现在我哭了一个晚上，突然发现发布了新歌，看到歌词以后我觉得被安慰了，你的歌声真的充满力量与温柔感，就像在安慰我一样，像那首歌一样“终有一天，我们会再见”,8月20日 01:36  ,北京
Hachi,你就是照亮我的月光啊                                                  时至今日你仍是我的光,8月20日 07:17  ,福建
⁺✞ʚ祁煜重度依赖✟ɞ,循环循环！！！好好听！！！！,8月20日 00:03  ,湖南
奕奕奕奕,⠀⠀⠀⠀⠀⠀ ⠀我希望正在读这句话的人永远开心⠀⠀⠀⠀,8月20日 10:45  ,江西
喜欢八女士,这首都给我狠狠听！有请24年男solo最佳专辑登场,8月20日 00:54  ,江苏
浔渊璃,我爱死了,9月27日 22:12  ,湖南
氧~O~绮绮``~,哦哦哦 瞬间就听出了你～,9月26日 18:03  ,河北
༺♥曈呆呆♥༻,1,9月23日 04:41  ,四川
青葱,刚看完ラストマイル　歌曲好好听,9月22日 19:42  ,日本
司司司还是司,加油啊八爷马上就能破999了,9月22日 11:20  ,四川
sin平方加cos平方,如此温柔，如此米津,9月17日 19:24  ,未知
开心,大家演唱会见！（兴奋,9月16日 01:01  ,安徽
Binary,快引进！,9月13日 21:59  ,广东
-,我现在就想看last mile,9月12日 16:46  ,江苏
⁺✞ʚ米津极度依赖ɞ✟₊,能一起歌唱着笑着说我们是破烂的两个人，在破烂不堪的世界里依旧缝补着对方，就算永远无法复原的关系也没关系，相信着还会再遇并重新爱上对方。真的是让人失落又给人力量,9月11日 23:00  ,河南
何须细数,真的是既温柔又有力量……这词这曲，米津玄师你怎么这么会写啊好听的能循环一万遍啊,9月9日 22:34  ,重庆
何须细数,太好听……02:49,9月9日 22:33  ,重庆
GHOST-74,,9月8日 12:47  ,广东
Murder,我哭死,9月7日 16:01  ,未知
小萌子🎈,最喜欢的一首新歌！！！直接杀进top10！！！,9月5日 21:37  ,北京
留不住的枫,神作,9月3日 23:55  ,四川
Jafar.L,那年你风华正茂，而我恰好穷困潦倒，还是不要遇见最好了吧……最终反正依旧是错过，又何必留下一段遗憾呢……,9月3日 12:45  ,江西
小 松,我要看last mile,9月3日 08:05  ,吉林
小 松,啊啊啊啊新歌,9月3日 08:05  ,吉林
挽枝荷,好听,9月1日 16:57  ,吉林
丢你劳姆,我的伊苏尔德，这里有你缺失的记忆吗？,9月1日 04:17  ,四川
秋意,终于有点早期风格了,8月31日 05:05  ,广东
と白,再说一次!YUMMY!,8月30日 17:01  ,江苏
N.F.Y.F,收藏了,8月30日 16:09  ,广东
新之助神仙,依旧是那么令人感动01:22,8月30日 04:09  ,四川
一酱,有些好好听，有些好难听。,8月29日 12:11  ,广东
YONEZU.,好温柔好喜欢这种风格！！,8月29日 10:27  ,江苏
-Feiiiii,刚刚看完《ラストマイル》结尾音乐一出真的汗毛竖起来！！,8月28日 19:32  ,日本
ZAKU,眼睛瞪得像铜铃,8月28日 11:21  ,浙江
有梦就听得到,叫,8月27日 15:32  ,广东
噓月🗾,看过后表示电影一般，歌还行,8月27日 15:11  ,日本
SL.,这首歌开始的时候有一个气音，就像是叙述故事一般娓娓道来，让人渐渐的投入到故事当中，而结尾伴奏戛然而止，当最后一句歌词唱完的那一瞬间让人提不起来气，忍不住也跟着停了呼吸。,8月27日 14:10  ,山东
Nakamori Aoko,曾经听过米哥的酷帅的，狂拽的，悲伤的，空灵的曲子，这首，积极阳光又充满少年的力量，好喜欢💕,8月27日 12:12  ,辽宁
破誓,999+都做不到了吗？,8月26日 20:12  ,山东
悪魔の子,破烂是表象，心中仍有生机。,8月26日 10:53  ,福建
boku,就是这个味道！,8月26日 00:31  ,未知
.,豪庭,8月25日 18:06  ,江西
百乐,神曲,8月25日 14:29  ,天津
( T_T)＼(^-^ ),你就是照亮我的那束月光,8月25日 13:46  ,广东
YURI,新歌！詞好美,8月25日 12:37  ,广东
 itsX,800,8月25日 11:51  ,湖北
Truda,然后再爱上一次彼此吧,8月25日 00:08  ,广东
拎什么红酒,好美的词,8月24日 23:14  ,广东
秋夜微凉,即便我们像一个两个被生活挤碎的破烂一样，再次相遇时也会爱上并接纳彼此吧。若向来如此，我们便是例外；若长夜无际，我们即为灯塔。,8月24日 21:33  ,吉林
バチ,Lemon的感觉回来了！,8月24日 21:07  ,河北
无涯,啊啊啊啊新歌！！！,8月24日 18:20  ,云南
TIME.,也许痛苦是人生的常态，成长成了我必经的溃烂。无数个日夜我打破了窗，摔碎了温柔冷清的月光，我恨我一直被困在从前，那些失去的，都在梦里不懂事地狂啸着………,8月24日 10:25  ,江苏
Cyanogroup🍊,《最後一英里》作為《非自然死亡》和《MIU404》的續作，雖然還沒上映，但是從米津這次寫的主題曲歌詞裏能看出圍繞兩部劇主角（們）會展開相當豐富的感情戲（友情？愛情？誰知道呢）。個人最喜歡『30人中出現一個少數派，你就是那一個，而加上我就是兩個人。』這一句，完美結合前兩部劇劇情中主角（們）在過往的陰霾中相互救贖的情節（老套，但我愛看）。喜歡的歌手給喜歡的劇唱主題曲，至福✝️期待這一次UDI Lab和機動搜查隊又能碰撞出怎樣的火花。,8月24日 00:00  ,北京
破誓,没多少人了吗？,8月23日 14:56  ,山东
解忧杂货店主,好听,8月23日 14:49  ,甘肃
糖醋栗子,last miles今天上映啦！！！！！希望国内快点引进😿B站快点买进来也行😿,8月23日 14:35  ,德国
ゆめうつつ,终于来了,8月23日 14:27  ,江苏
LCY,今天电影该上映了，这次真的是梦幻大联动。一想到又能看到unnatural和miu404原班人马一起破案就激动,8月23日 12:34  ,新疆
辰辰,“你是将我照亮的那束月光啊”米津久违的抒情摇滚，歌词也很伤感,8月23日 11:42  ,福建
断简残编,来的巧,8月23日 11:00  ,四川
眼福,服了本来还困呢听了这个情不自禁在床上跳起舞了（开个玩笑），太好听了，听的我睡不着了,8月23日 03:56  ,安徽
赛琳娜的鸢尾花,これ、好き,8月23日 00:41  ,四川
赛琳娜的鸢尾花,耶耶耶！,8月23日 00:36  ,四川
糯米糕,期待电影,8月23日 00:03  ,重庆
鲨鱼爱吹藤井风☺️,来晚了,8月22日 23:42  ,浙江
123,想弱弱问一下要去演唱会的都是会日语能听懂歌词的吗？,8月22日 21:34  ,云南
朝辞み,有时间再去看看电视,8月22日 20:42  ,黑龙江
朝辞み,歌词写得好好,8月22日 20:42  ,黑龙江
朝辞み,再也恢复不到原样  也没关系,8月22日 20:40  ,黑龙江
朝辞み,wwww好好听,8月22日 20:40  ,黑龙江
ICE赛高！,来了，好听……、,8月22日 18:21  ,山西
冰冷热带鱼555,来了来了！太好听啦,8月22日 18:13  ,湖南
ヒリ,前几天在东京看到预告的时候超激动唔 过两天去看,8月22日 16:39  ,北京
名为尧的舰长,终于来了,8月22日 10:32  ,湖北
玖界,一首久违的抒情摇滚曲。なくしても、痛しても、笑う二人はがらくた。即使世间的一切都消散，迷茫也好，苦痛也好，厌恶也好，最后在一片虚无中都还能回荡你我歌唱的余音。たとえ僕たちはがらくた。,8月22日 09:28  ,四川
⛓️🌧️,好好听！给我听的起鸡皮疙瘩了,8月22日 09:05  ,安徽
( T_T)＼(^-^ ),八月二十二号,8月22日 07:32  ,广东
寂,太好听了！！！,8月21日 23:55  ,广东
赛琳娜的鸢尾花,对对对就这感觉,8月21日 23:47  ,四川
iuu,拯救我,8月21日 22:23  ,广东
何者,来了,8月21日 22:23  ,湖南
米津养老院,不愧是米米，温柔且富有力量，狠狠救了我这个高一新生的命,8月21日 22:13  ,吉林
banana star,八爷新头像挺好看的,8月21日 21:34  ,湖南
青鸾尺素,好温柔呜呜呜呜呜呜呜呜呜,8月21日 20:57  ,江苏
挽枝荷,老公！！！第一次这么前排,8月21日 20:47  ,吉林
七橙,占楼来了超鸡好听,8月21日 19:44  ,广西
米粒,豪庭！,8月21日 17:35  ,广西
Scrumize无人在意,感觉又回到了13年YANKEE专的时候，梦回小小的我，这种风格好久都没有听见了,8月21日 14:19  ,河南
🫥,这首爱了,8月21日 13:20  ,广东
！！！。,好柔…碎了,8月21日 13:06  ,河北
HonKinlim,终于等到了,8月21日 11:35  ,湖北
李尚鸿,我来,8月21日 11:26  ,浙江
UnderTheRose,配上last mile的预告听得我想哭 想念udi和miu了，真的不能有续集吗,8月21日 11:12  ,云南
soo～莫遥🐰,盖楼……,8月21日 10:49  ,江苏
鲫鱼豆腐汤,好喜欢这首歌,8月21日 10:04  ,广东
修路,！！！！冲,8月21日 09:09  ,广东
Jesse Yu,717！,8月21日 08:38  ,吉林
GHOST-74,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊好好听啊，吉他一起就瞬间氛围感来了,8月21日 07:27  ,广东
123567,豪庭,8月21日 02:08  ,上海
doly,第714,8月21日 02:03  ,重庆
小诚,熬夜的宝有新歌听，提前预祝八爷新歌大火🔥,8月21日 02:00  ,福建
小诚,哦豁，八爷的新歌必须听，从不踩雷,8月21日 01:58  ,福建
解放、,留名,8月21日 00:49  ,江苏
woooooo,好有力量的一首歌！！伤口马上被修复好了！,8月21日 00:40  ,上海
踢踢母鸡等于死派派啊啊啊,来了来了！,8月21日 00:18  ,重庆
Paradise,如听仙乐耳暂明,8月21日 00:04  ,吉林
Troye,我嘞个，现在是真睡不着了,8月21日 00:01  ,江苏
天生耐摔圣体,还怪豪庭的,8月20日 23:53  ,陕西
遗忘の凯尔卡门,新歌我狂听听听听听听听听听听,8月20日 23:50  ,吉林
夜行蟲^,歌名叫破烂 其实你是我的宝物,8月20日 23:38  ,河南
Kclaw,啊好喜欢,8月20日 23:30  ,山东
Meteor,来咯来咯～,8月20日 23:29  ,上海
取个名字真难,明天新专辑上线,8月20日 23:25  ,西藏
夜行蟲^,明年一定要去见你,8月20日 23:24  ,河南
V.I.P,好烫,8月20日 23:15  ,广西
Emilia,米！！来了！！！,8月20日 23:07  ,湖南
田所浩二（たどころ こうじ）,我操，没抢到沙发,8月20日 23:03  ,湖北
亦辰,来了，兄弟们,8月20日 23:00  ,新疆
咖喱温泉蛋,我的天今天发的新歌！,8月20日 22:54  ,浙江
鱼总,超爱八爷,8月20日 22:47  ,江苏
黑麦不戴Chain,高三的每一天没有八爷都没法过下去,8月20日 22:36  ,江苏
炎梦九倾听万语,真是太好听了,8月20日 22:00  ,江西
🍇,好听！！！想看last mile啊啊啊,8月20日 21:55  ,北京
。,好完美,8月20日 21:55  ,广东
总归盛极必衰,好听！,8月20日 21:47  ,河北
米民,新歌好耶！,8月20日 21:45  ,上海
Gemini,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊上海我一定要抢到！真的没有想到追加了！！昨天睡前还在遗憾没有上海,8月20日 21:29  ,浙江
小鱼,有人懂吗 真的很喜欢这几句歌词啊 有种双向救赎的感觉,8月20日 21:21  ,辽宁
大红莲华,新歌,8月20日 21:17  ,河北
浮生若ゆめ,八爷就是我滴神阿,8月20日 21:09  ,广东
。,太好听了,8月20日 21:05  ,吉林
HC,好听！！！,8月20日 20:07  ,河南
ぴ淺時咣演妓派,新歌！感觉时隔多年,8月20日 19:58  ,新疆
苏雨子不酥,老米啊来一次香港吧求你了孩子那段时间要实习啊求你了,8月20日 19:32  ,中国香港
雲桜,还是熟悉的那种温柔，真的很赞希望这次的新专能够创下新纪录（米米真的很棒）顺便我也许个愿：希望这次的考试成绩能进前五十,8月20日 19:29  ,湖北
Deity.,明年三月份上海的演唱会门票再哪里买啊，真的不想错过啊,8月20日 19:20  ,河南
明夜,很喜欢像Neighbourhood 这种类型的歌,8月20日 19:01  ,江苏
cat.,好嘞，八爷出新歌了,8月20日 18:58  ,河南
Froid.,新歌新歌新歌啊啊啊啊啊啊啊 好温柔呜呜呜呜呜呜呜呜呜,8月20日 18:55  ,上海
心海,不忍打破666,8月20日 18:51  ,山东
”,我来组成666,8月20日 18:44  ,广东
￰二氧化夜鱼,打卡,8月20日 18:37  ,吉林
光,好听好听,8月20日 18:29  ,重庆
浮恩久,我会爱死破烂！好高质好高质，旋律抓耳。不愧从预告期待到现在的歌！真的很棒！米津好适合这种抒情叙事的歌救命,8月20日 18:26  ,贵州
你看见一头猪,用rock的行式抒发忧郁，期间加上爆发，黑暗中伴着一道光明。表面上写内心的忧郁，实则是表达于黑暗中舞蹈的勇气确实是一首给予人力量的歌。不愧是八爷,8月20日 18:24  ,安徽
晖色と花緑青,词太好了,8月20日 18:17  ,湖北
Yonesken_,来了来了啊啊啊啊,8月20日 18:16  ,湖南
几何题里说晚安,新歌！,8月20日 18:05  ,福建
茶猫,真的超级喜欢他的歌，每一个都能让我有新的感觉,8月20日 18:02  ,北京
남주혁,等今晚六专,8月20日 17:56  ,浙江
笙Φ花冈真雪,啊啊啊啊，演唱会必冲！,8月20日 17:42  ,江苏
