Username,CommentContent,Time,Location
。。。,正常的翻译：《乐意效劳》本土化的翻译《好的收到》,7月8日 22:34  ,山东
太中芥敦坡乱果陀请大做特做,虽然没有翻译但感觉这首歌充满恶趣味而且非常可爱特别是,7月1日 00:43  ,山东
.,各位在座的各位，都有品！！！！,6月15日 03:24  ,广西
圣光影之刃,虽然但是，我觉得b站网友的翻译更入味一点...,7月4日 17:02  ,四川
爬鱼鱼（停五谷版）,ギリギリダンス⬅️➡️💃💃ギリギリダンス🕺🕺💃(踊れ)⚡️⚡️ギリギリダンス🕺🕺💃ギリギリダンス⬆️⬇️🎵💃(もっと鳴らせ)⚡️❗️ギリギリダンス🎵🕺💃ギリギリダンス⁉️(踊れ)🕺ギリギリダンス💥💥ギリギリダンス🎵(もっと鳴らせ)❗️❗️慣らせ君の病の町を🚶‍♂️🚶‍♂️隠せ笑える他人のオピニオン😄😄うっちゃれ正義の超人たちを鳴らせ君の3~6マス,7月7日 00:02  ,广西
B(Bee)Brian,不要点展开！！🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟫🟫🟫🟫🟦🟦🟦……展开,8月6日 21:19  ,上海
Vod'äsumii,ギリギリダンスギリギリダンス💃💃💃💃💃💃💃💃💃💃💃,7月16日 20:04  ,四川
Ado❤️!!!!!!!!!,1. ギリギリダンス（尽力尽力Dance）是故意唱的像是Get it get it down（放下放下吧）及Get it get it done（干完干完吧）的，算是个三关2. 鳴らせ君の3~6マス那句指的是心跳。正常人的心跳是在50~100bpm区间内，而心电图通常是以25mm/s的进给率运作的，然后1マス是5mm，因此3~6マス指的是人身体还健康的正常值，这里表达的是“如果精神快要崩坏那就趁你身体还健康的时候把SOS发出去吧”的意思,7月8日 07:57  ,黑龙江
骆骆,⣠⣤⣤⣤⡀⠀⠀⢀⣀⣀⣤⣤⣀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⣻⣻⣻⣻⡿⠚⠉⠉⠀⠀⠀⠀⠀⠀⠈⠙⠲⣴⣻⣻⣻⣷⣄⢸⣻⣻⣻⣻⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⣻⣻⣻⣻⠀⠻⣻⣻⠏⠀⠀⠀⠀⣶⠿⠿⢿⣷⣄⢠⡿⠿⠶⠦⠀⢹⣻⣻⣻⠀⠀⢈⡏⠀⠀⠀⠀⠈⠑⠺⣻⠟⠉⠁⠈⠛⢿⠆⠀⠀⠀⢻⠋⠁⠀⠀⡼⠀⠀⠀⠀⠀⠀⠀⠀⣀⣤⠂⠀⢀⠀⢠⡄⠀⠀⠀⢸⡀⢀⣴⡇⠀⠀⠀⠀⠀⠀⠶⢿⣻⣉⣛⣻⣻⣛⣉⡻⣦⠀⠀⠀⣇⣾⣻⡇⠀⠀⠀⠀⠀⠀⠄⢸⡟⢿⣯⣭⣭⣽⣻⠃⠈⠀⠀⠀⣻⣧⣻⣻⣻⣦⡀⠀⠀⠀⠀⠈⠿⠶⣭⣭⣬⡭⠁⠀⠀⠀⢀⣼⣻⣻⣧⣻⣻⣻⣻⣻⣶⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣠⣴⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣻⣷⣶⣶⣶⣶⣶⣾⣻⣻⣻⣻⣻⣻⣻⣻⣻我想骗个赞[委屈],7月10日 15:50  ,新西兰
去码头整点肉松蛋糕,在外网听片段听爽了原曲更爽了,6月10日 00:43  ,江苏
bo良ki影,外网很火的歌在国内没多少知名度啊,6月27日 17:03  ,泰国
一只猹,可以关闭某个粉色软件了,7月7日 18:17  ,四川
喵,这曲副歌部分是《妖怪手表》主题曲的副歌部分加快版(如果我没记错的话),6月21日 13:22  ,中国澳门
momo,单数写作业，双数听歌￼,8月3日 11:05  ,湖北
阡陌,啊啊，好听！要火了在坐的都是元老！,7月3日 17:06  ,安徽
Simon,就我听这首歌全是一些不美好的回忆吗,15:06  ,四川
黑泡完犊子,我的精神状态belike,9月29日 23:38  ,广西
装l3让你飞起来,有些人在那些小破站看着看着就看到QQ音乐了,9月29日 21:36  ,广东
装l3让你飞起来,不要乱摸哦,9月29日 21:35  ,广东
继续,好紧促的节奏——超好听！！,9月29日 21:32  ,北京
山与海,豪庭,9月29日 21:22  ,江西
王睿,00:29,9月29日 21:08  ,山西
甜菜汤,动画的原作者来B站了,9月29日 21:07  ,天津
散歆,豪庭,9月29日 20:11  ,江苏
晴空万里,00:44,9月29日 18:46  ,广东
晴空万里,00:35,9月29日 18:45  ,广东
晴空万里,00:53,9月29日 18:45  ,广东
阿良,1,9月29日 15:02  ,山东
月山金婚怎么你了,豪庭,9月29日 12:00  ,未知
BlackRoblox,晾浩装用,9月29日 11:50  ,韩国
风情万种的广东仔,我靠,9月29日 02:56  ,广东
《》,啊东啊啊嘛啊谁啊啊东东啊啊谁呀啊东啊那个了改了得楼，东 ，东，东哦一步那个啊谁啊啊东啊啊谁啊那一撒米弄个～个～个～么蹦～蹦～蹦～次次次 蹦～蹦～蹦～给了给了，东。给了给了，东。哦都为给了给了，东。给了给了，东。蹦蹦啊撒伟。给了给了，东。给了给了，东。哦都为给了给了，东。给了给了，东。蹦蹦啊撒伟,9月28日 21:05  ,陕西
湿体才不会听术力口呢！！,（默默从粉色软件跑来,9月28日 20:35  ,河北
发发,成功取代了world’s smallest violin 成为外国我的世界营销号的BGM,9月28日 19:09  ,广东
Let‘s go 朱卓希gos,なんで高高ばか、配布済みです。あなたと宮やった,9月28日 18:44  ,未知
-纯度偷坟家肘法信仰玩家-,这才是真正的音乐,9月28日 16:59  ,上海
眠眠^♡.,听到这首歌已经想象自己oc和自己推在脑子里面蹦达了。。。💪,9月28日 15:41  ,河南
？,正常的翻译：《乐意效劳》,9月28日 14:29  ,陕西
蛋仔派对七联,万能卡点,9月28日 12:52  ,上海
幸福一家,ギリギせずすぜとぢぴょらめ々ゝゑゐー,9月28日 12:48  ,辽宁
是个小乌堆,谁是从B站飞过来搜的？,9月28日 12:47  ,重庆
MOJANG2009,豪庭,9月28日 12:28  ,辽宁
