Username,CommentContent,Time,Location
扭啊扭,最爱的歌手和最爱的动漫！,7月21日 07:11  ,新西兰
大崎娜娜,很喜欢優里，但是这个动漫。。。,7月19日 10:13  ,安徽
‎・ࡇ・,不是，叔叔好不容易发首新歌结果是这b动漫啊，心情复杂,7月19日 13:23  ,广西
霍克斯酱,好好听，小英雄的OP和ED都好好听，话说一边骂一边特地找来的是不是都是“口嫌体正直”啊？,7月21日 20:50  ,上海
似水年华,看到我的英雄学院就应激了是吧哈哈哈哈哈哈哈哈哈笑死了,8月5日 21:23  ,福建
Ady,拜托，要不是看见尤里出新专谁会点进来，给鬼子学院洗地的是什么成分啊。,7月22日 08:29  ,海南
Bakugo,多管闲事的英雄啊，“绽放出能让总是哭肿双眼的你不再悲伤的笑容”，无论多少次，获胜然后救助，救助然后获胜，去守护他人的笑容吧！,8月2日 10:34  ,四川
雪莲,隔壁咒回打宿傩就是从这边打all for one学的吧,7月23日 04:31  ,浙江
(｡･∀･)ﾉﾞ,两位老英雄不简单，1年前同框，而今再比一次,7月22日 02:57  ,浙江
西楼玄烛（开学忙不一定回抱歉）,草，等了叔叔一年多，等来这首歌，结果是他英的op，我……,7月19日 23:05  ,河南
莓,歌词像绿谷写给转弧的,8月17日 00:17  ,缅甸
ROSES,我是来听歌的，不是为了那个动漫的,7月21日 12:39  ,天津
西索～-～,完结咯终于，最后直接能力不够科技来凑,8月11日 20:14  ,河北
Todoroki1,不是你们都爱国为啥还要听日本人的歌啊？,8月23日 10:27  ,浙江
玩美～：-）,最爱喜欢看我的英雄学院了！不管别人骂这个动漫，我不骂，只我不骂就行了 我一直在你的身边保护你的，别人说你是鬼子学院 但是我眼里是一个闪亮的动漫！！！,9月11日 19:03  ,河北
Dipper,其实我感觉没有特别明显ru，不过港澳剧场版上了,9月28日 23:05  ,中国澳门
X,不辱不看,9月27日 21:32  ,福建
official薛校長dism,这一季真的太好看，大家都有高光时刻，太感动了,9月26日 18:22  ,日本
🍉啵啵,deku！！！,9月24日 13:08  ,上海
乙骨忧太,能拯救人们的叫做英雄能拯救英雄的只有人们,9月23日 20:14  ,上海
HTT,デクくんならできる,9月17日 20:51  ,北京
玩美～：-）,最爱喜欢看我的英雄学院了！不管别人骂这个动漫，我不骂，只我不骂就行了 我一直在你的身边保护你的，别人说你是鬼子学院 但是我眼里是一个闪亮的动漫！！！,9月11日 19:03  ,河北
小心春滑落水,豪庭,9月6日 23:06  ,广东
pineapple,最喜欢小英雄,8月27日 03:37  ,江苏
Todoroki1,不是你们都爱国为啥还要听日本人的歌啊？,8月23日 10:27  ,浙江
番泥,这首是真好听,8月22日 18:47  ,未知
路路L鱼籽,你还会等吗？会的。即使，责任比选择更先到来？一定，只因我不会忘记自己的原点！加油啊！我们的小英雄们！,8月20日 20:41  ,安徽
czz,变档～,8月19日 14:05  ,广东
浒浒,守护,8月18日 13:33  ,广东
莓,歌词像绿谷写给转弧的,8月17日 00:17  ,缅甸
西索～-～,完结咯终于，最后直接能力不够科技来凑,8月11日 20:14  ,河北
ナナ,小英雄！,8月8日 10:21  ,未知
似水年华,看到我的英雄学院就应激了是吧哈哈哈哈哈哈哈哈哈笑死了,8月5日 21:23  ,福建
Bakugo,多管闲事的英雄啊，“绽放出能让总是哭肿双眼的你不再悲伤的笑容”，无论多少次，获胜然后救助，救助然后获胜，去守护他人的笑容吧！,8月2日 10:34  ,四川
元気いっぱい,把歌和动漫切割不就行了，只听歌嘛，毕竟虽然那部作品是真恶心但是歌真的都很好听,7月31日 00:33  ,河北
hotaru,叔好 他英烂,7月30日 00:19  ,上海
为ktn怒改昵称！,歌好，番史,7月29日 02:20  ,广西
natsunohi,我喜欢的歌手为啥都唱这鬼学院，北泽佑扶之前也唱了它第五季的歌，还好我没看过，怕看了膈应,7月27日 21:59  ,福建
雪莲,隔壁咒回打宿傩就是从这边打all for one学的吧,7月23日 04:31  ,浙江
轰灯矢official,好听！,7月22日 18:09  ,内蒙古
紫罗兰Official,要问为什么因为我来了,7月22日 10:06  ,浙江
Ady,拜托，要不是看见尤里出新专谁会点进来，给鬼子学院洗地的是什么成分啊。,7月22日 08:29  ,海南
(｡･∀･)ﾉﾞ,两位老英雄不简单，1年前同框，而今再比一次,7月22日 02:57  ,浙江
霍克斯酱,好好听，小英雄的OP和ED都好好听，话说一边骂一边特地找来的是不是都是“口嫌体正直”啊？,7月21日 20:50  ,上海
ROSES,我是来听歌的，不是为了那个动漫的,7月21日 12:39  ,天津
扭啊扭,最爱的歌手和最爱的动漫！,7月21日 07:11  ,新西兰
三十,服了鬼子学院，继八爷的v字手势后又一首被番毁了的歌,7月20日 13:24  ,山西
Ady,漫画作者在漫画里加某个毒气部队的谐音如花，不是不知道，是q音河蟹打不出来。,7月20日 06:34  ,海南
979,好歌，但是柜子学院滚出ZG,7月20日 01:43  ,广东
西楼玄烛（开学忙不一定回抱歉）,草，等了叔叔一年多，等来这首歌，结果是他英的op，我……,7月19日 23:05  ,河南
无问西东,我的鬼子学院,7月19日 22:50  ,安徽
骑士,歌手好 但动漫,7月19日 21:38  ,福建
優,终于出新歌了,7月19日 18:38  ,陕西
雫,来啦来啦,7月19日 17:16  ,福建
涼宮ハルヒ,专心听歌，番就算了，没看见，就当作是普通的就行（强行自我安慰）,7月19日 16:22  ,福建
不会飘的絮ovo,歌好番坏,7月19日 15:23  ,北京
🦋,怎么是鬼子学院、,7月19日 14:43  ,贵州
慕,,7月19日 14:12  ,河北
‎・ࡇ・,不是，叔叔好不容易发首新歌结果是这b动漫啊，心情复杂,7月19日 13:23  ,广西
晟,叔叔的嗓音还是这么抓我耳,7月19日 12:53  ,江西
姬野,歌是好歌,7月19日 11:49  ,河北
时艺,我服了,7月19日 11:08  ,广东
(｡･∀･)ﾉﾞ,老英雄,7月19日 11:05  ,浙江
MR.children,梦回参宿四,7月19日 10:44  ,广东
烂透,叔叔的回归,7月19日 10:24  ,广东
Leaf,歌是好的，漫是🤮的,7月19日 10:23  ,福建
Aki,终于发新歌了🫶🏻,7月19日 10:22  ,上海
一个孩子三个妈,哎。。哎。。哎,7月19日 10:21  ,重庆
🐽,好歌，但是看到简介是他英就......,7月19日 10:19  ,上海
Mochi🦄️,来了！！優里！,7月19日 10:16  ,四川
大崎娜娜,很喜欢優里，但是这个动漫。。。,7月19日 10:13  ,安徽
