Username,CommentContent,Time,Location
山上彻也这么可爱真是果咩捏诶嘿,三个月！绿苹果你知道窝这三个月没新歌听多寂寞吗,2023年4月24日 23:58  ,江西
Heru.,恭喜日本唱片大奖！！！！！,2023年12月30日 21:04  ,北京
海之言,『顺其自然、放下身心、释放自我、悦纳自我、坚持不懈、咬紧牙关、全力以赴、挑战极限、拥抱生活、重新开局』  真心谢谢绿苹果，马上就要中考了，希望我如歌词一般，全力以赴，挑战极限！,2023年4月30日 19:23  ,福建
桜沢乄,泪目，直接梦回庶幾之呗那梦开始的地方，果然无论怎样变化，大森的初心都没变吧，public，鲸呗，in the morning，关于我，永远都是最让人为之感染的，最振奋人心的那一个啊大森是无敌的,2023年4月25日 12:31  ,吉林
相对论,前排诶！一如既往地活力四射，洗洗睡了，明天又会被这首歌打满能量！,2023年4月24日 23:30  ,云南
John,恭喜获得第65回日本唱片大赏,2023年12月30日 21:37  ,江苏
小沫,新歌！最喜欢最喜欢的就是大森词里写的生活态度，像阳光一样振奋人心,2023年4月25日 22:48  ,江西
Marguerite,听第二遍的时候就觉得很好听了，可以循环一段时间了,2023年4月24日 23:22  ,湖南
MR.children,来了，又是春季剧tie 曲！,2023年4月25日 00:10  ,广东
RURU,每集到了片尾曲都有种豁然开朗的感觉，是真正的快乐,2023年5月29日 22:30  ,广东
闹闹日山鹅,好适合这个季节听呀！！心情会变好！！,2023年4月26日 15:13  ,广东
AAA超绝黎猫猫批发商🍐,"""别认输啊，今天也要坚持不懈！""",2023年5月15日 20:32  ,江西
AAA超绝黎猫猫批发商🍐,回头看，轻舟已过万重山向前看，前路漫漫亦灿灿,2023年6月9日 19:45  ,江西
廖乐野,“钱塘江上潮信来，今日方知我是我。”哈哈，还是怪怪的，但顺其自然，孤身一人也罢，差劲的人也好，。“我还是我。”,2023年5月11日 10:49  ,四川
毛豆派女士,满脑子都是那位灵动的人儿,9月18日 21:07  ,广东
硕ゆず,昨天的final,9月16日 10:36  ,北京
0,这也是他的心声吧,9月15日 17:50  ,四川
なかやま　けんね,咖啡店开幕的时候放这首歌莫名泪目,9月15日 08:32  ,广东
Pattaya,谢谢，虽然还是很难过，可是好像好一点了,9月13日 17:52  ,上海
Pattaya,虽然但是，有被老爸放的这首歌安慰到,9月13日 07:55  ,上海
なかやま　けんね,祝每个人周日晚上都能快乐,9月6日 09:18  ,广东
なかやま　けんね,战士代表岸田纱织,9月6日 09:16  ,广东
