Username,CommentContent,Time,Location
Xyz小炎子,气鼓鼓！啊啊啊！一天不看赤音气鼓鼓就难受！！！,7月4日 01:54  ,广东
晚晚皆安,其实妈妈也在舞台下鼓掌哦！,7月4日 07:50  ,湖北
木鱼花,这张真的氛围感拉满 尤其是联想到那句“人死后会去电影院” 这几个已经死去的人 除了复仇还能做什么呢,7月4日 13:16  ,河南
「战栗の吹雪」,我是真不想看推子走辉夜老路啊赤坂,7月4日 00:01  ,陕西
Snoop,看了漫画，这季最期待的画面就是鞘姬死了和复活时阿夸带入了爱的情感，哭的撕心裂肺和喜极而泣的那段，当时看漫画真的激动了一晚睡不着,7月4日 03:20  ,云南
Kristin,怎么能没有我们帽！简直帅炸了！,7月6日 19:59  ,广东
斯斯崩,全部吧（亚枇子音）,7月5日 19:05  ,浙江
needy,越听越上头，mv更是无敌（您这笑起来差点要把我掰弯了）,7月6日 04:28  ,广东
晚晚皆安,主场：黑川茜VS有马加奈,7月4日 15:09  ,湖北
路小雨,歌词是神木辉写的罢（悲,7月4日 11:46  ,陕西
谎,这神一般的OP，给我了一种好久没有过的激动,7月4日 07:33  ,湖北
迪西馅饼与甜冰茶,这歌真得劲儿吧，从看到先行版流出OP开始在b站溜好几遍了总算是上了,7月4日 01:05  ,福建
独爱星野爱,就这点评论，给我一种推子不火了的感觉,7月4日 09:16  ,天津
秋叶原第一深情¯(◉‿◉)/,符合预期，质量很高，第一季偶像封神，梅菲斯特也贴剧情，说出阿夸强烈的为爱复仇心愿。这次制作组继续经费燃烧，动画工房稳定发挥，剧情持续高歌，超喜欢的，第二季第一集片头片尾OP十分OK，单抛剧情内容不说，这两首曲都很好听，曲调说唱和情感把控很到位的，歌词超赞的，完美！只要制作组一直这样做下去，推子未来风光无限啊！！,7月5日 12:03  ,安徽
西楼玄烛（开学忙不一定回抱歉）,之前没怎么关注谷田桑的长相，没想到他这么帅呀。越来越出息了啊，给大爆番作op了诶，谷田赛高,7月4日 00:20  ,河南
爱门(不处),哪里有星野爱那里就有我！没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻没有星野爱哪有不疯的？硬撑罢了👊🏻,9月29日 09:32  ,江苏
Why,有没有人觉得这首很贴十日终焉…ky 致歉但真的很有感觉,9月28日 22:06  ,浙江
鸿运当头༄༅,这才是真正的音乐。。。。。。。。。。,9月28日 10:19  ,江苏
亻左.,akane最高🥲,9月27日 23:54  ,广东
KDX-14,这个星期是大结局了吗,9月27日 21:11  ,北京
⭐️野 爱,爱酱提示！要充电了哦！,9月27日 19:25  ,辽宁
Ssslz柿柿石榴梓,做一天慈善,9月27日 13:12  ,河北
6,op里最带感的一幕,9月27日 01:27  ,广东
6,这才是真正的音乐,9月27日 00:45  ,广东
黑水,只有我一个人因为歌声与歌词而吸引过来的吗？,9月25日 21:02  ,内蒙古
🐟,GIGA是神！,9月23日 23:43  ,江苏
迷路的鹿儿也想家,11集阿库亚和黑川茜在天桥上那段对话给我脑子干烧了，没看过原著，有原著党给解析一下黑川茜的那段心理描写的作画是什么意思吗?,9月23日 22:52  ,江西
k1nn,一口气全部看完啦,9月21日 07:35  ,广东
ᴴⁱᶜᵏᵉʸ.,缺爱是填补不了空虚寂寞,9月20日 22:55  ,新疆
giggity,确实好听,9月20日 19:38  ,江西
needy,实体专到了！真的太好听了,9月20日 12:02  ,广东
笑容依旧,我是谁我是中国人我吃人,9月19日 18:05  ,江苏
笑容依旧,我本来也是日本🇯🇵人我现在在中国🇨🇳,9月19日 17:59  ,江苏
Michi,我担唱我推的番的歌！！！！！！！！双厨狂喜！！！！！！！！,9月17日 17:48  ,广东
烟雨平生,开溜！,9月15日 18:13  ,辽宁
中原中也,aaa我一开始给听成文野的片头了,9月15日 11:57  ,上海
爱好而已啦,豪庭,9月13日 18:42  ,天津
下个次元见.,《请问你们几个是同一个人吗》,9月12日 22:44  ,江苏
念林,帽子,9月12日 22:31  ,安徽
半饱,喔嚯，最后两句有点帅,9月10日 14:34  ,广西
chreammery,cbm是什么啊,9月9日 20:37  ,北京
惠惠单推人,cbm不要因为自己发病就毁了该作品相关的投入啊，求求了别真烂尾了,9月8日 16:17  ,甘肃
Yokohama至尊白毛控,“我不知道在梦里幻想过多少次。”,9月8日 15:40  ,江苏
Ray,难得每次都会认真听完的op，画面和音乐都是神中神,9月8日 11:38  ,广东
柠栀ベ,之前听op：从左到右，从未失手现在听op：听着听着就到Q音单曲循环了,9月8日 09:34  ,广东
就厨反派你打我啊,编曲居然是giga‍🔥🥹,9月6日 22:52  ,广东
月岛,今年最喜欢的op,9月2日 21:14  ,上海
屹屿,这首歌真的真的真的很好听啊啊啊啊啊啊！！！什么完美的嗓音和唱法哇哇哇！！！直接杀了我的耳朵罢了！我的耳朵不配享受这种天籁,9月1日 17:05  ,山东
阿霆霆\(≧▽≦)/,泪目了,8月31日 20:25  ,浙江
阿部贝贝.,啊？中岛健人啊？？？,8月31日 15:43  ,河南
Weathing With U,赤坂怎么这么会画头发啊，太细了,8月31日 12:13  ,吉林
烟雨平生,开溜,8月30日 15:46  ,山西
去死好吗,什么时候能把漫画内容出完我好想看啊啊啊,8月29日 18:13  ,江西
初,露比都💩了 幽默赤坂,8月29日 17:11  ,上海
ファタール - Fatal无敌,明明比idoI好听啊，已经上头了,8月29日 04:21  ,广东
ファタール - Fatal无敌,我嘞个逗，没人懂亚枇子老师吗！！！！,8月29日 04:18  ,广东
Value.,这首太有感觉了，配上op超酷的，唯一一个每次更新都要听的op,8月29日 01:36  ,浙江
Midai,编曲水印呢？这个无水印一时半会不知道是不是本人。,8月28日 15:59  ,广东
Light rain,，她或许不知道爱是什么，但是她知道用谎言编织爱，但她却在那时说出了“爱”，泪目啊！,8月28日 10:21  ,重庆
木了个吉吧,看番的时候第一次听感觉有点怪，所以op跳了，结果来这听发现是首神曲之前太没品辣,8月27日 20:24  ,山西
占在北回归线,什么番！😫,8月27日 19:25  ,上海
元首,我说歌手声音怎么这么熟悉，原来苍蓝所栖是他唱的,8月27日 18:39  ,浙江
❅云❅,,8月26日 20:23  ,黑龙江
BA老舰长·▽·,和第一季的神曲比起来略显逊色，但依旧是一首好歌,8月25日 21:16  ,江苏
怠惰小姐,好消息：这歌越听越上头，动画工房第二季稳定发挥，赤音气鼓鼓可爱坏消息：牛魔的赤坂漫画最新话整大活，露比被捅了,8月25日 20:24  ,辽宁
安安呢,豪庭,8月25日 12:05  ,浙江
骏木斯康明,好听，好听，是不是大河剧的主题曲，太棒了。,8月25日 00:41  ,贵州
Reyomi^,帽帽！,8月24日 18:58  ,天津
Admirer,第一季OP和第二季OP都很好,8月24日 14:19  ,安徽
kkk,帽门永存！！,8月23日 18:42  ,湖南
LEXFIND,不好听,8月23日 10:40  ,山东
氵既,茜宝天下第一,8月22日 20:28  ,江苏
Dorothy🍬,加奈宝宝,8月22日 02:29  ,吉林
Ukee,前面还听不顺，中间开始上头？哈哈,8月22日 01:29  ,山西
Mo,这个op越听越爱,8月21日 22:31  ,湖北
C1NNAM0N,超帅阿夸,8月20日 16:43  ,重庆
梦魇·ときさき くるみ,感觉爸爸去哪了两季的op曲都好上头,8月20日 12:55  ,四川
油,可惜呀，妹妹就这样没了￼,8月20日 10:44  ,福建
神 助我,最可爱了！！,8月19日 20:36  ,四川
thththousand,被阿库亚这个笑钓成翘嘴了,8月19日 09:47  ,上海
谷风天音,小苏打加油！,8月18日 15:56  ,福建
M.X.G,什么都推只会让我的营养更加均衡,8月17日 21:30  ,河南
掌管懒惰的神,不是我5话漫画没看补了再来听op这首歌不会是写神木光对爱的吧,8月17日 11:08  ,广西
502Mistake,好听,8月16日 16:10  ,四川
Linsun,上头,8月16日 09:11  ,北京
談,越听越上头,8月16日 09:08  ,湖南
紀栀,有马加奈推女一🈳,8月15日 23:20  ,江苏
NPC,大赤老师给动工磕一个吧,8月15日 22:59  ,福建
爱莉爱莉，世界第一！,真的越听越上头，最开始还沉浸在上一季YOASOBI的洗脑当中，看了几集第二季后，现在已经是Fatal的形状了！,8月15日 20:53  ,广西
想,欢迎收看《爸爸去哪儿了第二季》,8月15日 17:16  ,广东
初秋,在网上看的，赤音翻译的是茜。在b站刷到赤音的时候，还在想是谁,8月15日 15:57  ,江苏
