Username,CommentContent,Time,Location
AchIlleaTok1o,你已经做到了，比以前的自己更加出色，更加成熟，更加热爱棒球与队伍中的大家。,7月1日 04:00  ,广东
Marguerite,听了很多遍后，我发现大森现在的音乐还是有第一阶段的青春朝气，但又成熟了不少，更流行了，他真的好有才华啊，每一首歌都那么好听（555，听得我越来越兴奋，睡不着了）,4月12日 00:27  ,湖南
死亡與指南針,“如果没有和清峰叶流火相遇就好了。我想忘记的，是产生过这种想法的自己。”,7月1日 20:58  ,辽宁
.CHERRYCICI.,啊，没有失忆投捕看的第三天，好难受啊，距离下一集还有11天吗，好漫长,5月24日 11:15  ,广东
洁世一,失忆投捕真的好看，不愧是mappa,5月20日 19:08  ,河南
木鱼花,这首歌开头的编曲诠释了收藏的最快速度到底能有多快,4月13日 16:10  ,河南
愚者一得,热烈青春以一种绿苹果的方式在四月初又回到我身边,4月11日 23:11  ,湖北
KAWA_chuan,前奏配合着封面有种夏日的葡萄味的感觉哈哈哈哈哈,4月11日 23:30  ,福建
森川小环,🍏的歌有的时候只用一段电吉他就能让人快进到夏天,4月11日 23:53  ,江西
Last Song,呜呜夏亲王自从炎炎消防队之后这么多年了终于又一次为动画写歌,4月16日 22:39  ,山东
千早,前奏真的好听，有种奋斗到涅槃再到成功的感觉，看完第11集千早那段，感动哭了“要一起打吗？”“我要打！”,6月27日 20:43  ,湖北
双面煎和太阳蛋,球球你们去看失忆投捕吧，实在是太好看了，我什么都不会做的,6月5日 18:20  ,江苏
🐷,世界上只有两种人，一种是没看过忘八的，另一种是看过很多遍忘八的,7月17日 14:33  ,重庆
不想努力了好想暴富,一开始那段吉他太绝了。。。若井,4月16日 02:50  ,日本
云舒💖,这个前奏太清爽了 像炎炎夏日来一杯青柠冰茶 好肆意美好,7月11日 21:10  ,新疆
旭日阳光,剧情优秀，配乐顶级，分镜顶级，制作顶级，再加上绿苹果和通心粉铅笔活力加持，真是四月之光啊,9月26日 02:41  ,重庆
等爱褪色⁸,失忆投捕太好看了！,9月23日 20:18  ,河北
Pessoa,你們竟然cover今年新歌，啊啊啊好品味,9月23日 18:09  ,山西
銀,絕對,9月22日 16:36  ,湖南
WDHYXL.,绘子太太好厉害啊，最新一话让我立马想起忘八还是搞笑漫,9月22日 09:56  ,浙江
jc。,请大家都去看失忆投捕吧,9月22日 02:19  ,广东
多喝咖啡,叶流火和圭要一起打一辈子的棒球啊！,9月20日 19:28  ,江苏
蝉想,好温柔啊,9月17日 22:07  ,湖北
钦儿,因为绿苹果的歌去追了动漫，动漫真的很好看，每次op都不跳过,9月15日 16:11  ,江苏
