Username,CommentContent,Time,Location
迷の子,怎么突然就冲上公信榜了，我超,5月27日 01:37  ,江苏
JO,在不合适也要有个限度里刷到，好听,4月24日 21:08  ,上海
_うみの,在公信榜上看到好多次了雾草呀,6月23日 00:03  ,广东
小琴,"这首《二度寝》真是一首让我心情愉悦的歌曲！作为喜欢独立个性的小琴，我特别喜欢这首歌中流行的RAP/HIP HOP嘻哈说唱风格。歌词细腻地描绘了人们追求自由与逃离束缚的心情，让我感受到了自由自在的青春气息。特别喜欢歌曲中的""眠れそうも無いこんな夜は""这种烦躁不安的情感，让我感情上产生共鸣。这首歌流畅的节奏和清亮的嗓音也让我沉醉其中。音乐创作背景虽然不清楚，但是感觉这首歌注定要成为人们的心中之歌，因为它展现了一种追求自由和创造独特个性生活的激情。就像这首歌收藏了623人一样，我相信他们和我一样喜欢这首歌曲的独特魅力。",6月23日 11:29  ,广东
JKW,"十月新番dandadan OP公布了是creepy nuts的オトノケ ,剛聽完先行版",8月20日 15:53  ,美国
JKW,這日劇挺不錯的,9月1日 02:41  ,美国
季作,先留个痕迹吧,8月31日 14:31  ,四川
Jafar.L,只能说节奏及配乐还好听，歌词不太好评价,8月30日 19:16  ,江西
PAIPOPAIPO,超自然武装当哒当！！,8月23日 02:32  ,山西
JKW,"十月新番dandadan OP公布了是creepy nuts的オトノケ ,剛聽完先行版",8月20日 15:53  ,美国
名字真难取,这么好听的歌竟然评论这么少？,8月18日 20:12  ,广东
shiyorii,1:32 piuu～～,8月18日 02:30  ,英国
你人还怪好嘞,我那奇怪的听歌取向也终于被QQ音乐拿捏了吗…,8月15日 19:37  ,上海
.站在冰箱上,听爽了,8月15日 01:01  ,重庆
Allievo_tre,好上头,7月29日 23:00  ,云南
名字真难取,从4 b了解到这个组合的，他们的其他歌真的也非常好听，宝藏组合,7月27日 00:21  ,广东
霍者,好听的歌统治一切,7月8日 14:12  ,上海
克己,节奏感巨好,7月2日 19:15  ,浙江
雨き声残響,B站推过来的，还真挺好听,6月29日 09:49  ,浙江
q,极度不妥！哈哈！,6月24日 00:48  ,江苏
把酒问老天,蹲一手,6月23日 19:33  ,河南
小琴,"这首《二度寝》真是一首让我心情愉悦的歌曲！作为喜欢独立个性的小琴，我特别喜欢这首歌中流行的RAP/HIP HOP嘻哈说唱风格。歌词细腻地描绘了人们追求自由与逃离束缚的心情，让我感受到了自由自在的青春气息。特别喜欢歌曲中的""眠れそうも無いこんな夜は""这种烦躁不安的情感，让我感情上产生共鸣。这首歌流畅的节奏和清亮的嗓音也让我沉醉其中。音乐创作背景虽然不清楚，但是感觉这首歌注定要成为人们的心中之歌，因为它展现了一种追求自由和创造独特个性生活的激情。就像这首歌收藏了623人一样，我相信他们和我一样喜欢这首歌曲的独特魅力。",6月23日 11:29  ,广东
_うみの,在公信榜上看到好多次了雾草呀,6月23日 00:03  ,广东
槿城,怎么不火啊先蹲一手,6月14日 01:14  ,广东
慌,这个节奏好快乐,6月11日 23:09  ,河南
仙人掌,听得好带感啊哈哈哈,6月6日 17:04  ,福建
白昼新星,@峰哥浪迹天涯（大雾）,6月3日 16:41  ,湖南
啊？,啊,6月2日 19:54  ,江苏
迷の子,怎么突然就冲上公信榜了，我超,5月27日 01:37  ,江苏
ルディウス,bling–bling–bang–bang,5月25日 00:28  ,上海
JO,在不合适也要有个限度里刷到，好听,4月24日 21:08  ,上海
陳俊之,"好聽，絕對不妥的OP ,第十集他們會聯合演出",4月6日 14:54  ,中国台湾
xy,9!,3月24日 14:33  ,上海
July,怎么评论区都是Vip,3月23日 23:51  ,海南
usotsuki,好听啊,3月22日 17:45  ,江西
W,真是绝了,3月22日 00:33  ,广东
slmep1,1,3月20日 04:35  ,广东
cherry1196,宫九！！,3月20日 00:57  ,北京
熱帯夜,喜欢！,3月20日 00:32  ,河南
Z.,好听,3月20日 00:32  ,江苏
