Username,CommentContent,Time,Location
哈哈哈sfgc,剧这不是在日本挺火的，歌的mv在油管播放量好高,4月27日 20:01  ,广东
聪,“喜欢咖喱吗，蛋包饭呢，那你喜欢我吗。”「我很喜欢这只海獭」“侑里小姐，喜欢吃饭还是面，喜欢咖喱吗，喜欢蛋包饭吗。”“那喜欢我吗。”“你叫什么名字？”“本宮。”“我是问后面的名字。”“侑里。”“为什么是尹先生在弄。”“我不叫尹先生，我叫泰唔。”,5月24日 00:39  ,江西
咪嗖嗖西啦西嗖,说像胡男难道是一种贬低吗?,6月17日 19:56  ,辽宁
君。,好听，搞不懂在这首歌下提别的歌手是什么意思，我两个的歌手都喜欢，有时间在这说这首像谁那首像谁不如不听去做点更有意义的事,8月9日 12:37  ,江苏
我是朴志晟的狗,"“侑里小姐, 你喜欢吃饭吗”“是 我喜欢”“你喜欢咖喱吗”“喜欢”“你喜欢炒饭吗”“我也喜欢炒饭”“你喜欢蛋包饭吗”“我也喜欢蛋包饭”“那我呢... ”“我也喜欢你 我喜欢你 最喜欢你了”“我也最喜欢你了 我爱你 超爱你的”",3月1日 23:01  ,湖南
KamikazeZ,二阶堂富美和蔡钟协的化学反应真的太好了，好久没在日剧里看到这么对味儿的cp了，二阶堂富美以后可以把这套妆造焊死在身上了，太合适了,2月2日 21:31  ,北京
土豆香菇酱,omoinotake好久没出这么可爱的歌了，越听越喜欢。我感觉这可以算是他们第二首告白曲，之前的プリクエル是充满青涩悸动的告白，有着告白的不安与期待，这首则是真挚热烈的告白，情绪特别饱满，挺贴剧里男主那个开朗小狗的样子,1月31日 00:33  ,江苏
布恩,不敢相信，之前只是听说，现在真的确实感受到了Omoinotake评论区里胡男粉的不礼貌，试问在胡男歌的评论区疯狂cue其他歌手是个什么感受？,3月4日 15:02  ,陕西
喜欢八女士,确实开头钢琴直接想到胡男universe了但没那么活就是了,2月2日 10:02  ,江苏
小恩唯一妈咪,评论区胡男粉能不能别ky了，到底哪里像了,3月1日 04:33  ,江苏
永远热忱.,这首歌好符合小蔡的直球小狗形象啊啊啊,1月31日 19:00  ,广东
默,这首真的好有胡男的感觉，钢琴编曲部分胡味拉满(个人觉得开头有点universe的感觉)，低频部分有点tattoo的感觉，进副歌的部分又有点pretender的感觉是很棒的一首歌啦，最近脑子里总是不自觉响起副歌的旋律,2月13日 00:12  ,江苏
KAWA_chuan,好听啊，岛根县人才辈出！！！,2月18日 16:32  ,福建
加美山,有的人胡男歌没听过几首就开始到处KY了是吧,3月6日 17:28  ,福建
polkmn,第一次追日剧，一周就更一集,1月24日 19:51  ,山东
Enchanted.,eye love you扛大旗！！！！,1月25日 23:32  ,广东
ruby,好烦能不能别一直提某个乐队啊，喜欢去隔壁听个够好吗？别一直像像像的，一直都这风格没听过以前的歌别来评论下逼逼逼烦死了,2月29日 00:36  ,湖北
晚风,和弦和电子合成器的运用是胡男的风格，他们乐队和胡男的关系也蛮好的借鉴一下也是没问题的，整首听下来词还是没有藤原聪那么开放，聪聪的词还是一绝,2月2日 02:11  ,江苏
曾爱你青春欢畅的时辰,Eye Love You！白富美女社长二阶堂富美和直球年下大狗狗蔡钟协！超！好！磕！,1月24日 08:41  ,浙江
含笑半步癫,豪庭🏻,9月29日 21:35  ,广东
沈苏,超爱狮子社长的翻唱 又发现了一首好听的歌 原唱很好听 可爱到了,9月27日 22:17  ,江苏
刃下心,9.23日，变成vip歌曲，特此纪念,9月23日 17:42  ,江苏
宫野奈,评论好少,9月22日 12:58  ,未知
三白,只是旋律有点重合度，我觉得还是很好区分的，他们的强度是不一样的那种。,9月12日 22:56  ,浙江
你de倒影總成,看电视剧来的，听到ost的时候立马就识别歌曲收藏起来啦！副歌部分巨好听,9月9日 13:58  ,广东
baiii,好好听^o^,9月2日 13:54  ,山西
Jafar.L,开口直接就是高潮，太好听了，爱了爱了,8月30日 19:17  ,江西
金三少,因为蔡钟协，开始追《Eye Love You》，然后发现我已经收藏了片尾曲，天呐天呐，瞬间好开心,8月29日 00:09  ,江苏
田喜悦,这歌是我今年的年度J-POP歌曲的有力竞争曲！🥹,8月24日 17:06  ,重庆
ottaku,听歌而已 别搞饭圈,8月19日 14:32  ,广东
Ohno薯🌟,最喜欢这样的蔡蔡！！,8月17日 16:09  ,广东
芒果,蔡钟协太帅了,8月16日 21:58  ,广东
你午睡了吗,所以好听的歌不需要太多人知道，虽然在日音那边还是挺火的,8月16日 17:36  ,江苏
西楼玄烛（开学忙不一定回抱歉）,最近随机循环播放歌，几亿光年总是在胡子男的歌前后（好像幸せ也经常这样）,8月13日 18:30  ,河南
IF You,还以为胡子男又出新歌了,8月12日 00:09  ,上海
Sunny-Day🌟,好好听！在日本餐厅听到的！,8月11日 16:27  ,日本
咪嗖嗖西啦西嗖,至于你说的代餐这个说法很不尊重，这个我承认，这个词在结果上确实构成了不尊重(但也不是我说的）我只是想替他们解释一下，即便是这么说，也是没有恶意的，只是用词不当。假如你发现了一个很优秀的歌手，那你会发现，听他的歌似乎听不够，那就会不自觉的搜和他相似曲风的歌手。有的人可能从胡男搜到omo，也有人会从omo搜到胡男，既然这是个事实，为什么不能说出来？不能把事实说出来，这样的规矩不多余吗？,8月10日 22:15  ,辽宁
