Username,CommentContent,Time,Location
微笑pasta,真的祈祷下单的混音正常点行吗？我已经忍了2单了，再这样我就把运营给zha平了,7月21日 15:45  ,重庆
风中有朵雨做的云,这歌舞蹈像极了许多人的一生：一直在忙，到头来也不知忙了个啥。堂妹、亲妹、表妹镇楼！,8月1日 15:41  ,重庆
我真的栓q,这是o榜第一天cd销量26w？,7月19日 03:56  ,重庆
陈桃花,松井玲奈33岁生日快乐,7月27日 15:49  ,重庆
失恋歌迷党,刚出新单，又想着下一单了,7月20日 04:06  ,重庆
猫背矯正中,已调理好且被洗脑 有种大钻时焕发新生的感觉 爱酱很有ace气势 希望闭真的有希早日回东蛋！！,7月19日 08:36  ,重庆
^ ^,如果混音能混的好点就好了…,7月19日 09:04  ,广西
藤井树,环球你…混音真的好烂,7月19日 01:20  ,广西
Charles.X.Chen,音质好差啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊这两单的混音都做的什么玩意儿啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,7月21日 13:10  ,福建
长白山神树୧⍤⃝❄️,我嘞个豆 听了紫紫的再听闭的，多谢肥秋没给那种质量的曲子🥲,7月19日 06:01  ,江苏
不白兰菜狗,第一遍感觉吵，但闭粉会自适应,7月28日 18:52  ,河南
枳子炖南瓜,好快！看了初披露狂骂，看了mv真香,7月19日 10:19  ,广东
摆摆小白,原来这首歌全曲才三分钟不到啊，好短,7月19日 18:16  ,福建
花の莺,也就比乃木坂新歌好听了130倍吧,7月29日 12:02  ,北京
第一次去卢浮宫的时候,好怀旧的感觉就是这个味！但是这是正式音源吗，听起来很闷，和抖音的好不一样,8月26日 21:32  ,中国香港
PRU,曲和词感觉都是好听的，就是这个音质实在毁耳朵。,9月25日 15:48  ,北京
卓依婷timi zhuo,上瘾，哈哈,9月23日 20:30  ,重庆
春はゆく,听久了一股大钻味儿，一看作曲果然,9月22日 23:46  ,四川
-夜雨廉纤-,纯路人，但是好听,9月20日 11:28  ,四川
布丁,akb还是那么燃,9月20日 06:52  ,湖北
🐤🐧🐻🐰🍍,好听是好听但是真的好吵,9月19日 18:54  ,美国
草履虫,混音毁了这首歌……比live听感还差,9月17日 16:11  ,贵州
我真的栓q,好久不见,9月13日 20:40  ,重庆
吃掉萌猫,上头,9月13日 00:20  ,广西
五子良将于文则,江湖风雨染白衫，黑云压城不见天。,9月8日 21:03  ,山东
KYRIE.🧸,混音混的比现场还吵,9月6日 16:53  ,广东
K-ana-,除了有点吵其他都很完美,9月4日 23:23  ,浙江
五子良将于文则,绵延英雄的脊梁，称其为家国傲骨。,9月3日 21:04  ,山东
FieryBard,半夜刷到训练室视频，好有活力，我体温都回暖了,8月30日 00:52  ,北京
风中有朵雨做的云,过段时间不听就浑身难受,8月29日 15:54  ,重庆
迷路的小笨狗,,8月29日 11:13  ,陕西
降E,真的上头,8月28日 02:15  ,柬埔寨
第一次去卢浮宫的时候,好怀旧的感觉就是这个味！但是这是正式音源吗，听起来很闷，和抖音的好不一样,8月26日 21:32  ,中国香港
喜欢在网上逗✓,才找到,8月26日 14:32  ,四川
齐了怪怪,纯正开闭味,8月26日 10:41  ,上海
甜心,要是混音正常就好了,8月25日 22:03  ,重庆
kirisame,人声好闷啊 怎么会这样,8月25日 20:51  ,安徽
丶丶丶,好上头,8月25日 20:42  ,福建
JUNG KOOK,开始循环,8月25日 16:47  ,内蒙古
我型我SHOW,还是那个味儿，但却物是人非。,8月25日 08:58  ,江苏
✨✨✨,这么好听，评论好少，来顶一下,8月24日 20:33  ,辽宁
已注销,恋する楚歌,8月24日 20:19  ,广东
已注销,恋する楚歌,8月24日 20:19  ,广东
aaaaaa-yona,抖音刷到的完全路人 真的觉得挺好听的,8月24日 18:10  ,北京
Atropos,日巡不会就是要唱这首吧,8月23日 17:34  ,未知
海豹,好熟悉的味道 是十五年前的akb,8月22日 00:12  ,江苏
我不生产作业我只是作业的搬运工,天呐 好浓的开闭味,8月21日 14:41  ,天津
王心凌-乘风破浪的姐姐,几天不听竟然浑身难受,8月20日 16:57  ,重庆
🌟yyyyuxin,嘤嘤嘤，加油妹妹们,8月19日 21:59  ,上海
