Username,CommentContent,Time,Location
嘘,夏天不听bn就像四大名著不看红楼梦，说明这个人不懂冬季恋歌在夏天的遗憾和痛楚，只能感受体表温度升高，只能度过一个相对失败的夏天。鲁迅说过：当我吹上空调那一刻，就知道该听back number了。有痛亲王，这个夏天算是完整了。,7月15日 09:26  ,广东
MR.children,才刚夏天，痛亲王就这么痛吗,7月15日 09:05  ,广东
Ending.,星奈牵着目黑莲和村花的手，一边开着bn和静雪编导给她装的车，狠狠地创哭我,7月15日 11:21  ,山东
Ur,这个乐队也就内样，什么时候来中国开个演唱会让我看看实力（,7月17日 04:14  ,福建
🥞,歌曲的第一段，让我脑海马上出现对于南云离世一无所知而哭泣的夏君的画面，第二段让我看到夏君看着小海在海边奔跑联想到南云的画面，最后一段则是夏君和弥生牵着小海开启新的生活，放下过去。每一段所表达的感情不同，层次分明，歌曲太有感染力了，太痛了,7月15日 13:07  ,广东
鑫森淼焱垚,冬天提前半年来了，好痛,7月15日 08:50  ,湖南
Tommy,为什么你非得要在bn出新歌的时候离开呢，我真的受不了啊,7月15日 12:00  ,福建
CA,一年四季都听痛亲王，这辈子有了,7月15日 17:27  ,浙江
Erland,海ちゃん的生日是7/15，今年7/15是日本的海の日，也是周一电视剧放送的日子。歌曲发售日都这么用心，依与吏さん值得获得大家的尊重和喜爱。,7月16日 18:52  ,上海
咸鱼一只,电视剧结尾每次这歌一想起来，痛太痛了,7月15日 12:25  ,宁夏
vv,听说这首歌是以父亲的视角描述的话语,7月15日 12:39  ,福建
易祺君,不枉等了这么久，味儿太对了，这首歌再适合不过痛亲王了。如同叙事一般缓缓道来，忧伤遗憾与淡淡的幸福夹杂其间，瞬间把人情绪拉进回忆，心弦随之颤动。,7月15日 11:31  ,河南
浪漫在无延續,海の始まりを応援してください,7月31日 14:35  ,广东
Twilight,冬天没结束还是冬天提前开始？,7月15日 10:20  ,湖北
。,终于来了电视剧才更新两集,7月15日 09:27  ,四川
Kokoro,恭喜上billboard榜一了🏻,9月28日 13:23  ,辽宁
Rafeal.v,降温了，这几天。开始痛了。,9月25日 08:09  ,上海
sandra,旋律似乎比较熟悉,9月24日 10:16  ,北京
ㅤㅤ⁡,来啦,9月24日 09:41  ,广东
雪妹,虽然没有完整看过，但是每次看⏰播放这个片段歌曲就很有感触。喜欢,9月24日 00:13  ,山西
LWZ☘️,这部戏演得最好是池松壮亮。,9月22日 21:39  ,广东
304B 大王,可算又有一首支棱起来了回数啊喂,9月22日 15:44  ,上海
Drifter,这是以南云的角度写给夏的歌吧,9月21日 16:30  ,湖南
莜,还是这么熟悉的痛,9月16日 20:55  ,广东
Agoni,好喜欢,9月10日 20:50  ,重庆
Fza,南云，你太傻了,9月4日 22:14  ,江苏
PSYCHO,他们还是分手了,9月4日 09:16  ,广东
杜,痛啊 太痛了,9月2日 14:50  ,福建
羊羊羊🐑🐑🐑,日剧的好看，片尾曲必须占一半的功劳啊,8月31日 22:33  ,江苏
乐观的摸摸头,水季和津野的这集特别篇是我心中最好的一集，恋爱的结束,8月31日 18:17  ,浙江
三日月,每一集都能看哭，特别是这首歌一起就知道要结尾了,8月27日 22:02  ,浙江
三日月,哭了，每次副歌一起来就特别想哭,8月26日 22:05  ,浙江
芥子如世,专门等到立秋后再来听阿痛的新歌【手动狗头】,8月26日 10:54  ,北京
牙磕坏了,真的很好听 每次歌一响就流泪 带入剧情真的太好哭了,8月25日 05:20  ,湖南
胡C美式,凌晨两点，开痛,8月25日 01:38  ,湖南
瞳孔の顏色,第8回，真的哭死，特别是和生父见面的戏份。第7回也是，觉得自己和男2好像,8月23日 18:34  ,上海
别离,求剧里那个纯音乐歌名,8月21日 23:12  ,江苏
山顶上有狐狸,今天，爆哭 怎么这么好看啊,8月20日 21:58  ,湖南
Graham🌒,翻译有误，倒数第三句「对方能笑着应允」的主语应为「我」而非「对方」,8月19日 13:04  ,日本
金三少,《海のはじまリ》 OST，目黑莲主演,8月15日 18:36  ,江苏
アギト,我听的两部日剧的主题曲都是你们唱的   真好啊  真幸运  一搜歌  演唱是你们   我真幸运,8月13日 22:25  ,四川
赣奤奤,目黑莲你太神了！每部剧都🈶我喜欢的乐队！！！,8月13日 14:15  ,四川
三笠子,居然在夏天听到了他们的歌,8月13日 00:51  ,四川
🎐以后见.,亲王是什么意思,8月10日 10:14  ,山东
啊泽,这悲伤感，听第一遍都痛,8月9日 14:51  ,广东
椿羽,弥生怎么这么好啊，夏你个傻大春好好关心关心你女朋友啊，我都心疼了,8月8日 15:18  ,湖北
沫兮小阔耐,痛，不愧是痛亲王,8月8日 11:19  ,四川
Give_ove,,8月7日 14:58  ,未知
🐯cherry🍒,小海，妈妈其实一直在你身边的，要幸福下去,8月7日 02:11  ,四川
Briantom,第六集这首歌出来又哭了“无论做了什么决定，都是为了你自己的幸福，但愿你能幸福。”,8月6日 21:30  ,广东
目黒駅,开始心痛… 也请多多关注海的开始🖤,8月5日 14:37  ,福建
Tiny,制作人居然是小林武史！！,8月5日 11:13  ,广东
PSYCHO,很久没有看过这么细腻的日剧了，看一集哭一集,8月5日 01:52  ,广东
Fireflies,这么痛的嘛……,8月4日 00:14  ,广东
浪漫在无延續,海の始まりを応援してください,7月31日 14:35  ,广东
四月,海之初大爆,7月31日 10:50  ,江苏
peiwjx,真的好好听,7月29日 20:33  ,广东
ψ(╰_╯),看了两集太难受睡不着，本来想听听歌缓解一下，却鬼使神差搜了这首来听，边听边看着歌词，给我创得稀碎，更睡不着了……,7月29日 05:37  ,重庆
不加糖的四季春,啥时候来中国巡演啊,7月28日 19:36  ,辽宁
哼唱 小情歌~,谁的选择都没错，但就是很心痛～等周一，等更新,7月28日 18:25  ,河北
塩魚,周冠不容易啊🥹🥹,7月28日 03:14  ,广东
#,乐队也就那样，啥时候来湖南开演唱会看看,7月26日 13:03  ,湖南
#,哇,7月26日 13:02  ,湖南
绫濑桃同学,出息了，这么长时间以来应该是第一次周冠吧,7月26日 08:03  ,湖北
𝑭𝒐𝒓𝒆𝒗𝒆𝒓,海のはじまり➕bn,7月26日 03:19  ,上海
♂唐兴宗♂,空冠唉！,7月25日 21:33  ,上海
Lolyn-,请多多支持海的开始！(oﾟωﾟo),7月24日 23:11  ,广东
HINA.,恭喜周冠！,7月24日 20:13  ,江苏
猫をかぶる,恭喜痛亲王周冠！,7月24日 19:50  ,安徽
顾飞飞,来了,7月23日 20:03  ,上海
XI,算了吧 就這樣吧  我們就都這樣淡淡的放下了 錯過了 也就回不去了 平淡的生活中 還是會有小確幸 只是想起來時 撥不出電話 也聽不到你的聲音 我們不是失去了誰就活不下的 只是那會一直空空的,7月23日 18:35  ,澳大利亚
白熊,“妈妈的人生已经结束了，夏你什么时候开始成为我爸爸的人生呢？”,7月23日 10:56  ,四川
别离,跪求这个日剧里面的那个纯音乐叫什么名字啊,7月23日 04:27  ,江苏
Mize2,海的开始加bn，痛，太痛了...,7月23日 01:30  ,陕西
P,想生女儿,7月21日 22:31  ,浙江
線香花火,愿你一切顺利，每天都能绽放笑颜,7月21日 01:27  ,广东
阿烨,有了娃就知道海的开始的含金量了,7月20日 18:17  ,广东
送你一朵蓝玫瑰,太好听了,7月20日 09:39  ,天津
luna,还是这么痛🫰🏻,7月19日 08:48  ,浙江
芝士迷了鹿．,555！！！,7月18日 10:15  ,上海
ねこ,今年冬天提前了？？,7月17日 19:07  ,云南
一九久柒,太痛了(ᗒᗣᗕ)՞,7月17日 13:22  ,浙江
Ur,这个乐队也就内样，什么时候来中国开个演唱会让我看看实力（,7月17日 04:14  ,福建
adam,11月份的广岛场演唱会有一起的吗？,7月17日 00:49  ,广东
ve,小海一定要永远幸福,7月17日 00:35  ,四川
Seraphim★KJ,太痛了,7月17日 00:02  ,山东
扇扇🐳,是新歌！！！,7月16日 19:33  ,北京
Erland,海ちゃん的生日是7/15，今年7/15是日本的海の日，也是周一电视剧放送的日子。歌曲发售日都这么用心，依与吏さん值得获得大家的尊重和喜爱。,7月16日 18:52  ,上海
もやもやする,痛啊！,7月16日 18:03  ,河北
Ho..,冬天的风还是刮到了夏天,7月16日 15:17  ,广东
小动物饲育专家,没有听不哭的,7月16日 14:56  ,青海
🦄🎶🪸,痛，太痛了,7月16日 14:53  ,广东
刘卡车同学🚛,太痛了,7月16日 14:21  ,湖北
知椿,bgm响起来了开始想哭了,7月16日 10:52  ,浙江
Leogugu,痛起来兄弟们,7月16日 08:15  ,四川
Deidin2033,确实，我们俩也不是很合适,7月16日 08:00  ,四川
天下知秋,等好久了！太痛了最喜欢的乐队+我担主演的电视剧，王炸啊！,7月15日 23:05  ,浙江
星夜残響💫,好痛,7月15日 22:33  ,上海
鹤氅仙风飒，飘飖欲步虚,老天爷演的吧 怎么又戳中我,7月15日 22:15  ,四川
ㅤㅤ,好想去看演出，到底怎么才能去啊,7月15日 21:59  ,河南
Matsueki,痛 太痛了,7月15日 20:27  ,浙江
濉爿,你离开已经两年了啊 我什么时候才会想起你也不会流泪呢,7月15日 18:18  ,广东
州卿归,痛啊，真是太痛了,7月15日 17:40  ,河南
把第二给我吧,痛,7月15日 17:33  ,山东
CA,一年四季都听痛亲王，这辈子有了,7月15日 17:27  ,浙江
波莱罗,来痛了,7月15日 17:15  ,湖北
笑喷的河马🦛,来啦,7月15日 16:24  ,英国
C,这剧好看嘛亲们,7月15日 15:53  ,贵州
塩魚,太痛了太痛了，就喜欢这个🥹🥹,7月15日 15:43  ,广东
クぜん,好了 接下来就等冬天来了❄️,7月15日 15:32  ,广东
被稀释的硫酸盐°,炎热的夏天却是这么的冰冷,7月15日 15:27  ,日本
二茶,等好久,7月15日 15:22  ,新疆
supercell,来了来了,7月15日 14:43  ,上海
在平安夜砸破屋顶的流星与龙卷风,痛 好痛,7月15日 14:40  ,湖南
JayZ小明,终于来了，仿佛等了一个世纪，太痛了,7月15日 14:04  ,中国香港
🥞,歌曲的第一段，让我脑海马上出现对于南云离世一无所知而哭泣的夏君的画面，第二段让我看到夏君看着小海在海边奔跑联想到南云的画面，最后一段则是夏君和弥生牵着小海开启新的生活，放下过去。每一段所表达的感情不同，层次分明，歌曲太有感染力了，太痛了,7月15日 13:07  ,广东
木木木木森,新歌俺来啦,7月15日 12:46  ,海南
vv,听说这首歌是以父亲的视角描述的话语,7月15日 12:39  ,福建
钦儿,新歌，我听,7月15日 12:38  ,江苏
Sicnarf,开痛,7月15日 12:37  ,上海
vv,日推来的,7月15日 12:31  ,福建
Motoo,痛贯天灵,7月15日 12:27  ,江苏
终有一日再会,又痛上了,7月15日 12:26  ,江苏
咸鱼一只,电视剧结尾每次这歌一想起来，痛太痛了,7月15日 12:25  ,宁夏
。,痛,7月15日 12:18  ,福建
时差五月,又开始痛了,7月15日 12:07  ,广东
Tommy,为什么你非得要在bn出新歌的时候离开呢，我真的受不了啊,7月15日 12:00  ,福建
易祺君,不枉等了这么久，味儿太对了，这首歌再适合不过痛亲王了。如同叙事一般缓缓道来，忧伤遗憾与淡淡的幸福夹杂其间，瞬间把人情绪拉进回忆，心弦随之颤动。,7月15日 11:31  ,河南
Ending.,星奈牵着目黑莲和村花的手，一边开着bn和静雪编导给她装的车，狠狠地创哭我,7月15日 11:21  ,山东
多愁小王子,痛死了呜呜呜,7月15日 10:52  ,广东
Mulsanne,好痛 痛起来了,7月15日 10:34  ,山东
Twilight,冬天没结束还是冬天提前开始？,7月15日 10:20  ,湖北
‭‭,清水叔！,7月15日 10:13  ,广西
rika,痛,7月15日 10:10  ,北京
,来了来了,7月15日 09:56  ,安徽
叛逆猫熊,味太对了,7月15日 09:46  ,浙江
亚瑟白,就是喜欢这种痛的感觉,7月15日 09:45  ,澳大利亚
啊源,来了来了！,7月15日 09:38  ,上海
