Username,CommentContent,Time,Location
SSLZ,15岁tuki凭借这首晚餐歌，已经成为了当下日本最火的新创作型歌手之一了（很喜欢网友的一句话：“15岁的我在干什么呢?”,5月1日 15:00  ,广东
嗯,听了tws的崔英宰翻唱 就爱上了 特别好听,8月12日 15:52  ,河南
廖乐野,一切简单的琐碎都是爱的证明。我们更推崇简单的浪漫，更容易沉溺温柔的爱人，也更习惯追逐美好的生命——我们轻松行走时间的长河，不分昼夜，我们认真跋涉在爱的流洋。,4月7日 22:41  ,四川
Jef.,日本火得不要不要的，这里还很安静喔哈哈哈，留个痕迹,6月19日 23:14  ,广东
酒樱春时,15岁的才女tuki.酱​(熊光的Au发行的时候也15岁，我真tmd会看人，Ryujin也喜欢这首歌)​,5月1日 08:04  ,四川
🐺Chirstay,韩国的男朋友推荐给我的，来听啦，特别好听🤲,3月29日 13:50  ,江苏
ｌｏｓｔｏｎｅ,这个晩餐歌啊，能听30秒不收藏的都是神人了,5月7日 20:23  ,江苏
離,找到宝藏了,9月23日 23:30  ,上海
反感,无敌好听,9月23日 23:30  ,浙江
樘子💛,嘻嘻从imp播播间来嘟ღ(✞╹◡╹✞)ற,9月23日 15:58  ,山东
・ࡇ・,日本的超新星真的是一波接一波哇,9月23日 08:30  ,广东
反感,真好听吧,9月23日 00:51  ,浙江
SQY,🫶,9月17日 11:38  ,加拿大
雪风*昊-Reborn,真不错，词曲都很有感觉，单曲循环一下午+一晚上，上一次这样单曲循环的还是。。。yoasobi的たぶん,9月13日 23:30  ,上海
X,OMG,9月13日 07:24  ,上海
猿芝居,小孩姐，応援するわ📣,9月7日 20:31  ,日本
白猫,歌词好痛啊,9月2日 21:38  ,上海
被禁錮在夢中的我,渴望得到愛的存在證明,8月31日 00:20  ,福建
enjoyy,apple Music听到的,8月28日 11:36  ,黑龙江
yh.,循环循环循环,8月23日 19:56  ,辽宁
写不完作业的cheems,好听,8月23日 13:29  ,四川
🐟,哪怕历经数万个夜晚的煎熬 也依旧难以忘却 将那一句句我爱你细数罗列,8月18日 14:40  ,云南
;,我超，这首在国内怎么这么冷,8月16日 22:27  ,陕西
SHIROBAKO,好听的捏！,8月15日 15:34  ,广东
バカの守望者,官方真会整啊，你改之前不提醒一下，我记得早就收藏了，等我再查看居然没收藏，我要不查，这歌岂不是要听不到了,8月15日 13:47  ,河北
sr.kukary,英宰和tuki都很棒呢,8月13日 23:25  ,湖北
爆彈海膽.,会火的🔥,8月13日 08:21  ,辽宁
爱意似雾尽散.,歌词描述的是因为害怕无法给喜欢的人幸福，所以选择逃避这段感情，因为自己的不勇敢陷入忧伤的漩涡中。青春期的tuki将这种恋爱心情以料理来比喻随着歌词的层层推进。似乎也从原本对感情的不确定逐渐转为肯定。,8月12日 20:44  ,山东
嗯,听了tws的崔英宰翻唱 就爱上了 特别好听,8月12日 15:52  ,河南
hush！,其实和这首歌气质很搭的,8月11日 21:31  ,四川
hush！,温柔的唱出来就很适合,8月11日 21:30  ,四川
hush！,天才呀天才,8月11日 21:30  ,四川
hush！,感觉脑海会闪现很多动漫场景,8月11日 21:30  ,四川
hush！,越听越喜欢,8月11日 21:29  ,四川
hush！,疼痛又温暖,8月11日 21:29  ,四川
hush！,🥹🥹🥹听了一整天了,8月11日 21:28  ,四川
nikkiii,年,8月11日 02:34  ,广东
果粒橙子,真的好好听 声音太有感染力了～,8月10日 18:20  ,黑龙江
YAO,让我先爽,8月10日 17:55  ,四川
君。,别人的15岁，自作词作曲演唱歌曲流媒体播放破两亿,8月9日 15:07  ,江苏
有心論.,只有999+收藏离谱了点,8月7日 23:55  ,湖北
李金鱼,本以为是什么不知道的有名创作者唱的，没想到居然是个比我还小几岁的中学生，到底是什么样的人才能在15岁写出这样的歌啊！！！真的羡慕她的才华和能有支持她的父母,8月7日 22:50  ,河北
冰镇汽水,歌声像硬弹簧,8月7日 09:07  ,湖南
kdjlyy,有点像优里的感觉啊,8月6日 09:39  ,湖南
陈沐,不是这歌为什么不火？听了这么久才发现评论是99,8月6日 00:33  ,河南
╰格式化丶孤独︶￣,为什么在中国没火,8月4日 03:06  ,江苏
澪,雀氏好听捏,8月2日 09:22  ,山东
曜辰,这都是资本的力量啊（好在我趁免费的时候就下载了）,8月2日 02:48  ,四川
噗,好听,8月2日 00:52  ,广东
be,日本的音乐环境好呀，ado tuki  还有夜游的女主唱，都是高中起步的，好多高中的创作歌手呀,7月31日 02:52  ,广东
阿蒙的分身,火钳刘明,7月30日 01:18  ,北京
立牧,这评论数是认真的吗,7月29日 19:18  ,上海
さかな~,豪庭,7月28日 01:31  ,河南
陆小凤,日音里的大冰，一天不溜两遍的也是神人了,7月26日 19:54  ,湖北
X,听上去很新海诚风！太舒服了,7月25日 09:40  ,未知
法外狂徒张三,之前听到一直不知道是啥歌，终于找到了,7月25日 09:22  ,湖南
Yasmine,极好的,7月25日 00:48  ,广东
珑,感觉很像夜鹿的风格呢,7月24日 12:34  ,浙江
Bang🦖,OG们,7月24日 00:25  ,江苏
,肥沃的土壤才能孕育出枝繁叶茂的树，pop确实不如日本有活力，Jpop女歌手的演唱总是蕴含丰富浓厚的情感，感染力十足，越听越能被创作者演唱时的情绪所感染,7月22日 15:41  ,上海
,15岁创作の晚餐歌，才华藏都藏不住啊,7月22日 15:39  ,上海
雨川,偶尔推到，据说最近很火，码一下,7月22日 08:28  ,山西
Daniel,好听,7月21日 00:24  ,江苏
♀修易├轩♥,越听越能感受到这首歌的深度。,7月12日 13:26  ,广西
ししんえい,好带感的一首歌单曲循环,7月11日 23:38  ,上海
一,好听,7月7日 15:24  ,广东
再見ろ、旧時光,"这么火的歌,评论还没破百",7月4日 13:18  ,安徽
increaseΩ,听了yuku 的翻唱过来的好听,6月27日 00:38  ,广东
为什么我吃的那个黄桃很涩,听sui的翻唱喜欢上的～,6月24日 01:02  ,湖北
Hellosummer,听得爆哭,6月23日 17:27  ,广东
一自凪·長風·弗雷海特,经历了数十个百个千个的夜晚，也只是奢望。经历了数万个夜晚，从“奢望”变成了“难忘”盛宴，便是对应着幸福，“将那般美好的幸福献给我吧”那般美好的幸福，哪怕历经数万个夜晚也难以忘却,6月23日 03:05  ,中国香港
SnakeMirror,火得发紫,6月22日 17:33  ,浙江
Jef.,日本火得不要不要的，这里还很安静喔哈哈哈，留个痕迹,6月19日 23:14  ,广东
A.C.Yuan,和优里的合唱也好听,6月19日 05:27  ,北京
A.C.Yuan,入坑曲。好久没听到这么有感觉的歌了。,6月19日 05:27  ,北京
嘴遁少年,这嗓音的辨识度太高了，Aimer和suis的结合,6月16日 19:32  ,吉林
YORUICHI,好听,6月12日 06:43  ,日本
Chasing,明日之星,6月6日 22:54  ,广东
想吃心海的鱼子酱,１５歳の時の僕は何をするですが。っていうか、以前偶然この曲が聞いた時、あまり気にしていない、今振り返ってこの歌をちゃんと聞いたら、tukiちゃんはマジて天才たと思う,6月5日 01:00  ,福建
黑白冷色调,好开心,5月28日 22:13  ,湖北
蜡笔小鑫,豪庭,5月28日 00:23  ,北京
天蓝色的彼岸,听到哪个平台，哪个平台就加,5月19日 09:19  ,湖北
奇跡,天才少女TUKIsuki哒,5月18日 17:20  ,重庆
H,宝藏歌曲,5月17日 18:16  ,浙江
ｌｏｓｔｏｎｅ,这个晩餐歌啊，能听30秒不收藏的都是神人了,5月7日 20:23  ,江苏
黄靖,好听,5月6日 11:57  ,日本
小琴,我很喜欢这首《晩餐歌》。作为一个追求独立个性的人，这首歌的歌词深深触动了我。它表达了人与人之间的情感纠葛，充满了对爱的痛苦和迷茫。尽管歌曲流派是流行，但是它给我带来的情感却是深沉而平静的。无论时光如何流转，爱依然存在，它的存在不需要任何证明。这首歌有着美丽的旋律和令人回味的歌词，每次听都会勾起我心底深埋的柔软情感。收藏这首歌的人一定也有着敏锐的品味，和我一样被深深打动。🎶,5月6日 11:17  ,广东
SSLZ,15岁tuki凭借这首晚餐歌，已经成为了当下日本最火的新创作型歌手之一了（很喜欢网友的一句话：“15岁的我在干什么呢?”,5月1日 15:00  ,广东
酒樱春时,15岁的才女tuki.酱​(熊光的Au发行的时候也15岁，我真tmd会看人，Ryujin也喜欢这首歌)​,5月1日 08:04  ,四川
Ww,她才15岁？,4月29日 23:23  ,山西
Official霉女dism,后生可畏,4月29日 22:21  ,广东
。,上一版怎么下架了,4月26日 23:48  ,江西
jam.,很久之前就开始听了，之前QQ音乐还没有官方音源，恭喜每周15岁！,4月25日 10:46  ,安徽
夏天的网,这首歌在国外很火。,4月23日 12:33  ,吉林
.,金宰铉今天歌单 我和你一起听啦～,4月20日 19:44  ,广东
四言,才女！！！必须支持！！！真的好好听，还有很大空间，预定一个老粉丝的位置,4月20日 14:49  ,浙江
永( ◠‿◠ )井,流行るよ、この曲,4月20日 13:16  ,上海
12345,是正式版了么,4月10日 20:50  ,安徽
廖乐野,一切简单的琐碎都是爱的证明。我们更推崇简单的浪漫，更容易沉溺温柔的爱人，也更习惯追逐美好的生命——我们轻松行走时间的长河，不分昼夜，我们认真跋涉在爱的流洋。,4月7日 22:41  ,四川
haru,q音买版权了，不知道是不是国内首个tuki.的音源配信,4月6日 13:09  ,福建
新,芜湖,4月4日 22:04  ,江苏
ｌｏｓｔｏｎｅ,我能问问你能不下架了吗，我请问了,4月2日 22:04  ,北京
shiranai,好听捏,4月2日 18:05  ,广东
Dork,好棒！！很真情流露的歌词,3月31日 22:42  ,重庆
。。,这是……宝藏吗……,3月31日 14:10  ,河南
左韵,韩知城！听的歌怎么这么疼痛🚬,3月29日 14:30  ,上海
🐺Chirstay,韩国的男朋友推荐给我的，来听啦，特别好听🤲,3月29日 13:50  ,江苏
ピリ,从支撑ins过来听tuki的原版ww,3月29日 13:05  ,日本
ElvisFong,跟之前舊的對比了很多次，原來SQ跟HQ真的會不一樣 這新版樂器聲清晰很多,3月29日 02:06  ,中国澳门
时艺,啊,3月28日 23:23  ,广东
♂唐兴宗♂,正式版？,3月28日 18:42  ,江苏
フルカワユヅル,音质提升到SQ了,3月27日 23:05  ,福建
宣南心です,哈？,3月27日 22:57  ,湖南
南唐,？又重新发了一遍吗,3月27日 21:53  ,广东
金渐层烤猪,天才少女,3月27日 21:13  ,重庆
spark,兄弟别冲了啊,3月26日 21:17  ,河南
