Username,CommentContent,Time,Location
不吃秋刀鱼的猫,仔细地品了品，ado的版本感觉是我就是最强不容你反驳的强势而霸气，绿苹果这个版本给我一种任你质疑挑战而我自高山巍然的大气风范,5月23日 13:46  ,湖北
wendy,歌词真好，那个少年就是最强的,2022年11月9日 23:11  ,上海
嘉嘉쌈장,卧槽这个发布时间 这不得不让我有点怀疑 你们是不是也是,2022年11月17日 22:40  ,广西
retard,ado是原唱，但大森圆贵作词作曲，这首歌有浓浓的绿苹果乐队的味道，我第一次听ado版本的时候就觉得这首歌肯定跟大森圆贵有关系，结果一看还真是,2023年4月6日 18:22  ,四川
Yusan,看海贼王剧场版的时候，这首歌响起时，在心里一直在念“不是吧！不是吧！”，说出“私は最强”时，直接原地爆炸，什么都无法阻挡内心的激动！绿苹果最强！,2022年12月13日 23:56  ,新疆
Raisonpudding,狐狐猫就是最强的！,2022年11月13日 10:16  ,河南
無指の異星人,你们能共感吗？在公车上听着最后一段副歌听嗨了，“私は最強”的时候还只是口型跟着，结果“アナタと最強”的时候喉咙出声音了……………我选择没到目的地就下车……,2月8日 09:15  ,广东
CHARISMA,歌词和旋律到配乐都无敌了，果然还得是大森今期的无限循环,2022年12月4日 23:44  ,辽宁
白紙クロネコ,久等了，我要的就是大森的版本!,2022年11月8日 14:16  ,四川
南,梦中情曲我来辣！为绿苹果爆灯！！,2022年11月10日 15:45  ,湖南
Tyche,我是最强的  最后两个星期  加油！！！,2022年11月25日 14:35  ,贵州
llamber_,还得是大森,2022年11月9日 13:59  ,湖北
「战栗の吹雪」,还得是大森唱这歌的味儿正,2023年1月4日 23:11  ,陕西
CHARISMA,好好听这首yyds，已经循环中了,2022年11月25日 00:02  ,辽宁
1🍀0,这是猫猫2022最喜欢的歌！！,2022年12月29日 20:03  ,贵州
Koga！,有没有可能，歌词说的不是yyjx，说的是Uta,2023年1月8日 16:47  ,北京
烧排骨,我最强啊啊啊啊啊啊啊啊,9月3日 10:54  ,北京
万宝路,鳥肌が出る￼,8月21日 06:30  ,未知
难以置信啊,耶,8月15日 17:19  ,广东
おもりだいすき🥰,求问，怎么查大森给别的歌手写过的歌,8月13日 08:17  ,广东
おもりだいすき🥰,大森永远的神,8月13日 08:16  ,广东
别拿熊猫不当猫,从邦邦来的,8月6日 21:35  ,辽宁
仁徒美,mikasa:你强还是我强。,7月17日 07:43  ,河南
皮皮不皮,哎，时间真的快啊，《红发歌姬》都是前年的海贼王大电影了……,7月13日 22:03  ,四川
不吃秋刀鱼的猫,仔细地品了品，ado的版本感觉是我就是最强不容你反驳的强势而霸气，绿苹果这个版本给我一种任你质疑挑战而我自高山巍然的大气风范,5月23日 13:46  ,湖北
AERIAL,最强！,4月9日 21:14  ,新疆
从心开始丶,这个版本也好听耶，他是不是给炎炎消防队唱过op,3月28日 22:58  ,陕西
幾田りら,我承认大森元贵为最强,3月12日 11:29  ,河北
叁壹,加油！！,2月20日 07:22  ,山东
Plus,私は最強！！,2月10日 12:53  ,云南
無指の異星人,你们能共感吗？在公车上听着最后一段副歌听嗨了，“私は最強”的时候还只是口型跟着，结果“アナタと最強”的时候喉咙出声音了……………我选择没到目的地就下车……,2月8日 09:15  ,广东
Yuzuru Sophie🍯🍊,柚子最強,1月1日 08:41  ,四川
碧酱何弃疗,这个版本的也好好听！,2023年11月14日 14:38  ,北京
_听星星唱歌,啊！我才听到这个版本,2023年10月31日 11:18  ,广东
emile,太牛逼了，奔着这首歌入坑了,2023年9月29日 21:41  ,辽宁
硕ゆず,喜欢男版的,2023年9月13日 08:20  ,北京
硕ゆず,1111,2023年9月12日 08:05  ,北京
小琴,这首歌真的很棒！作为一个一直寻求独立自我的人，我深深地感受到了歌词中“私は最強”的意义，它给了我强大的动力。歌曲的节奏很好，很有活力，可以让人感到积极向上。特别是Mrs. GREEN APPLE的独特音乐风格，真是让人怦然心动。歌词很感人，尤其是“あなたしか持ってない その温もりで 私は最強”，让我想起了自己曾经得到的支持和爱。总之，这首歌是一首激励人心的摇滚歌曲。我相信收藏这首歌的人也一定是颇有品味的人。,2023年9月6日 23:34  ,广东
世界是如此的残酷又如此的美丽,大森元贵，我滴神！虽然ado唱的也很好，但还是作曲人自己唱最有感觉！诸位不觉得大森老师燃到爆的曲子由自己唱更是如虎添翼吗？,2023年8月11日 16:27  ,四川
Emiya.,大森老师，你就是最强的。,2023年8月9日 03:13  ,北京
轻舞飞扬,好耶，我是第114个,2023年6月22日 10:26  ,四川
阿部君が好きだ🏳️‍🌈,好听！！！！,2023年6月11日 10:45  ,江苏
兔子,好听,2023年4月24日 14:39  ,江苏
😘,一开口,2023年4月11日 19:26  ,广东
retard,ado是原唱，但大森圆贵作词作曲，这首歌有浓浓的绿苹果乐队的味道，我第一次听ado版本的时候就觉得这首歌肯定跟大森圆贵有关系，结果一看还真是,2023年4月6日 18:22  ,四川
孤心意寒话悲凉,他和ado到底是谁原唱啊,2023年4月5日 22:15  ,黑龙江
July,这份张狂感觉还是大森对味,2023年4月4日 15:50  ,山东
🧊明哲🍯,这个版本zuzu应该会喜欢,2023年3月27日 04:59  ,吉林
后会有七,2：43尾音大森我吹爆！！！,2023年3月12日 23:54  ,湖南
晴羽🍏,好听诶,2023年3月7日 08:30  ,上海
Stella。,在电影院听这歌就感觉这味儿怎么如此熟悉,2023年2月19日 20:08  ,浙江
Stella。,有内味儿了,2023年2月19日 20:07  ,浙江
JYchan_andy,还是原唱有感觉,2023年2月12日 03:48  ,广东
🌐,在冰上我就是王者,2023年2月8日 15:17  ,江苏
silent,ohhhhh好听！,2023年1月25日 18:13  ,上海
一份猪排饭,他这风格太好认了，一听就知道是大森做的曲子,2023年1月18日 05:06  ,河北
布恩,元贵的高音真的yyds，自己写的高音自己来唱就有一种榫卯结合的爽感；ado则是配合电影情节唱得非常有自信（女王？但有点不合适），舍我其谁，非常有力量，不用武力，歌声足以让场上的一切臣服。,2023年1月17日 14:01  ,四川
最近在喝粥,Self cover原来也有音源！！！速速加入歌单了,2023年1月16日 12:52  ,广东
Koga！,有没有可能，歌词说的不是yyjx，说的是Uta,2023年1月8日 16:47  ,北京
「战栗の吹雪」,还得是大森唱这歌的味儿正,2023年1月4日 23:11  ,陕西
永远爱こじはる的货❤,不喜欢ado的，还是Mrs. GREEN APPLE的好。,2022年12月31日 21:02  ,湖南
1🍀0,这是猫猫2022最喜欢的歌！！,2022年12月29日 20:03  ,贵州
🐻💤,每天听完力量加倍啊,2022年12月28日 10:44  ,广东
花生蛋蛋酱,这版更对味儿，比ado要疯骚一点,2022年12月26日 14:42  ,四川
theairdoggie,大森唱的感觉果然最喜欢🥲,2022年12月23日 11:05  ,上海
Iris Q. 倩瑶,制作人自己唱是另一种热血的感觉！他估计也是热身时常在循环吧🫢,2022年12月22日 07:05  ,上海
龙龍,这才对嘛!,2022年12月20日 18:17  ,广东
🐸12510🐱,看完red回来的，自己的歌唱起来还是更有感觉啊！,2022年12月19日 14:16  ,广东
欢乐马,GOOD,2022年12月18日 20:37  ,辽宁
欢乐马,GOOD,2022年12月18日 20:37  ,辽宁
노자린🫧,yuzu永远是最强的！！✨✨💫✨✨（某人最爱用的小符号～）,2022年12月17日 10:42  ,上海
小樱桃,牛牛是最强的！,2022年12月15日 19:13  ,广东
饺子,猫猫最强！！猫猫永远第一！,2022年12月14日 22:11  ,安徽
Yusan,看海贼王剧场版的时候，这首歌响起时，在心里一直在念“不是吧！不是吧！”，说出“私は最强”时，直接原地爆炸，什么都无法阻挡内心的激动！绿苹果最强！,2022年12月13日 23:56  ,新疆
amelie,这个歌词，很可以！,2022年12月12日 10:27  ,福建
牙膏人,袜袜，我听到了大森伪音欸,2022年12月11日 09:22  ,四川
ピエロ,太对了太对了！,2022年12月9日 21:39  ,上海
freelv,最强的,2022年12月6日 20:53  ,陕西
CHARISMA,歌词和旋律到配乐都无敌了，果然还得是大森今期的无限循环,2022年12月4日 23:44  ,辽宁
20%🍃,哇...感觉活动休止一年后大森的唱法都变了写歌还是以前那个味,2022年12月4日 22:12  ,山东
常在我心,很好听,2022年12月4日 00:45  ,安徽
L,海贼王red来的,2022年12月3日 16:13  ,重庆
ぱせこ,ミセスがさいきょおおお,2022年12月1日 12:18  ,广东
Tyche,我是最强的  最后两个星期  加油！！！,2022年11月25日 14:35  ,贵州
CHARISMA,好好听这首yyds，已经循环中了,2022年11月25日 00:02  ,辽宁
盐盐盐,这个是 自己唱自己是吧,2022年11月23日 21:16  ,重庆
阿纳海姆电子公司职员,味对了,2022年11月22日 17:14  ,河北
1🍀0,猫猫是最强的！！！,2022年11月22日 00:05  ,贵州
老巷旧酒,好稳，不愧是大森,2022年11月21日 15:20  ,浙江
ADP＋pi,好听是真好听，中二是真中二,2022年11月20日 08:17  ,上海
rupoo,哇塞！,2022年11月18日 22:54  ,广西
嘉嘉쌈장,卧槽这个发布时间 这不得不让我有点怀疑 你们是不是也是,2022年11月17日 22:40  ,广西
茉莉,对，Yu最强,2022年11月17日 21:29  ,广东
乌托邦的爱恋,日推嘿嘿,2022年11月17日 13:44  ,福建
Joyce77,猫猫最强,2022年11月17日 08:58  ,天津
1🍀0,哈哈哈,2022年11月16日 21:31  ,贵州
Raisonpudding,狐狐猫就是最强的！,2022年11月13日 10:16  ,河南
🦄🎶🪸,还得是绿苹果！,2022年11月12日 00:05  ,广东
bravesharon,是他！是他！！,2022年11月11日 14:12  ,江苏
May,大森元贵,2022年11月11日 10:28  ,黑龙江
木水秋南,刚刚期中考砸了，但是谢谢大青苹果的新歌，继续加油！！！,2022年11月10日 21:54  ,江苏
南,梦中情曲我来辣！为绿苹果爆灯！！,2022年11月10日 15:45  ,湖南
南,果然是大森！声音太有辨识度了！！！我直接爱爆！,2022年11月10日 15:36  ,湖南
0,“你就是最强的！”，我们会一直都在你身后,2022年11月10日 07:02  ,四川
wendy,歌词真好，那个少年就是最强的,2022年11月9日 23:11  ,上海
llamber_,还得是大森,2022年11月9日 13:59  ,湖北
六六六六六大大,来了来了！是那味了~,2022年11月9日 12:23  ,日本
深夜中,莫法,2022年11月9日 10:05  ,四川
就是爱音乐,待ってました❗️,2022年11月8日 23:46  ,吉林
orange🍊,终于等到你！,2022年11月8日 19:03  ,重庆
白紙クロネコ,久等了，我要的就是大森的版本!,2022年11月8日 14:16  ,四川
暗影様,快乐快乐,2022年11月8日 12:46  ,广东
Royeee🦋,还得大森！,2022年11月8日 12:35  ,湖北
舟灵,ye,2022年11月8日 10:43  ,山东
金棉棉,是那味了,2022年11月8日 10:42  ,上海
_莫动朕的小饼干,哇 来了！,2022年11月8日 10:07  ,上海
bilibili无限矿业集团,还要是你大森,2022年11月8日 09:12  ,陕西
冯茜,さいきょう Saikyou,2022年11月8日 08:23  ,云南
白河夜船,Summer Sonic听到现场版之后期待到现在！,2022年11月8日 01:30  ,广东
MR.children,本人来唱，更对味了,2022年11月8日 01:19  ,广东
💫,我来啦,2022年11月8日 00:48  ,北京
🍀,果然這首歌還是得青蘋果來！！,2022年11月8日 00:46  ,上海
ゞ①成ㄨ卟變,motoki,2022年11月8日 00:02  ,海南
Marguerite,还是大森本人对味,2022年11月7日 23:42  ,湖南
uu,我来了！！！好耶！,2022年11月7日 23:27  ,山东
藻睡早七,哼哼哼啊啊啊啊新歌啊,2022年11月7日 23:23  ,宁夏
紫川,哈哈新歌我来啦,2022年11月7日 23:16  ,上海
