Username,CommentContent,Time,Location
momo,日向坂46 12th 絶対的第六感1列目 加藤史帆 *正源司陽子 *藤嶌果歩 小坂菜緒,8月16日 02:08  ,广东
11,源宝 听了两遍 six sense的日式英语有点洗脑了,8月16日 08:09  ,上海
🐑,旋律就一整个one choice 3.0 但这日式英语还挺洗脑,8月16日 00:14  ,中国香港
就是爱音乐,寶,8月31日 21:25  ,辽宁
就是爱音乐,听惹想danc,8月30日 23:57  ,辽宁
布丁,mv青春感爆棚,8月20日 19:15  ,湖北
皓浩,终于没有到这么wow节奏感快又好听,8月20日 10:43  ,广东
川,不错很好听 mv也不错,8月20日 01:22  ,安徽
欅树上樱花开,秃宝没进选拔意难平,8月18日 07:24  ,广东
欅树上樱花开,挺好听的，比前几单更有意思,8月18日 07:22  ,广东
小废柴收集者,好,8月17日 20:39  ,宁夏
朱国宁,我挺喜欢的，个人认为优于哈哈哈，期待舞蹈，期待mv，期待小蓝蓝上行！,8月16日 20:12  ,未知
Angel、吥恠,哟西,8月16日 19:57  ,日本
彼得柯克兰求你们不要内卷,前面的鼓点好抓耳,8月16日 16:44  ,广东
Sakura,我来啦,8月16日 16:37  ,四川
Yuipon,好听的,8月16日 15:42  ,四川
xxxx,来了,8月16日 12:58  ,山东
Miku Kanemura,好洗脑,8月16日 11:28  ,山东
上行乃木坂46,这首歌真的很好听呀，治愈系的存在。期待好久了呀！,8月16日 08:46  ,四川
上行乃木坂46,12单的这么的可爱和温柔，仿佛看到了当年那个夏天的样子呢，爱死了！,8月16日 08:42  ,四川
察觉时已是坂道DD,源神表现真的非常好，真的棒。期待这单的所有作品！,8月16日 08:39  ,四川
察觉时已是坂道DD,真的可爱又好听的歌呀，爱了,8月16日 08:20  ,四川
11,源宝 听了两遍 six sense的日式英语有点洗脑了,8月16日 08:09  ,上海
你为什么这么屑啊,恭喜狗子连c，恭喜果果初c，这单的风格我个人还蛮喜欢的，期待mv和舞台初披露,8月16日 03:55  ,四川
momo,日向坂46 12th 絶対的第六感1列目 加藤史帆 *正源司陽子 *藤嶌果歩 小坂菜緒,8月16日 02:08  ,广东
梅川酷子,我超，○！,8月16日 00:30  ,湖南
🐑,旋律就一整个one choice 3.0 但这日式英语还挺洗脑,8月16日 00:14  ,中国香港
Ito,来叻(>^ω^<),8月16日 00:13  ,广东
临糖少加冰,新歌,8月16日 00:06  ,广西
