Username,CommentContent,Time,Location
奥古斯特·图图,山梨县的一个公园里三个日本青年给我们四个中国人弹唱的这首歌，听完后我们给了掌声而他们也鞠躬致谢，世界人民大团结万岁,8月4日 12:28  ,江苏
Hydrangea.,最近天气总算是开始热起来了，又到了该听夏亲王的季节了。,6月19日 12:46  ,辽宁
pnnn9_tnnn9,这首歌开头的吉他每次听都觉得像喊醒夏日的蝉鸣,8月7日 16:10  ,未知
BIBLEWINTER.,☃️推荐的 所以来啦 好夏天的一首歌,7月13日 19:05  ,重庆
.,很好那小子成功的让我喜欢上了这首歌,7月13日 23:56  ,浙江
⁢,当前日本高中生中最流行的歌,2020年10月2日 19:18,暂无数据
Rowleton,这首歌真的从前奏开始时，中学时代在夏天的树荫下跑步的画面就从我脑海里迸发出来了，通感率100%,2020年11月8日 23:32,暂无数据
Anemone.,我会有“这不就是我想要的青春的感觉么”这种心情,2019年3月2日 22:36,暂无数据
swift,爱情就好比是椰风的饮料，挡是挡不住的；爱情就像是温暖的阳光，不管你躲进什么地方，温暖总会在你身边；爱情就像你身上的一道疤，不管你如何去诊治修复，那永远是一个抹不掉的痛；爱情就像是身边的氧气，天涯海角，你都会需要它。你还记得那个少年吗？那个浑身热血，为爱情奋不顾身的少年吗？即使他知道这段爱情不会永久，仍然选择继续，因为，至少这一刻他是爱她的!,2022年12月26日 18:55  ,河南
某某墨,每个夏天必定回榜的好歌～,2023年6月6日 08:44  ,江苏
♂唐兴宗♂,好家伙，B榜待了四年，我每周看的，依旧在前50的神曲，评论数竟然是这样？现在的孩子知道什么歌好听嘛,3月1日 16:21  ,江苏
摸天摸地🐳,被樱花推荐来听，果然好好听,2022年8月30日 20:52  ,江苏
世紀末の平安夜,🎧back number「冬と春」→Mrs. GREEN APPLE 「青と夏」🎧太妙了！,1月27日 19:07  ,江苏
Jonmes,QQ音乐居然每首Mrs.Green Apple的歌都能有罗马音 棒,2019年5月12日 12:01,暂无数据
zzze,有点五月天的味道。。,2020年7月10日 08:18,暂无数据
不是不然,夏天结束了才开始听夏天的歌,2021年9月1日 10:35,暂无数据
是雯不是蚊,有种回到高中时期的感觉。青涩，充满活力。😄,2020年10月3日 22:44,暂无数据
浅戏空城,渡边翔太在音乐节目里唱，来听听翻唱度如何。评论区竟然看到芬达也有翻跳，赶紧去看看,2023年4月15日 22:05  ,江苏
艾斯帕,这首歌只要在太阳的照耀下都能够发挥出它极致的魅力 不管哪个季节,2023年10月22日 13:10  ,四川
