Username,CommentContent,Time,Location
米苏ღ.,在这里真心建议所有男生女生，千万不要看见别人发光，就觉得自己暗淡！他强任他强，清风拂山岗。人是孤独的，我们追寻的爱，亲密，缠绵都终将离我们而去，即使再亲密的关系，再靠近的距离，很多事都是要一个人面对，生活中人和人的节奏不一样！有人三分钟泡面，有人三小时煲汤。你选择了你要的方式就坚定走下去，别胡思乱想！每个人的花期不一样，不必焦虑，有人比你提前拥有了。所以呢，别碰到一点压力，就把自己变成不堪重负的样子！成功之前，你这辈子该走的弯路，该吃的苦，该撞的南墙，該掉的陷阱，一个都少不了！考差了可以再努力，钱没了可以再挣，工作没了可以再找，朋友没了可以再交，爱情没了可以再遇！人生本来就一无所有_,8月25日 00:13  ,广东
米苏ღ.,希望被指到的人永远幸福,8月25日 08:49  ,广东
星空,还翻什么啊，咱父母必须长命百岁啊！！！,8月27日 22:35  ,广东
米苏ღ.,《骆驼祥子》里有一段话： “这世间的真话本就不多，一个女子的脸红，胜过一大段对白。” 可后来有了胭脂， 便分不清是真情还是假意。小时候不懂，为什么一根绳子，可以拴住一头牛，让其在田间辛勤劳作一生！现如今，我知道一把无形的枷锁，把自己困在这一日三餐之间。原来牛和我都有着各自的致命弱点，牛的鼻子太软、怕痛！我的人生太短、怕穷！牛的一辈子，只是为了青草！而我用尽了一生，只图个温饱！空有人间自由身，却非人间自由人！看似自由自在，实则身不由己! 收起,8月25日 00:16  ,广东
米苏ღ.,___分享给你一段话：年轻时的你，迷茫又着急。你想要房子，你想要车子，你想要旅行，你想要高品质的生活。你那么年轻，却要窥视整个世界。你那么浮躁，却想要看透生活。你不断催促自己赶快成长，却沉不下心来认真读一篇文章。你一次次吹响前进的号角，却只是倒在离出发不远的地方。请坚韧一些 年轻的朋友 勇敢的前行。,8月25日 00:20  ,广东
瓊,不要慌不要慌，太阳下山有月光，泡面吃完还有汤。不要过于焦虑与着急，即使身在黑处，抬头也可以见星空，天总会亮。如果事与违愿，你相信一定另有安排，任何事情都会在最后变得更好，你总会遇到那束光，或早，或晚,6月4日 06:50  ,山西
佚名,不要慌不要慌，太阳下山有月光，不要忙不要忙，月亮下山有朝阳。筷子喝不了汤，勺子吃不了面，把自己照顾好，也是一种收获！！,8月24日 11:39  ,内蒙古
星空,不必太纠结于当下，也不必太忧虑未来，当你经历一些事情以后，眼前的风景已经和从前不一样了，人生没有无用的经历，只要一直往前走，天总会亮。,8月27日 22:54  ,广东
沫汐《记得微笑》,不要迷茫，不要慌张，别想太多，好好生活，太阳下山有月光！,6月8日 18:53  ,四川
,一边内耗，一边自愈，  一会想开了， 一会想不开 ； 整个人都是矛盾的， 谁能理解这种痛苦,8月28日 23:19  ,浙江
,今年就上岸！明年就入职！为人民服务！,6月18日 00:22  ,山东
米苏ღ.,不要迷茫 不要慌张太阳下山 还有月光它会把人生路照亮陪你到想去的地方不要彷徨 不要沮丧月亮睡了 还有朝阳抬头看天一定会亮爱的人会如愿陪在你身旁,8月25日 00:18  ,广东
海朝云,等这首歌火了我要做第一批听的人,6月5日 00:13  ,广西
闻风起,你太想要一个结果了，所以你不快乐，你只是浇了一次水，就希望这朵花永远为你开，这是不现实的。这个世界，爱而不得的人了太多了，你要学会去放下，去释怀。如果事与愿违，一定是老天另有安排。,8月24日 22:53  ,福建
🌟宗霖OPPA🥳🥳🥳🥳🥳🥳,抑郁症患者的第五年了。听了太阳下山还有月光忍不住又哭了。听评论区说吃完泡面还有汤忍不住笑了。感觉想通了些什么东西了，我要放下抑郁焦虑继续往前走莫回头,9月2日 14:12  ,北京
满地山羊我屎最圆,加油,10:58  ,安徽
给我🍉就行,太阳下山还有月光！！！,10:53  ,山东
畅想希望,偶尔听到这首歌，却被他的曲和歌词吸引。人呀！活着太累了，苦自己知道。夜深人静的时候，自己抱抱自己，第二天还得继续前行！这首歌太治愈我们受伤的心,10:13  ,辽宁
明,唱歌的人嗓子里卡痰了吗，这声音真难受听着,09:49  ,河南
清泠,这首歌让我浮躁焦虑的心突然的平静下来了，有安抚心灵的力量。时间会抚平一切，时间也会带给我们很多，友情，爱情，一切的一切，都会随着时间流逝而到来，所以我打算活更好的自己，等相遇，等相逢……,09:10  ,四川
涵涵,这首歌适合送给秋招的我,02:27  ,陕西
时间是解药,加油打工人💪('ω'💪),01:06  ,广东
鑫幼,现在这些网络歌曲的歌词真是不好说，这个不就是和《如果月亮还没来》的歌词大相径庭吗？8090听经典长大的，这个词确实看不上,00:07  ,四川
大雄,愿我所爱之人，余生平安喜乐,9月29日 23:46  ,浙江
BGC,留个赞呗,9月29日 23:02  ,北京
婧刈,人总是喜欢反季的东西 就像幸福后知后觉.,9月29日 22:22  ,未知
婧刈,我喜欢你如果你也能够感应.,9月29日 22:22  ,未知
婧刈,我喜欢你如果你也能够感应.,9月29日 21:26  ,未知
甜心👑,01:15,9月29日 20:58  ,江苏
无心i,Na念你一生一世,9月29日 20:39  ,湖北
楠@rise,人生就该如此豁达,9月29日 18:55  ,浙江
刺电击熊猫,现在的歌总有一种熟悉的感觉，当然这感觉也不是凭空而来，确实和其他的歌很像,9月29日 18:32  ,河南
