Username,CommentContent,Time,Location
米苏ღ.,希望被指到的人要永远幸福,8月25日 19:51  ,广东
星空,还翻什么啊，咱父母必须长命百岁啊！！！,9月10日 22:11  ,广东
Luck.,我一定挣好多好的钱，以此给我的青春道个歉！,8月23日 11:07  ,江西
小狗也会有烦恼,幸福的时候会词穷   痛苦的时候千言万语,8月23日 07:45  ,广东
九三,真的，听了这么久歌了第一次听见了一个真正感同身受的歌曲，和我女朋友一起远离家乡打工，刚开始工作难找，为了省钱天天吃泡面，一份外卖两个人吃，她始终特别相信我坚信我，由于没有文凭找的工作都不是很如意，赚的经不住花的，每一个月工资发下来交了房租去掉生活几乎没有了七夕也没有送她一个像样的礼物但是她也没有怪我，目前我和她都处于失业状态，还欠了一点钱，今天刚准备换一个城市发展，正巧发现了这一首歌给了我很多力量，我相信我一定会不负众望的！给她更好的生活。不负众望！不负众爱！,8月24日 07:05  ,重庆
米苏ღ.,“人一旦幸福起来 就不会频繁的更新社交软件”,8月25日 19:50  ,广东
段老大,事在人为 不是无缘 是不愿,8月24日 11:40  ,河北
.,总会有一个人告诉你 你的开心比对错重要,8月14日 23:49  ,山东
风车车,一定会火的 希望大家会找到人生中返航的灯塔、平安上岸,8月23日 02:40  ,广东
廖兮,其实我并没有被家里养的很好 我是一个不被爱的小孩 所以我敏感 阴暗 自卑 家庭带来的伤害 让我经常情绪失控 后来他们好似弥补我 我也确实感受到了爱 可少时带来的伤害 我这辈子都无法原谅 忘记 后来我自己有了能力赚钱 我开始富养我自己 可我发现也无法抹平我曾经的伤痛,8月24日 18:41  ,辽宁
ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ,这条路没有最佳观众 我永远是我自己。,8月17日 16:34  ,广东
07,时间是一把尺子，量人，量心，量距离。岁月是一面镜子，照己，照人，照过往。人心是一杆秤，称轻、称重、称真情。,8月24日 06:36  ,浙江
八  九,像我这样破破碎碎的人，爱我的人还要一片一片的捡起来爱我，太辛苦了，放下所有执念，我还有万里路要行，敬这人间的风，敬那未完成的梦！,8月25日 23:06  ,浙江
言琰.,幸福没有公式 知足便是恩赐,8月24日 12:28  ,陕西
邯郸徐志摩.,成功的人不是没有原因的，只有自己不断学习，用别人业务的时间壮大自己的知识储备或者完善自己的不足一定会成功。,8月24日 01:38  ,河南
片刻恋人.,我找不到形容词来形容我的无能为力,8月23日 03:33  ,广东
两只,等一片海接纳我的眼泪 等一个人 完全爱上我的破碎,8月25日 05:32  ,湖南
0705.,人都是忘本的 当你得到之后 就会忘了当初踮起脚看窗外的她的感觉,8月23日 01:51  ,云南
硬 撑.,人是被推着长大的 我以前从未想过用任何东西来衡量爱。,8月25日 19:38  ,甘肃
晚晚,只是上個班 打個工 掙點錢而已 不要在意太多 上班就好好乾活 對得起自己的良心 累了就休息一下 工作千千萬總也乾不完 有人背後說你也好 誇你也罷 都不要太較真 時刻提醒自己:你雖然只是社會里的一塊磚 但在家卻是半邊天,8月25日 14:04  ,广东
🐖🐖🐖,有没有觉得不好听的,10:40  ,湖南
Aaron,声音有点像买辣椒也用券,10:11  ,广东
扛着手机偷WIFIcium,好听,08:29  ,上海
咸鱼咸鱼，我是酸菜🤨🤪?,帅启帅，留笔：一如既往，,03:19  ,重庆
🍃,没有酒精的麻醉，孤独的夜晚怎么入眠……,01:30  ,新疆
糖昭妍,后来没有联系了，,01:22  ,重庆
Z Y,但愿我可以,00:53  ,陕西
♞＇余生☆,我是一个很好的人，只是没有碰到一个很好的人。,00:18  ,重庆
浮云,加油，这么好的女朋友，不要负她，尽己力，做最好就行，也不要给自己太多精神压力。但要真的努力到问心无愧。祝你们日子越来越好。,9月29日 22:31  ,菲律宾
Richard,接,9月29日 22:04  ,广东
-风亦有归途-,即便如贩夫走卒，引壶卖浆之辈，如果有的选，谁愿意如此,9月29日 21:29  ,河南
乌噶森,三年后回来还愿,9月29日 21:16  ,山东
🖤 ゛L,加油 一起努力的人们,9月29日 20:43  ,河北
余温.,我希望这首歌会火，家人们,9月29日 20:21  ,河南
ᝰꫛꪮꪮꫜ🌙,,9月29日 18:09  ,海南
原谅不美好,新周期，孙颖莎，王楚钦健康涨球，快乐生活，洛杉矶如愿,9月29日 16:35  ,陕西
红尘,谢谢咯,9月29日 15:02  ,山东
ihfgx,,9月29日 15:01  ,广东
想念ta,啊啊啊啊啊啊啊啊啊啊啊啊,9月29日 14:51  ,山东
阿ν,从凡人歌，那隽过来的,9月29日 11:31  ,广东
阿ν,我一定会赚大钱,9月29日 11:30  ,广东
啵啵,05居然喜欢上了,9月29日 09:59  ,广东
有个愿.,累,9月29日 08:37  ,山东
眾意妳,好听,9月29日 08:19  ,浙江
霞舞飞扬,好久没能有这般直击灵魂的歌了！,9月29日 04:42  ,广东
王上加白,好听,9月29日 04:19  ,甘肃
佳佳,女孩子真的会默默放弃对方吗？,9月29日 00:48  ,广东
偶尔会犯困,好听噢,9月29日 00:47  ,河南
佳佳,各位一定要出人头地啊！,9月29日 00:25  ,广东
冰冷陈少OvO,找一天了终于找到了,9月28日 23:41  ,未知
rachel shen,很好听,9月28日 23:14  ,上海
Frigg,2024.9.28，爱莎宝钦哥的stp评论区报到,9月28日 22:52  ,四川
