Username,CommentContent,Time,Location
月亮很圆,西格玛男人独特的浪漫，开播十分只为她，龙王cp永远的爱,5月13日 21:19  ,重庆
🌌ウルトラマン🌌,水不在深，有龙则灵！龙王出征，你我必磕！,5月17日 23:25  ,海南
Only,有多少是从抖音，小黄花跟小太阳那里过来的。赞一个,6月2日 00:57  ,四川
海里的猫,合理小姐是凑巧先生独一无二的女主角 祝福你们,5月27日 04:51  ,新加坡
花小洋,合理小姐是凑巧先生独一无二的女主角,6月7日 16:24  ,四川
曹真铭,蜀山剑起，南诏雪落，情牵三世，不离不弃。徐长卿和紫萱，我的古早BE CP“杀我别用仙剑刀！”。张芸京婉转且充满爆发力的旋律嘶喊着最意难平的青春。大多数人之所以在暧昧或者恋爱初期就走到巅峰，无非因为新鲜感和荷尔蒙。但真正的爱是你只需要做你自己，你可以用你的方式来爱我。而我之所以偏爱你，是我对你真的很了解，爱你真的很值得。像韩炳哲在《爱欲之死》说的“去发现爱人的存在”。夜晚来临，月亮升起，我又成为了寂静夜空中随处可见的星星，普通但也努力着，但今夜好像有所不同，我觉得我格外闪耀：原来是你在看星星，你的爱让我更加优秀，但其实我本就不普通，欢迎来主页听我的歌曲，谢谢你的偏爱，让这一切都值得。,9月20日 15:47  ,江苏
知非,一代人的回忆，救世英雄景天，古灵精怪雪见，白豆腐徐长卿，痴情不悔紫萱，可爱憨厚茂茂，善良哥控龙葵。。。每个鲜活的人物，将永远成为我们的记忆，无法超越！,2017年3月19日 23:36,暂无数据
羽上轩,好多年前的老歌了 又重新火起来了，每次听到这首歌总能想到年少时候守在电视机看仙剑奇侠传的日子。张芸京的音色真的太适合这首歌了！干净 清亮 但是也有力量！就像这首歌的主题偏爱一样。长大之后慢慢也才懂得什么是偏爱…我也是一个创作者，也曾经历过偏爱的时刻，只不过那份偏爱不是给我。所以写了《玄妙关系》这首歌，你有没有遇到过一个满眼喜欢的男生/女生，但是ta的偏爱却是对另一人呢？,1月9日 19:53  ,四川
Trisow,仙剑陪伴了我的童年，给了我无数的美好记忆，每当想起总会记得去听听这几首歌，美好的场景在脑海徘徊，久久不能样去，几滴泪水就自然的留下来了！如今的我十七了，却还是忘不了那柄仙剑呀🍸🍸,2016年7月30日 20:49,暂无数据
屠龙少女🐣,轮回三世，只为能和徐长卿长相厮守的紫萱；无情无欲，却每一世都会爱上紫萱的徐长卿；守候千年，只为能和哥哥一起看一次亲手种向日葵的龙葵；憨傻蠢萌，刮肉来换食物的茂茂；原本不是人，天定良缘却还是爱上了景天的雪见；吊儿郎当，想当永安当老板却走上了救世英雄这条路，一点点在成长，有着自己执念的景天……,2017年3月22日 19:06,暂无数据
李一桐,第一世，懵懂的初恋，留芳会等十四岁的少女紫萱长大，和她一起私奔跳崖。第二世，他会去酒馆见她，为她挡酒，会在众人的反对下，丢下弟子，娶她为妻，后来，也会为她挡下致命的剑。第三世，答应你不再爱你，却还没答应我自己。我想这就是留芳对紫萱偏爱吧。,2021年2月24日 19:07,暂无数据
皮蛋瘦肉没有粥,曾经的景天已变梅长苏，曾经的雪见已身为人母，曾经的徐长卿也变成了白子画，曾经的紫萱还被吐槽着演技并与各种男神搭戏，曾经的龙葵也嫁给了四爷，曾经的蜀山也变成了长流山，曾经的我们却，还在这里。,2017年3月7日 13:12,暂无数据
等你很久了.,冒昧问一下 偏爱是什么感觉.,2020年7月19日 21:54,暂无数据
