Username,CommentContent,Time,Location
星空,点赞有特效（刀郎回归）,7月1日 10:26  ,广东
米苏ღ.,点赞有特效Q 音你有版权的样子真帅！,7月1日 10:11  ,广东
米苏ღ.,刀郎语录：一开始媒体对我有误会，好像我是在故意炒作……我从开始就不愿意面对媒体，我不是一个娱乐性的歌手，或者要成为一个什么人……我特别喜欢音乐，我是把音乐当作我的梦来实现。大家能不能记得这个人和保持多少人气对我来说不是很重要。 我希望我的作品被人们广泛知道，但不希望我这人被知道。,7月1日 10:07  ,广东
星空,刀郎的两首歌西海情歌冲动的惩罚每次听这两首歌真是太令人撕心裂肺了，好听！,7月1日 10:49  ,广东
星空,年少不知曲中意，再闻已是曲中人，当年听这首歌的人现在过得怎么样了？,7月1日 11:07  ,未知
忙现实,21世纪最可惜的内地歌手，刀郎，因为是内地人没人包装没人捧，英皇老板说的,2016年10月26日 03:44,暂无数据
天马行空,刀郎带来了一个时代，一段岁月，一段人生。没有刀郎，没有深情感受刀郎的歌声，那么我们的岁月就显得苍白。,2017年2月6日 06:12,暂无数据
阿梅,冲动的惩罚，冲动真的是惩罚吗？这歌太伤感了，太好听了！这是我十几年前就喜欢的歌,2017年2月23日 09:08,暂无数据
糯米团子🍡,我从小到大都听他的歌，尽管跟我的年龄不符，我就是喜欢听，我任性,2017年2月9日 14:12,暂无数据
▲______。L%愛J……,第一次听见这首歌是在公司的宿舍里，上铺，兴奋的差点从床上掉下来，跑到走廊上趴着栏杆上，听了从二楼传来的这首歌，我们是三楼女生，二楼是男生，那天下午休息，我听了一下午，那天天气特别适合听这首歌，我记得流泪了,2017年2月25日 23:55,暂无数据
鹏,刀郎，你的这首歌在小时候当初传唱，说真的，现在长大了，觉得你很了不起。,2017年1月9日 12:49,暂无数据
এ᭄ℳ初遇°ꦿ,还记得这首歌，大街小巷都能听见，你就能想象这首歌，以前究竟有多火，…,2017年2月18日 08:29,暂无数据
已注销,2022年，在听的能举个手吗？,2022年3月19日 23:03,暂无数据
优涟净水器、热水-白晋伟,每一个人都有爱的人，只可惜你的好心追求，却是时刻给了对方压抑。我说，我爱你并不是想得到你，你放到我们合适的距离静静地欣赏你。我知道你对我有所保留，那种感觉放在心上，只是知道我给不了你想要的生活，其实那次打电话俩三个小时，我也想让你给我一次机会，可惜你还是固执己见，我那一次挂了电话之后，我哭了，一个大老爷们，其实我也是想你了！,2016年10月17日 08:51,暂无数据
杨HAO淞,女儿:爸爸，我是你的小棉袄吗？父亲:不，你是我冲动的惩罚😁😁😁😁,2019年12月31日 20:39,暂无数据
小张⚾️,虽然天天听这首歌，但是中间高音的部分还是让我身体一麻，这首歌给我很大感触。,2017年1月12日 01:06,暂无数据
¨侑时很傷鈊,30几岁一事无成，拿着几千块钱的工资，干着随时可能离职的工作，一个人在电脑前迷茫着听着这首歌。我不知道明天会怎样,2020年2月8日 22:24,暂无数据
【郭小六。】,上初中时候暗恋一个女孩子，那时候刀郎正火。每次听到这首歌都会想起那个不可能的曾经,2016年10月16日 18:18,暂无数据
姒梦の年華,金杯银杯不如人们的口碑，英雄从来不问出处，凭什么说刀郎歌上不了台面？刀郎的歌声总是能打动人心，这样的成就难道还不如一个破奖杯不成？,2017年5月5日 15:53,暂无数据
ℳঞ🌿花香雪柔💞🍬,这是刀郎为他前妻杨娜写的一首歌——刀郎对他前妻一见钟情而换来冲动的惩罚。歌词很有内涵，他所创的每首歌细品都折射出人生的哲理性！歌曲的音域如辽阔的草原高亢而激情，活力四射，他每首歌都很赋有画面感，拨动着我们的每一个神经，瞬间致我们的灵魂与歌曲意境同步！刀郎在音乐界不需要任何包装和任何人的捧场走红，他才是乐坛界真正的歌王——是金子在哪里都发光……,2021年5月11日 22:34,暂无数据
哥哥,评论区的才是大爷,11:41  ,四川
.,回来依旧是王者,11:30  ,广东
