Username,CommentContent,Time,Location
是你 是你 就是你,00后仍在听刀郎老师歌的举手！！,7月2日 15:55  ,云南
芥茉,今晚刀郎演唱会唱了这首，好绝,8月31日 00:17  ,北京
🐂,数次哽咽流泪 这才是真性情的艺术家 9.21票太值了,9月22日 01:18  ,未知
丁丑七月末,分享一张本人拍的胡杨树！！！爱刀天长地久！,7月11日 13:01  ,浙江
星空,喜欢刀郎的歌，无论你们说我有多土，我都觉得他是经典，是个传奇,7月2日 04:47  ,广东
對你的＆依賴,这世上，有太多的人读得懂风花雪月，却走不出沧海桑田。曾经以为携手一生的人，走着走着就散了；曾经以为刻骨铭心的痛，看着看着就淡了。然而，想忘却终是不能够。每个人一生中，至少有一次忘我的痴恋，没有奢求，没有谁对谁错，亦不怪情深缘浅。对望，相知相惜；转身，无怨无悔。默默里，珍藏聚散离合，一季花香，暖到落泪。也许，一次不经意的欢笑，会灿烂一生的守候；也许，一个不经意的回眸，会萦回一世的心痛。风起，音来；缘生，相守。经年回眸，一些事，不需要捡拾，已在心里；一些人，不需要回忆，却挥之不去。或许，缘起缘灭，终是一指流沙；或许，红尘初妆，最初的面庞，终会碾碎梦靥无常。既然开始无法安排，那么结束也无需设计。,2017年3月16日 17:51,暂无数据
想睡了梦宝,因为我是90后，每次和朋友说我喜欢刀郎，他们都会很震惊，说我不跟潮流走。我就笑笑说，他的歌唱到了我内心。,2017年4月22日 22:48,暂无数据
¤空心梦,我非常欣赏刀郎，曾经一度对刀郎的音乐喜爱到无以复加的地步，经常自己一个人在寝室里插上耳机听刀郎，耳边只有刀郎沙哑的声音，每次听刀郎的声音也能让我想到很多人和事，过去的好的和坏的，他的歌曲真的很适合怀旧啊。。。,2016年6月26日 09:14,暂无数据
SHISHUN-。,看不起农民的  都不是什么好鸟  毛爷爷都是领导农村包围城市才有新中国,2017年4月10日 15:26,暂无数据
@小沈呢！,第一次唱这首歌在万达广场里面，很多人都没听过，真是害羞，但是唱的很成功，赢得了很多掌声，，谢谢刀郎，一直都很爱你，喜欢你的声音，喜欢你投入的感情！,2016年7月29日 21:37,暂无数据
将来锅锅,有几个歌手能做到，不复出照样这样火？首首经典！听着有故事的歌，有情感的表达！会上瘾！戒不掉你那沧桑的声音！,2017年3月28日 17:44,暂无数据
理性,00后随我高举刀郎部落大旗！！,2020年8月30日 12:14,暂无数据
小梁,胡杨树，生一千年，死一千年，不朽一千年，一年三百六十五天，三千年三十个世纪，什么三生三世，胡杨都能等得到，中华上下五千年，胡杨从生到死，到灭，能经历一多半，一人一世，三十生三十世，何等长的时间跨度，用他来说爱情，不浮夸，不失恰当，为爱而终，为爱人而终，至死不渝，实在是难以用语言文字形容，爱人到这种地步，三十生三十世有这样一个人，茫茫人海中遇到，真的是修来的福分，何德何能，千万次的回眸换今生的一次擦肩而过，前世经历的磨难只为今生与你相伴，有胡杨见证对爱的忠诚，绝不过分，,2021年12月16日 06:10,暂无数据
lilium,“就算我是喀什葛尔的胡杨，我也会仔仔细细找寻你几个世纪，在生命轮回中找到你。。。” 喜欢的胡杨原来在喀什葛尔的风沙里，在刀郎的歌声里。,2016年5月20日 17:39,暂无数据
冷竹,希望刀哥能够再出山，不该被埋没，我十几岁就喜欢刀哥的歌，一直等你,2016年11月10日 15:01,暂无数据
情稚,我一直不太敢跟朋友说我喜欢听刀郎的歌，其实跟他们说他们也会当笑话说的，不会当真。那几年听他听得真的很仔细，现在已经忘记多少年没有听了，还记得这是当年的手机铃声，每次手机响的时候我都会让它多响一会儿~,2016年6月26日 01:10,暂无数据
随风而逝,艺术，一旦过份追求商业效益，便失去了应有的高度，一味的哗众取宠不可，过于通俗又没有了深度不能引起共鸣。就如读书若只为了应付考试，就不可能对文化有真正的传承和发扬。能抓住听歌人的心，让听者把自己融入词的意境里，同时感受适合的旋律，再听刀郎的完美诠释，如老友的诉说，经典成为必然。,2020年6月25日 08:13,暂无数据
余生请你指教,这才叫做歌曲，这才叫做经典，不像现在的，我们一起学猫叫，一起喵喵喵喵喵，你说嘴巴嘟嘟，嘟嘟嘟，我嘟你大爷，嘟,2021年6月18日 02:51,暂无数据
夜半借油灯,每当听到这首喀什葛尔胡杨，就会勾起我伤心的往事。那是一种无奈和无助的感觉！,2016年5月2日 07:40,暂无数据
何慕清,去过新疆，看过胡杨，听说胡杨一千年不死，死后一千年不倒，倒下一千年不腐，这就是三千年的胡杨。,2021年1月17日 17:52,暂无数据
火影,唯有音乐没有让80后留下遗憾,12:00  ,西藏
得了吧~,24年9月有没有人来,11:35  ,山东
李波@爱旅游,那又鸟是个啥？,11:27  ,重庆
派大星。,再听已是地中海。,10:40  ,四川
冬,让杏鲍菇在阳光下对你表白？,10:09  ,北京
麦田。守望者,厉害,09:16  ,广东
于立捷瑜伽,21309人加油啊,09:13  ,吉林
于立捷瑜伽,还霸榜呢,09:07  ,吉林
靓靓华仔,刀郎的歌总是那么长,08:49  ,未知
꧁💯꧂,刀郎的歌这首第一,08:18  ,广西
随风如影,经典,06:49  ,江苏
,这咋和我之前听到的版本不太一样呢？节奏好像不对,05:49  ,吉林
港岛妹妹。,我会默默祈祷 苍天造物者用心 不要让你变了样子,01:05  ,云南
Warmth⃨🧸,胡杨树有三个一千年，生而不死一千年，死而不倒一千年，倒而不朽一千年,00:24  ,江苏
家有一宝（赣）,从我懂事起就喜欢刀郎的歌，唱出了三代人的回忆,00:22  ,广东
Hose,这首歌写给刀郎天堂的哥哥，很用心的唱，歌词很感动。,00:18  ,广东
小七,抢不到广州,00:04  ,广东
乱,好难唱啊这首歌,9月29日 23:56  ,河北
昨年,可惜没有去听你的演唱会,9月29日 23:55  ,四川
难搞哦,英咂，你听到了吗，刀哥开演唱会了！！！,9月29日 23:18  ,北京
CoCo丶,好听,9月29日 22:42  ,青海
炸你鱼塘吃你鱼,这几天无限循环呀,9月29日 22:30  ,辽宁
西瓜味🍉,自己抄自己？,9月29日 22:28  ,北京
刘宜霖（文军）,歌曲旋律流畅动听，歌词朴实无华，配乐有民族特色，和声也很有特色哦,9月29日 21:51  ,北京
ㅤㅤㅤㅤㅤㅤㅤㅤ,一代人的回忆,9月29日 21:47  ,天津
T.f.c.b.c,。。。第一句我就差点脱口停靠在八楼的二路汽车。。。感觉这首和以前好多歌都差不多,9月29日 21:36  ,新疆
于你,刀迷,9月29日 21:33  ,四川
爱羽球的凯子,和冲动的惩罚音律很像,9月29日 21:27  ,江苏
一棵树,刀郎的每首歌的歌词，直击心灵深处！,9月29日 21:04  ,陕西
call蓝胖子,好听的！,9月29日 20:54  ,上海
`,这些年过来 刀哥太不容易了知道那些风波的都会力挺刀郎 主要是喜欢刀郎 人品创作才华 声音   有幸能等到刀郎这么多年不放弃回归舞台 永远支持刀郎,9月29日 20:35  ,四川
厮守是最长久的答案,好听,9月29日 20:33  ,未知
立捷,好听到爆,9月29日 20:32  ,吉林
𓆈,好听，懂的自然懂,9月29日 20:26  ,宁夏
PH,这首歌大概是06年的时候那时我读初二，我爸在二楼客厅整了套唱歌设备，有一天的下午他唱起这首歌，我在一楼听到这首歌，觉得很好听，就跑上去问是什么歌，这么多年一直很喜欢这首。感谢刀郎带给我少年时的记忆。,9月29日 18:02  ,广东
明明,很幸福跟刀郎同年,9月29日 17:55  ,辽宁
岁月缱绻  葳蕤生香,怎么感觉给冲动的惩罚一样的味呢,9月29日 17:34  ,北京
平凡,你们没有演唱会不听吗？我都听刀哥歌  十来年了,9月29日 17:31  ,江苏
仁 芯,有82年的哥们儿姐们儿在吗！你们哭了吗？,9月29日 16:45  ,北京
