Username,CommentContent,Time,Location
张启山,我一直说着要翻篇，却偷偷折了页,4月2日 12:13  ,福建
听風卷雲舒♡,从背着善宰跑来的“到现在为止，我们到底错过了多少结缘的瞬间”,4月26日 21:13  ,江苏
૮・ᴥ・ა,一听到这个我就想到背着善宰跑,4月17日 13:08  ,黑龙江
csixsixc,背着善哉跑，中国有自己ost,4月30日 08:28  ,未知
一碗面条,明年赵秭浚姐姐就一岁喽，明年一定要来看看她哦（不止明年）多美丽善良的姐姐,4月19日 17:02  ,河北
李杜诗篇,初听这首歌是在一年前校园操场上🏃，有男生唱🎤的很感人，印象深刻的是副歌“如果可以我想和你回到那天相遇”，我想他一定很那个女生👧吧。听到后半首歌，激昂鼓点🥁把情绪拉到高潮，遗憾后悔在那个男生歌声下展现得淋漓尽致，而我只是过客匆匆离去…回忆思绪在韦礼安“靠近了相信了”🎶桥段被拉回，感叹有时候缘分是分隔两地却转角一眼，从相识到相恋再到分别是缘尽🥀，我们总在后悔当时如果再勇敢一点🫂…可惜现实没如果，回应错过多好的方式是放手…身为原创音乐人的我，听到这里，更能对词曲中蕴含的情感感同身受，曾写下一首原创叫做《骑士日记》，写的是骑士与公主间不舍与爱的故事，欢迎大家对我的歌曲进行点评 ~,4月14日 14:16  ,湖北
卓源,九把刀从100多首demo中挑中，并亲自填词，一词一句勾勒出交织命运的“红线”。韦礼安的真声激昂而不失温柔，直戳人心，完美诠释了阿纶和小咪那命中注定的如指尖“红线”般剪不断的爱。弦乐的音色，在戳心之余又给人一丝温暖，JerryC最得意的吉他反倒含蓄内敛、恰到好处。自己同样作为一位音乐人，真的还有很长一段路要走，三位大师真的有太多值得学习的地方了,4月1日 18:25  ,上海
娇气包,莫名联想到了《见春天》希望平行世界的魏清越可以找到重生的江渡 然后一直一直在一起,2022年7月13日 19:12,暂无数据
山山而川,如果可以 萧逸我们一定能在未来的某一天相见！,2023年6月8日 16:49  ,江苏
檀健次你腿压到我了,一首和crush看过的电影的歌曲 我们能有一个美好的结局吗 如果有920个赞我就告白 920是他的生日,2月18日 03:34  ,马来西亚
ᵕ̈w,你说轻舟已过万山 可我只觉得曾经沧海难为水,2023年6月11日 09:58  ,辽宁
POET.,不要推开你爱的小朋友，哪怕真的生老病死无法再见。我只想自私的成为你此生短短不过百岁春秋里最想念的名性。,2022年12月20日 19:43  ,山东
桃子🍑,幸好思念无声  可惜思念无声  如果思念有声音的话  那会是一场海啸吗  冬至何来婵蛹  雪又怎能隔年  原是相思无解.,2023年4月17日 22:56  ,四川
啦啦乌,真的是只有港台还在认真唱歌。,2021年12月26日 13:03,暂无数据
小颜,崔，这段话是告诉你的，如果你听到这首歌也刚好翻了评论那真是太好了。我很幸运遇见你，在这青涩的年龄。我在正午的阳光中一眼又一眼偷看着你，我有时间庆幸幸好我是暗恋者，这样未尝不好，我总觉得我是不配和你站在一起的，你太耀眼了，如果真的我们会有以后，我会向你奔来，一直，永远。,2023年1月13日 20:49  ,上海
许我一颗夏汤圆,“如果可以 我想和你 回到那天相遇。让时间 停住 那一场雨。”夏知许，你想回去那天吗？分开那天雨下的大吗？你走出那场雨了吗？,2023年6月5日 13:29  ,陕西
懒大王,如果可以，五条悟，活下去吧，这里才不是终点，杰也会暗中保护你的，学生们都在等你,2023年7月11日 00:52  ,四川
芙夏,萧逸我们一定会相遇的光听歌哭老半天我看到萧逸炸掉那一刻我真的心疼 我的爱人是英雄 我不在他身边我不能在他身边 他是赛车手啊 他是天下第一的天才赛车手 他说过对自己最满意的部位就是手了 因为可以用来拥抱我 没关系 这次换我来拥抱他 他的手被换成了机械手臂 看起来就是半个机器人了 机械心脏机械手臂机械腿 在那里都什么样子了 自己引爆前还想着和我说永别 和我郑重其事的说了那三个字 他是爱我的我知道 可是能不能不要离开我 我知道你不想让我难过不想让我掉眼泪 萧逸 你的萧小五会忍住眼泪好好活下去的 你不需要和我道歉 因为我知道你是英雄我明白 “唯有鲜血和牺牲才能警醒这个世界”  萧逸 我爱你,2023年6月17日 13:31  ,辽宁
yoyo,如果可以我想和你回到那天下雨和你成为平行线,2023年4月3日 18:57  ,湖南
January.,如果注定要分开，那么相遇的意义是什么呢？,2022年8月21日 20:53  ,新疆
羽夏是羽夏,韦鸟北京见！！！,11:36  ,北京
邂逅,迎面走来一个很像你的人，我期待是你，又害怕是你,11:32  ,江西
隔壁村二柱子,有个喜欢的女孩，却不敢去追，总感觉自己配不上她,11:09  ,山东
Rosen,他们起哄的声音好大，当时我以为你也喜欢我……,10:40  ,广西
JUST STOPPING,如果可以，茫茫人海，我不想遇见你……,10:12  ,江西
喜之郎,明明你也很爱我，没理由爱不到结果。可是我们太没默契了，我的耐心也有限，如果这是一次考验，那我承认我输了。再也不见了zjl,08:48  ,福建
笨蛋茜瓜,今年冬天太冷了 我不喜欢。刚来成都那年刚刚好，这两年变得越来越冷…,07:06  ,四川
神明,发,02:42  ,北京
DEAD.,善哉啊,01:55  ,贵州
不将就,发烧了好难受，躺在床上听歌好无力，带出来的钱用完了，一点办法没有了，有人帮我嘛三十就行，撑过这几天,01:34  ,重庆
Drucker.Chan,月老,01:20  ,河南
偏我来时不逢春,人到洛阳花似锦，偏我来时不逢春,00:31  ,浙江
ㅤㅤㅤㅤㅤㅤㅤ,1.12,00:26  ,江西
ㅤㅤㅤㅤㅤㅤㅤ,1.12,00:26  ,江西
