Username,CommentContent,Time,Location
汪苏泷,全读,3月1日 16:29  ,北京
overdosed?,这段rap真的为我们小眼泪量身定做啊,4月8日 21:55  ,四川
小李没烦恼,说着嘴硬到底的话，做着千万爱你的事,4月14日 20:32  ,山东
#00,海仁和贤佑要永远在一起！！！！,4月1日 17:34  ,四川
Liu.,树叶子的数量是可控的 但我对你的爱不是,4月13日 18:17  ,天津
苏玖曦.,我在等眼泪女王的那批人,4月5日 14:32  ,浙江
Yuya,我真的有被改编后的这首歌狠狠的戳到，开篇的钢琴伴奏如诉如泣，两位歌神用最温暖的嗓音，将爱情中的遗憾与不舍演绎得淋漓尽致。仿佛描绘出了无法忘怀却又必须放下的情感矛盾。无论是曾经刻骨铭心的爱情，还是正在经历分离的痛苦，这首歌都能让人感同身受。所以你说到底是得到过更遗憾还是从未得到过更遗憾呢,5月24日 12:34  ,澳大利亚
Q音辅导员,汪苏泷要空降《如果爱忘了》live评论区啦！大家有没有被他的实力高音和超强rap惊艳到？⏰3月1日【16:00-16:30】记得准时到评论区蹲守，和他一起聊聊这次的舞台吧~,2月29日 16:59  ,北京
彭双捷,听完原版再来听这个版本，说说对比。原版由于是很多年前的审美，配器较为简单基础四大件，和声方面没有那么丰富，但由于先入为主大家听到的戚薇版本更多是青春的回忆。而这个版本有汪苏泷制作，设计人声对唱是及最近很被众人接受的一段主副歌后直接加rap，结构紧凑又有前后对比，不得不说间奏很新颖，简单弦乐加钢琴跑动音阶，古典感十足，桥段配器加入电吉他比原版弦乐断奏更加带劲，加入新声代歌手单依纯细腻诉说式配合演唱，从唱功及制作方面我认为这一版更为精彩。当然，每一个经典都是好歌，致敬原版！华语音乐也需要不断更新，我也在尝试创作可以努力成为经典的歌曲叫《两个世界》，希望更多人来品鉴，共同交流音乐,2月23日 14:53  ,安徽
不甘.,单依纯真的太牛了 我只能说高音那段真的太有痛恨的感觉了 鸡皮疙瘩起了给我震撼到了谁懂 单姐还是单姐  好有感染力 rap的时候纯哼得我心麻麻 两个人合唱就好像爱的纠缠 不舍 遗憾但只能高喊抒发 唱的时候好像两个人故事交叉又分开 真的就放手了不舍但希望往前走了 单依纯唱歌 真的享受就行 音色真的太美了 声音一出来整首歌丰富度直接提高 单依纯你就唱一辈子吧素不了了,2月17日 14:00  ,广东
纯来八荒,单式哼纯+汪式rap 封神了已经,2月17日 14:02  ,江西
白天数星星,汪苏泷 + 单依纯《如果爱忘了》✨两个人的演绎对我的耳朵很好！！！和声好好听 两个人太会唱啦  真的真的真的很喜欢汪苏泷的抒情Rap，这段来来回回听“如果爱忘了 你还记得吗”“不能给我的 请完整给她”听完之后就该释怀了🍃,2月17日 14:00  ,广东
Silence.Y,新加的rap melody以及和声太好听了！谁懂！,2月17日 14:00  ,广东
单七纯,单依纯唱的我快碎了🥹 谁懂这段的含金量啊！！两位和声太好听了…好像两条直线拼命地要制造交点不断拉扯,2月17日 14:04  ,浙江
白天数星星,Rap词：汪苏泷相爱过如果是爱得够久分开越疼吧想念你的脸颊你的发我并不害怕心中总有对你的牵挂 像愈合不了的疤我再也不敢碰它 却隐隐地痛在那可时间是个玩笑吧 根本洗不掉回忆你住在我心里面啦 可我必须要抽离为了让生活能继续 可现在你在哪里虽然已没假如,2月17日 14:02  ,广东
哆啦Q梦_Silence,《如果爱忘了》是2011年电视剧《爱情睡醒了》片尾曲，讲述了一段“被遗忘的爱情故事”，动人抒情旋律搭配感人歌词，打动无数听众。此次汪苏泷制作时加入一段rap melody的主歌，有音层设计感的六道的和声，让歌拥有更递进情绪表达。希望你们听完这首歌，记得爱最初的样子也有释怀的勇气,2月17日 14:00  ,河南
星空日记,汪苏泷太懂怎么唱be情歌了，我这辈子都走不出来了吧，就酱吧，爱疯这种拉扯！,2月17日 14:02  ,安徽
吱唔猪💤,最近总是刷到韩剧《眼泪女王》男女主片段  再配上汪苏泷那段深情rap  真的好绝  真的给我看哭了所以我又来重温了  汪苏泷单依纯你们俩简直不要太会唱！,3月25日 01:06  ,湖北
愿我无忧,两位在“我们的歌3”没有合作的小遗憾终于在“声生不息家年华”弥补了，都唱得很好听，神仙合作！,2月17日 14:00  ,上海
我是阿朱啊,十分钟新增了两万条评论 还得是你汪苏泷,3月1日 16:11  ,广东
纯来八荒,单依纯，你可能不认识我，但我一定认识你。三年前在一个综艺上，看到了一首歌名叫做《永不失联的爱》，听完之后就很想认识唱歌的那个人，就在网上狂搜单依纯，最后你夺得了某综艺的冠军，我才正式在社交平台上取名为“纯来八荒”，借着这个名字来正式做一个只宣传单依纯的号，没想到一做就是三年，很荣幸也很庆幸在青春的时候遇见了你，我的快乐几乎都是你带来的，在2023年12月22日7:30，我终于见到了现场的你，你是多么漂亮，多么美丽，但你的歌声更震撼，震撼了全场一千多个人。此时 我就在想，这三年我没有粉错一个人，这三年没有白费!原来我人生中，最特别的人是你一一单依纯纯来八荒to 单依纯,2月17日 14:02  ,江西
,别管我多舍不得,11:53  ,安徽
你喝洗jio水(化竞),这首歌过了那么久了，还是那么好听,11:37  ,广东
侠某人,好听,11:25  ,山东
T.,彤 我想对你说…………展开,11:11  ,山东
潘艺翔,如果爱忘了，我会抱紧自己，静静地想一想过去的美好回忆，让我心中的爱再次燃起。为情《执迷不悟》了吗？歌词诠释了一切！相守以沫，醉一场红尘恋，遇见你是我的缘，爱上你是我的福。爱情，一半是泪水，一半是幸福。,10:54  ,安徽
YuYu_oO,我们 走近 走尽.,09:32  ,广西
。,好喜欢汪苏泷的说唱,08:54  ,山东
回溯,用你的快乐告诉我，现在放开双手是对的！,08:18  ,河南
༄皮卡丘の丘卡皮࿐,确定这不是汪苏泷？,07:42  ,云南
雷,我想你了 真的。但我用什么理由跟你聊天呢。,00:33  ,上海
碧霄,算了 大雨落下吧 时间会像抽水马桶一样冲刷一切,00:27  ,北京
碧霄,谁也别给,00:25  ,北京
碧霄,不能给我的，给捏麻辣锅炒饼啊,00:25  ,北京
碧霄,眼泪女王永远的神,00:24  ,北京
🔥,想她了怎么办,9月29日 23:51  ,江西
刘大米413,好听爱听还想听,9月29日 23:36  ,江西
刘大米413,哇哦哇哦哇哦,9月29日 23:36  ,江西
度.,哇,9月29日 22:57  ,贵州
忽略记忆,我说我忘了不痛了，那是因为太爱太懂了——《如果爱忘了》,9月29日 22:46  ,广东
