Username,CommentContent,Time,Location
Eveliiin_^,谁会不厌其烦的安慰那无知的少年,7月31日 02:55  ,法国
仲商十一,东京的雨不会淋到巴黎，恭喜莎头圆梦巴黎！！,7月31日 00:51  ,山西
還好。,这首歌我就不收藏不下载了，如果有人看到这句话的话麻烦留个赞，收到消息我就会进来听一遍，算是我自己给自己的一个惊喜吧。,6月24日 23:06  ,安徽
005,“我走进了你的世界别怪我太耀眼”,7月20日 19:30  ,新疆
瞬间的永恒,恭喜莎头夺冠！！！这一路太不容易了为你们骄傲！！！我就知道你们可以的！！！！,7月31日 01:02  ,四川
张广森,Ayo97 和周思涵共同演绎的《感谢你曾经来过》宛如一首情感的诗篇，缓缓流淌进听众的内心深处，引领着人们走进那段充满回忆的情感之旅。周思涵和Ayo97 的嗓音搭配堪称完美。Ayo97 的声音带着一丝沧桑与深沉，像是在回忆中徘徊的孤独者，而周思涵的嗓音则温柔细腻，抚慰着心灵的创伤，让听众能够深切地感受到那份遗憾与眷恋交织的复杂情感现在的我也是一位原创音乐人，坚持写歌发歌，尽管并没有多少人听过……如果没能实现我的梦想，也许我会遗憾，但绝不会后悔。如果您看到了这条评论，欢迎来听听我写的歌要是觉得我的歌还不错，可以随手点个关注~非常感谢您对原创音乐的支持！最后祝大家心想事成！,8月4日 20:58  ,江苏
林夕,很晚了  睡了吧想说些你听不到的话很羡慕她 她应该很好吧她的书包在你背上外套在你臂弯手还在你的手掌里你的心里也装满了她吧不知道你的三分球进没进不知道你掌心的伤好没好不知道那首歌你还听不听不知道……呃 知道些什么呢好像知道的只剩听说的你歌单的歌我还在听你追过的剧我已三刷你玩的游戏我还在玩你走过的路我还在走你的背影我还是会望人群里也会一眼看到你我好像比想象的要喜欢你比你知道的要喜欢你比你听说的要喜欢你…可是你怎么会听到呢把你藏起来都不想被别人知道你的好呢我还在喜欢的你啊          晚安,2019年4月20日 02:02,暂无数据
꯭D꯭ ꯭a꯭ ꯭i꯭ s y,记忆那个她，没有长长的头发，却戴着一副厚厚镜片，那张旧照片，阻挡不住的是天真的笑脸，无邪的想笑……,2019年3月2日 11:18,暂无数据
缺席的岁月,希望他最后娶一个像我一样的人这样他就会永远的记住我又害怕他最后娶一个像我一样的人你说  如果像我为什么不能是我呢,2017年11月16日 16:55,暂无数据
山谷,我记得很久以前去ktv玩真心话大冒险  一个男生选了大冒险 给初恋打了电话 开了免提  男孩紧张的发抖  我们所有人屏住了呼吸  只听见手机里传来姑凉的声音  三年了 你不说话我都知道是你  我没有谈恋爱 也从没忘记你  你玩了五次大冒险   每次打来电话都不说话  可我知道是你  所以你什么意思,2018年1月28日 17:04,暂无数据
生生,当你认真谈过一段感情，最后却分手了，后来你会很难再去喜欢别人，你不想花时间也不想去了解。就好比你写一篇文章快写完了，但老师说你字潦草把作业撕了让你重新写一遍。虽然你记得开头和内容但你也懒得写了，因为一篇文章花光了你所有精力，只差一个结尾，你却要从头来过。,2018年3月15日 20:51,暂无数据
一,朋友十二划恋人十二划家人十二划十二划是难忘但我还是给你备注十一吧因为朋友差一点爱人差一点恋人差一点家人差一点十一的名字叫遗憾,2018年3月1日 15:35,暂无数据
‮𝘠·凌云,以前听歌，听的是旋律！之后听歌，听的是歌词！后来听歌，听的是故事！现在听歌，听的是自己…,2020年2月6日 23:33,暂无数据
ℳঞ江 ꦿ ໌້ᮨ沅꧔ꦿ᭄,单数就分手，双数坚持继续,2021年2月15日 17:42,暂无数据
,“孟婆，再来一碗”“小伙子，你已经喝了很多碗了”“可她还在”,2018年4月20日 04:26,暂无数据
@土豆🥔,感谢你曾来过、很高兴认识你，就算你是个过客,2020年3月3日 16:28,暂无数据
🙈,当我们收拾起破碎的心情，用一颗善良的心继续的去寻找真正属于我们生命中的另一半时，我们应该做的，不是在意对方的过去，不是继续以前的错误。而是记着以前的教训，好好的爱对方！比如：曾经那么的不愿陪女友上街，曾经那么的不愿去了解对方的想法，曾经那么的不在意对方的委屈；如今，学着陪伴对方，学着去聆听对方，学着去尊重对方的一切。这何尝不是一件好事？如果没有经历过以前的一切，你会有现在的感触，会如此这般的珍惜现有的一切吗？,2017年10月27日 08:30,暂无数据
