Username,CommentContent,Time,Location
帕岛男模,没有人是因为钱包cb才又回来回味力宏的歌嘛,4月19日 12:58  ,河南
24K纯爷们,我是钱包CB，我们下期见,4月21日 00:45  ,山东
咩,我一个听林俊杰的都知道二哥胜诉了怎么还有人活在22年,6月12日 07:28  ,江苏
搁浅,我是钱包cb 我们下次再见,5月26日 12:32  ,贵州
往事似烟、阿书哥😊ཽ,这首歌只用听前奏，我的意思是，没有经济基础谈不得爱情。往事似烟、阿书哥,8月1日 06:24  ,福建
domiso_,“如果世界太危险，只有音乐最安全。”想不到如今在各种意义上，这句歌词的含金量还在上涨…说实话，以前真没太理解这首歌的内容，以为只是一首普普通通的情歌。后来结合其他人的分析解读，发现歌词之中暗藏玄机。这确实是一首情歌，不过是力宏写给音乐的情歌。（大家也可以换个角度再看一遍歌词～）每个人的爱好虽各不相同，但那份热爱是相同的。不管世界怎样，只要专心做自己想做的事情，也会有专属于自己的小幸福。我也很向往成为这样的人，所以在热爱音乐的过程中也创作出了自己音乐。当然…大家如果能喜欢就最好不过了。,2月27日 20:42  ,黑龙江
AI评论观察员,总体来说，用户对《我们的歌》的评价较为正面，表达了对歌曲的喜爱和共鸣。好评用户占比高达90%，中立评论用户占比5%，其他声音用户占比5%。评论中有人对歌曲的旋律和歌词赞不绝口，也有人分享了自己与歌曲相关的故事。例如，“太好听了，早知道还是力宏”、“天气这么热，只有听歌才能让我的心静下来”、“如果世界太危险，只有音乐最安全”。音乐的体验因人而异，每个人都有自己的感受和理解。希望大家能友好讨论，分享自己的故事和感受。,2023年7月1日 00:33  ,广东
🍁枫林疏影🍁,分分合合是每个故事中所必不可少的状态，相敬如宾举案齐眉不过是一种理论上存在的状态，生活的琐事，工作的状态都在影响着彼此相处的关系，柴米油盐酱醋茶是生活不可或缺的调味品，感情的世界也是一样，缺少了那种都会让你的生活不完整，因为这才是真实的世界，才是人与人之间的存在状态!我们的经历是最宝贵的财富，经历的越多才会加速的成长，去寻找属于自己的一片天地！,2021年1月26日 18:35,暂无数据
雨霏霖っ,到了这种程度只想喊一句，人随便，歌留下!,2021年12月18日 12:12,暂无数据
SHRCZN,他可是王力宏啊！凭什么能被一篇无凭无据的小作文毁掉,2022年11月9日 00:55  ,云南
咚南溪北,有些人 微博刷着刷着就打开了QQ音乐,2021年12月15日 15:14,暂无数据
渐行渐远,曾经的我和你。我很简单。你却复杂。说到天荒地老。你却分分和和。我只对你说了一句话能不能不要切歌。继续唱我们的歌。我希望一辈子都记得。如今已物是人非。成了别人生活里的主角。有缘不见。,2016年3月18日 15:41,暂无数据
有鱼.,情人总分分合合，可是我们却越爱越深。很喜欢这句，然而，关我毛事啊。,2016年8月28日 09:01,暂无数据
Mila是我,谁是因为看到微博热搜跑到这的,2021年12月15日 16:28,暂无数据
balibali,王力宏胜诉了！！！！！！！！,2023年1月14日 08:55  ,河北
忍野良,人可以没，歌能不能留下,2021年12月18日 08:26,暂无数据
摩杰座,王力宏的十七八年前的歌听起来也像现在的歌！尤其是心中的日月，花田错，盖世英雄这三张专辑的歌，现在听依旧秒杀现在霸榜的热歌。,2023年6月21日 14:55  ,安徽
甜甜好辣🍸,这首歌的节拍很有特点，让人整个徜徉在旋律中，给人一种享受的感觉，抒情，对爱情，当我们遇到真正爱的人时，我们真的是越爱越深，已经听了一百遍啦😄,2017年2月7日 09:25,暂无数据
第一个清晨,说真的，王力宏的音乐领先华语乐坛10年不是说假的，另外还有2008Musicman演唱会个人认为是王力宏史上最巅峰，最完美的演唱会，那酷酷的发型，帅帅的打扮，温柔的声音，完美的颤音，真的是千万少女心动的感觉。另外拓展一下王力宏以前零零年代的时候是最火的明星之一，他的取得的成绩是华语乐坛少有的歌手能够和他媲美的，他现在之所以没有以前那么火，是因为王力宏本人不想太高调，加上他想让自己更加完美，所以他在2010年就开始自己制作电影了，有一部分精力投入到了演员和导演中，加上前几年曝光度少，从而他的热度才开始下降的，但他是有实力火的，并且实力和才华是不可被否认的，你们如果去仔细了解王力宏一定会喜欢上他的,2023年4月22日 02:10  ,四川
别来无恙,王力宏的歌是初高中的时候听得很多，现在6～7年过去了再回来听，又有当初的感觉，还好听，不变的味道。,2021年11月25日 09:13,暂无数据
