Username,CommentContent,Time,Location
1,我不是不婚主义者 也不是必婚主义者我是 幸福主义者我要找的一定是一个喜欢的且喜欢我的人如果某天 真的遇上了某个人令我感到与他生活 胜过独活那我便与他结婚 做他的妻子如果没有遇到那个人那我希望取悦自己也可以获得幸福,5月29日 18:19  ,河南
可̶   乐̶   🛡️,我问你这个你愿意接不接,6月5日 14:36  ,天津
。,婚期已定 那天是我的生日，也是我的婚礼,6月4日 10:05  ,四川
莉莉安,祝超子和团团永远幸福下去,6月21日 01:06  ,浙江
山野起雾,真的真的好好听，特别是副歌部分，希望未来的先生，你早些到来，我们可以一起分享很多好听的歌曲,5月25日 23:58  ,广西
,听着这首歌，脑海里浮现的画面是我真正想要的样子，老舅的哥太有代入感了,2023年6月18日 12:24  ,北京
立刻有,⠀⠀⠀⠀⠀⠀ ⠀希望正在读这句话的人永远幸福⠀⠀⠀⠀,2023年1月10日 11:39  ,山东
喵。,对于爱，一直对我来说是个抽象名词，我终于懂得父母的爱之后，我却无法去定义感情，我无法去相信一个人的真心，希望唱出这首的歌你，能真的幸福，一直为我展现感情的意义，信任的真实存在。或许在若干年之后，我也能明白爱的意义，我也能衷心的去相信一个不只是亲人的人,2023年5月29日 12:12  ,未知
点滅.,婚礼进行曲《执子之手》《别怕变老》,2022年12月28日 22:03  ,河南
77～,我嫁给了17岁就说要娶我的男孩子啦！我们会永不分离。,5月31日 14:45  ,云南
HOPE🦁,莎头顶峰相见啦，希望王楚钦孙颖莎能在洛杉矶圆梦，顶峰相见,8月20日 10:38  ,广东
YJN,我以前也一直认为自己是个不婚主义者，这辈子估计也就这样了！不想去靠近任何人，一但有人靠近，也一直把别人往外推。看多了身边。对身边爱情都不相信。在2023年下半年相亲遇到他，我是个好吃狗儿，他就陪我吃，做给我吃！感到好幸福呀，突然发现我不是不会耍朋友，只是对的人晚到了。不出意外今年结婚啦，有祝福的吗？如果结婚哪天捉几个送喜糖,5月31日 23:36  ,四川
猫董事,王楚钦 孙颖莎圆梦洛杉矶！！,8月14日 09:48  ,江苏
✎ℳ๓封尘✾,想与你长夜当歌，醉影绰绰，赏碧空云海，看星落长河。八百里驱车，奔两万里江河。从日出到日落，执子之手，与子成说。,2023年7月2日 00:53  ,重庆
秋.,里面歌词真的很真实 心不是随便遇到一个人就会喜欢就会爱上对方 我不知道怎么说 我第一次心动的感觉我还记得 从那之后这么多年心沉寂到我以为我不会再有喜欢的人 我曾经幼稚的想法到现在竟然重合了 不将就是我无法忽略的底线 感情这件事很奇妙 在真的自己年龄上来后别人给介绍对象总是说一大堆的框框架架 遇到他就不是很在意 愿意给他时间成长 这些都不是最重要的 我想说的是婚礼上这首歌将会出现 老舅可别vip嗷爱你哦 这个夏天有时间的话要去现场听这首歌,5月29日 11:34  ,河南
哄哄,老舅这首宝藏歌曲怎么突然火起来了！妈呀,5月29日 20:48  ,山西
。Peng,因为孤独是常态 所以陪伴才显得格外珍贵,2023年3月18日 13:51  ,新疆
Y,结婚文案：今天不是i人  今天是主角,5月29日 16:15  ,山西
一二,女生好有感觉，一出来鸡皮疙瘩起来了,5月26日 22:40  ,吉林
美杜莎,⠀⠀⠀⠀⠀⠀ ⠀希望正在读这句话的人永远幸福⠀⠀⠀⠀,2023年9月25日 19:28  ,辽宁
小允,如愿以偿 4∞us,11:46  ,山东
〃忘不了你的傻笑,刷快手刷到了莎莎和大头，就来听这首歌,11:22  ,河南
Sweet,什么时候能谈到灵魂伴侣,10:09  ,山东
夏染,这歌真的边听边有画面儿,10:00  ,新疆
照夜清,超子，我上早八,09:51  ,广东
平安喜乐,啥人写的,09:44  ,湖北
泼猴,单曲循环🔁,09:40  ,四川
泼猴,一直幸福下去,09:40  ,四川
茫茫人海，我还是我,不要焦虑，做好自己，生活总会迎来美好，总有新的故事值得期盼，就像四季更迭，不急不躁，该来的都在路上。,08:49  ,安徽
茫茫人海，我还是我,之前我遇见一个很难忘的人 让我期待明天 却没有出现在我的明天 后来她重返人海 再次与我远隔山川 却变成我的意难平.,08:49  ,安徽
REVERB,上环主义者,08:23  ,山东
L7,刚失恋 听这首歌又是另一番感受,07:40  ,河南
FKifbp（2013）,接,07:34  ,重庆
7不讲情话,好爱,07:20  ,浙江
七月初七是七夕、,这颗心，交给你，希望你好好珍惜。。。,07:11  ,江西
try,好听,03:42  ,广东
iuu,妈她们让我相亲 可是我心里有个放不下的人 怎么办,03:20  ,重庆
可乐,想结婚了,02:44  ,河南
妳别总胃痛,原来主任也是有故事的人,02:10  ,河北
小美丽,我想我会一直孤单,01:01  ,陕西
沙龙,已经想到了自己结婚的时候,00:31  ,四川
空白格,这颗心交给你，希望你好好珍惜。,00:17  ,广东
秋绥冬禧,就没人觉得这首歌女声部分像一首老歌的调调，想不起来是什么了,9月29日 23:51  ,浙江
意,等同性合法，想娶你为妻，即使没有法律的保护，我也想和你一起共白头,9月29日 23:44  ,山西
⁢,“爱到底  就算整个世界毁灭”,9月29日 22:18  ,浙江
ღL、,不敢轻易的奢望爱情💑,9月29日 22:12  ,黑龙江
ღL、,愿所有人都找到心目中的那个他她,9月29日 22:10  ,黑龙江
元宝宝💋,再也不试了。,9月29日 22:07  ,江西
时光不改旧人心丶,我直接爱了,9月29日 21:52  ,新疆
无忧小蕾,真的感到幸福那便是可以结婚了,9月29日 21:02  ,广东
失落.,第一次听到这首歌的时候还是在酒吧,9月29日 20:11  ,广西
差点长成帅哥,坚信你我一定可以走到婚姻殿堂,9月29日 19:59  ,山东
小瑶,背景音乐是什么，有知道的吗。,9月29日 19:54  ,山东
孤独,希望下次流下幸福的泪水，是娶到了想娶回家的人因为幸福喜极而泣,9月29日 18:01  ,浙江
随风飘扬,我能结婚吗！,9月29日 17:27  ,河南
顾清漾,好喜欢这句话,9月29日 16:34  ,河南
A👑 Lᵒᵛᵉ晴💍👸,谢谢你也谢谢小纸条,9月29日 15:53  ,辽宁
蓝桉独宠释槐鸟,因为这首歌，我开了会员,9月29日 15:26  ,浙江
Sebtimental.,嘿嘿好听,9月29日 14:47  ,河北
神经蛙,这歌的调调有点熟悉 谁告诉我是那首歌,9月29日 14:26  ,广东
洪哆啦ing,坚定的不将就的幸福主义者。,9月29日 14:13  ,广东
冰镇痒乐多,我上了个环…,9月29日 13:37  ,江苏
Man,都是广大仙女爱看的文字,9月29日 13:34  ,广东
[ 尘寰 ],如果遇良人，就嫁良人。如果没还没遇到，就娶自己。爱自己,9月29日 13:07  ,未知
景小旺,说得真好,9月29日 12:27  ,陕西
大 希 😏,这个心交给你 希望你好好珍惜,9月29日 12:14  ,广东
lsl1212,以后不会再让坏人欺负你。这是最后一条，姐姐说我以后可以随时给她发微信啦。也祝你们都能遇到心软的神。,9月29日 12:12  ,北京
朱竹清,虽然很舍不得和你分开，虽然很难过和不甘心，不知道你是否也有一样的情绪。我从没否定过你，你依然是那个发着光的男孩，谢谢你带给我的快乐和感动。也许是我还不够好吧，不是那个值得你奋不顾身去爱的人。以后的路没办法陪你走了，陪你面对以后的难过与欣喜吧，我感到很遗憾。在这段感情中我也有做的不好的地方，很抱歉让你在这段感情中感到疲惫。不是你失败了也不是我失败了，是“我们”失败了。希望你以后幸顺遂，希望以后陪在你身边的那个女孩满眼是你，就算还喜欢你也不敢再打扰你了，害怕你觉得我纠缠而讨厌，所以就保留着彼此的美好吧，以后可能真的是一别两宽各生欢喜了吧，我爱的那个男孩，我们要说再见了,9月29日 11:39  ,广东
潘艺翔,《执子之手》是一首充满深情与承诺的爱情赞歌。歌词中，“看着你眼睛说我愿意，这颗心交给你希望你好好珍惜”，“I got a ring，因为幸福喜极而泣，答应你，从今起做你的妻和你永不分离”，这些质朴而深情的语言，描绘了一段跨越岁月的爱情长跑，字句间流露出对爱情的执着坚守与无尽期待。同时，歌词中也透露出对过去情感创伤的反思，“已经很难动心在我这样的年纪，有时会回避也有时候逢场作戏”，但正是这份经历，让主人公更加珍惜眼前的幸福，展现了爱情的力量可以让一个人从过去的阴影中走出，重新焕发生机。,9月29日 11:29  ,安徽
偉℡,@牡丹 要不要出来,9月29日 10:59  ,山东
小刘,欣赏不来,9月29日 10:33  ,广东
会飞的史迪奇,孙颖莎 王楚钦洛杉矶顶峰相见！,9月29日 09:51  ,山西
Passion,朱忆彤是,9月29日 09:50  ,江苏
萍生锁岁,不愧是老舅，执子之手，与子偕老，，祝福点赞的各位都幸福美满，好事连连！,9月29日 09:45  ,江西
雨濛濛,祝各位皆遇良人，不离不弃,9月29日 08:44  ,江西
…,不要在冬天办婚礼太冷了 台下亲友都捂得严严实实不好看 夏天…夏天也不行 流程很多 大家都热的大汗淋漓 就定在春天吧 所有人都穿的漂漂亮亮的来参加婚礼 温暖的阳光洒在我们身上 偶尔有微风吹过我的发丝 你轻轻柔拭掉我脸颊的泪滴 在仪式完成台下的欢呼声中 歪着头跟我说 春天的誓言不止在春天,9月29日 06:19  ,安徽
不将就,发烧了好难受，躺在床上听歌好无力，带出来的钱用完了，一点办法没有了，有人帮我嘛三十就行，撑过这几天,9月29日 05:50  ,重庆
静,我不是不婚主义者 也不是必婚主义者我是 幸福主义者我要找的一定是一个喜欢的且喜欢我的人如果某天 真的遇上了某个人令我感到与他生活 胜过独活那我便与他结婚 做他的妻子如果没有遇到那个人那我希望取悦自己也可以获得幸福,9月29日 03:24  ,浙江
@ .,结婚时的战歌,9月29日 00:38  ,湖北
ZHAO,副歌部分的女声真的好听,9月29日 00:16  ,广东
是你,希望莎头真的官宣结婚的时候，能用上这首歌的高潮部分。真的是他们的专属BGM，超级合身,9月29日 00:11  ,湖南
那年冬,等我结婚在座的各位都有喜糖吃，祝福我吧，宝宝们,9月29日 00:07  ,广东
ℒฺℴฺνℯ̶ฺ归̶零̶⋆,想与你长夜当歌，醉影绰绰，赏碧空云海，看星落长河。八百里驱车，奔两万里江河。从日出到日落，执子之手，与子成说。,9月29日 00:07  ,北京
‎‏知有.,孩子们，这不好笑🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟫🟫🟫🟫🟦🟦🟦……展开,9月29日 00:06  ,湖北
南新.,执着于理想，纯粹于当下,9月28日 23:54  ,浙江
°Distance,,9月28日 22:42  ,浙江
爱吃车厘子,夏天会再来 但十八岁的夏天不会再来了,9月28日 22:35  ,河南
肖,接,9月28日 22:28  ,福建
我睡觉的时候不困,做你的妻和你永不分离,9月28日 22:02  ,黑龙江
Ronin,女生部分太惊艳了,9月28日 21:45  ,河南
MIN,为啥最近为啥老是刷到结婚的，啥时候能轮到我，97的还有救吗,9月28日 21:01  ,福建
