Username,CommentContent,Time,Location
卧云钓月花下眠,仙是山外人，愁是心上秋，鸿是江为鸟，梦是林下夕，诗是寺堂言，意是心上音，星是日落生，岚是山下风。,5月15日 15:31  ,四川
♻️魅音♻️,毛不易的演唱为这首歌注入了灵魂，温暖而富有质感的嗓音，将歌曲中的情感诠释得淋漓尽致，让听众仿佛能切身感受到无名者的酸甜苦辣。,6月22日 11:06  ,广东
悲伤𝙆𝙞𝙩𝙩𝙮猫💤,胖猫下辈子一定会一直幸福的,5月3日 23:18  ,安徽
爱过,第一次听毛不易老师的歌曲，无意中在他的一档节目中听到这首歌《无名的人》～好听,4月7日 00:52  ,福建
玙樣哃垳,刚从好六过来。。此刻。。只想抱抱茶茶，说一句辛苦了,9月8日 03:09  ,辽宁
张广森,这首歌的旋律质朴而动人，以一种舒缓却有力的节奏展开，仿佛是无名之人在生活道路上坚定前行的脚步。 毛不易的嗓音一如既往地饱含故事感，他用独特的声线唱出了无名者的心声。歌词描绘的画面真实而细腻，那些为了生活奔波、默默奋斗的身影仿佛就在眼前。让无数平凡的我们在这首歌中找到了共鸣与慰藉。现在的我也是一位原创音乐人，坚持写歌发歌，尽管并没有多少人听过……如果没能实现我的梦想，也许我会遗憾，但绝不会后悔。如果您看到了这条评论，欢迎来听听我写的歌要是觉得我的歌还不错，可以随手点个关注~非常感谢您对原创音乐的支持！！！最后祝大家心想事成！,8月5日 15:05  ,江苏
胡碧云,在这个流量为王的时代，我们太多随着主流的关注而看到那些风光的明星，好像那就是我们所向往的所追求的不平凡。当我们把一切美好希望都聚焦在那些看得见却摸不到的耀眼时，有时回过神看看自己，会发现很多不如意，没有豪车豪宅，还着房贷，那些每个月只够活口的工资，觉得世界那么大，却哪也去不了。当你也有这种苦恼的时候，不妨听听毛老师这首歌，也可以听听我写的《走你该走的路》，你会发现，原来上天给我们每个人都有不同的馈赠，每个人都有自己的花期，花开时都很美丽，就让我们在自己的路上，充满希望地走下去吧，前方会有光……,4月25日 13:22  ,四川
彭双捷,首先看见钱雷和唐恬这组合就知道不会差，这首歌为毛不易写的可以说的量身定做。毛不易最出色的是他低沉磁性沧桑的故事，这首歌整体音域在#G3-#C5，完美把控毛不易最出彩的音色，且毛不易最让人能记住的就是他代表更多默默无闻且平凡有理想的群体，歌词与其实际情况十分贴合。编曲以钢琴旋律65615为设计贯穿全曲，营造情绪起落感，搭配喃喃诉说，塑造出生活在角落里想要踮脚张望的画面感。学习了音乐很久，也希望通过评论和每一位热爱音乐的朋友交流分享，有机会邀请大家去聆听《逃出去》这首歌，在画面感设计中也非常耐人寻味。,4月7日 10:52  ,安徽
Maggie 麥,你有感觉眼睛热热的吗？同样被这首感动的一定都是彩虹一般的人，我们或许只是一个没有名字的小透明，只是在日常里喘息的平凡人，可是我们也有自己的那份坚守和追求，在用自己的方式爱着这个世界。你相信吗？一首歌真可以改变一个人，一段歌词会影响一个人的决定。这首歌歌词改变了我的犹豫，彷徨和不自信，让我决心走出做音乐人的那一步，决心把所想所唱的写下来。很普通那又怎样呢？当我写鼓励自己的那首《灵魂漫游》的时候就想，哪怕有一句，如果能像这首一样，让一个人触动，或是改变了什么，我想我也算曾经点亮了一颗星星。,3月25日 20:00  ,广东
舒也,在地铁上放到这首，突然很有感触歌里写的是人海里无名的平凡的人，也许是写字楼里日复一日的打工人，是商场里的保安师傅，是舞台角落里不太起眼的伴舞，是泯于众人的“众人”……可是“无名”又怎么样呢？我们一样满怀希望迎接每一天的朝阳，我们怀揣梦想追逐着未来，或是肩负养育儿女的重任，那些看似平凡的每一刻，都充满不凡不得不说，毛毛老师的声音总能在娓娓道来里给人直冲内心的坚定力量。喜欢上毛毛的声音是2017年，决赛里的《盛夏》，感动了在场的每一个人，也感染了无数像我一样屏幕前的人。直到现在，也许毛毛老师不仅是我的音乐偶像，更是我成为音乐人的启蒙老师“往前吧 带着你的梦”加油勇敢的自己！加油陌生人,3月17日 17:20  ,上海
