Username,CommentContent,Time,Location
聆吟风的,孩子们，这不好笑🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟫🟫🟫🟫🟦🟦🟦……展开,8月15日 18:37  ,宁夏
꧁✘木羲»♪꧂,为了你她从天女变成了凡人，你错投猪胎，她也愿为你成为妖……三世花了两世的运气只为一世与你有过一情，哪怕结局不美好，但是爱过了最后也没有了恨……哪怕最后只是感叹：你还是和那时一样笨啊,8月21日 16:41  ,广东
XLX,昔人已乘黄鹤去 ，此地空余黄鹤楼,8月21日 18:59  ,河南
回答,——打听到了吗，天蓬投胎成什么了？——好像是只猪——好，那我也要投胎成蜘蛛,8月21日 21:22  ,未知
AK🐳鲸海星,因为我们不像至尊宝一样，被多个女生喜欢，所以我们更像是猪八戒，只有在对的人眼里，你才是天蓬元帅，从此猪八戒照镜子不再是贬义词……,8月22日 00:00  ,四川
李杜诗篇,一个视频带火🔥一首歌系列，随着开头吉他🎸缓缓弹出，猪八戒和蜘蛛精的故事也娓娓道来，这首歌没有复杂的编曲或是炫技的唱法，就像歌名《爱你》一样简单而坚定，到后半首歌“你有多么宝贝奥～爱你爱你”脑海中浮现八戒抬头望向天空的画面，相爱却无法相守，妖面镜中不再当年英姿，那年妆艳却不再花红。🥀🥀🥀虽八戒的结局不圆满，但是衷心希望看到评论的家人们都能找到心之所属，与相爱之人长相厮守👩‍‍👨。身为原创音乐人的我忍不住共鸣，写下一首原创叫做《骑士日记》，骑士默默守护公主，同样写的爱而不得的故事，我也欢迎大家对我的歌曲进行点评 ~,8月25日 16:20  ,湖北
普通市民-,孩子们，这不好笑🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟦🟫🟫🟫🟫🟦🟦🟦……展开,8月23日 12:44  ,广东
mortal,“师傅说过，如果我做错事情了，他老人家就会来惩罚我   当年我打上天庭 师傅没来阻止我，我就知道，我没错”,8月22日 22:43  ,河南
*沉鱼旌,为了你她从天女变成了凡人，你错投猪胎，她也愿为你成为妖……三世花了两世的运气只为一世与你有过一情，哪怕结局不美好，但是爱过了最后也没有了恨……哪怕最后只是感叹：你还是和那时一样笨啊,8月21日 23:06  ,江西
依楠爱听歌,难道只有我从桑杰emo哥那里来的吗？,7月23日 08:35  ,江苏
