Username,CommentContent,Time,Location
ONE 一个,票选第一名，遗珠之憾的《爱错》火了，再给大家推荐一些力宏的宝藏歌曲！《Everything》，《天涯海角》，《竞争对手》，《在每一秒里都想见到你》，《安全感》，《忘了时间忘了我》，《白狐狸》，《奇遇的起点》，《CrossFire》，《千秋万代》，《Why Don't You Just Love Me》，《裂心》，《梦寐以求》，《你和我》，《不着地》，《爱无所不在》，《星期六的深夜》，《第一个清晨》，《爱的鼓励》，《竹林深处》，《爱情攻略》，《Finally》……太多好听的冷门歌曲了！,9月11日 19:32  ,广东
✨Cathy🐱,我的爱错终于又要火起来了么,9月11日 18:03  ,上海
清晨,爱错流行了起来，大众审美水准又提升啦,9月12日 08:41  ,上海
离秋,可能十年前你会听周杰伦，但是二十年后你一定在听王力宏,9月9日 23:00  ,上海
吃不胖李,这首歌爱错的意思：不是爱错了一个人。而是碰到了对的人，却因为太爱而不知所措，用了错误的方式（互相较量、占有欲等）去爱对方。结果最后归于原点。 希望大家都能在来得及的时间内，和喜欢的人好好在一起。不要有遗憾，好好爱对方，多一点包容，愿有情人终成眷属,5月8日 15:46  ,上海
曹真铭,这首歌因王力宏令人膛目结舌的唱功再次成功出圈。无论是嘻哈摇滚，还是R&B抒情，二哥都能轻松驾驭。作为华语乐坛的翘楚，王力宏将他的才华尽情的抒撒在了他的音乐里。北风与叶子，失落和遗憾，失去和后悔。二哥用简洁而富有画面感的歌词深刻地刻画出了爱错的痛楚。爱情如花，需要呵护，却有人任其凋零，不懂珍惜这份情感的芬芳。却有人总在失去之后才懂得珍惜，殊不知那份情深早已远去，留下的只有苍白的回忆和无尽的遗憾。副歌部分的边缘化技术和声音的控制，以及歌曲中不同情感层次的表达，二哥的处理可谓技惊四座，却也不乏传达出情感上的真挚与力量。我歌唱技巧的提升也得益于二哥的传授，欢迎来我的主页听歌！,9月21日 09:30  ,江苏
黄天霖,搞不懂为什么这么一首写得这么好，演绎的也很好的歌热度会这么低......这首也是王力宏难度最高的歌曲之一....沧海遗珠啊...,2016年12月9日 19:08,暂无数据
Devotion,我觉得这里的爱错 不是指爱错了人 而是用了错误的方式 爱了最爱的人,2017年10月9日 04:14,暂无数据
JcNie.烊,我是00后，已经是力宏哥15年的歌迷了。 因为他喜欢上音乐，现在也进入了自己理想的音乐学院，不论是考试还是比赛，基本上都唱他的歌，我一直都在研究他的唱法和作曲，难度确实很大。也让我有很大的提升 力宏老师的歌一直鼓励着我，让我在音乐的道路上坚持走下去。,2023年6月9日 22:28  ,四川
Irene(☆_☆),人可以走，请把歌留下，本来华语乐坛就没有作品了。他对华语乐坛的贡献有目共睹，所有的事情都要客观看待。请不要因为别人的家务事下架好的作品，不然VIP就再见，谢谢。,2021年12月18日 15:53,暂无数据
平凡快乐,这首歌基本可以荣登力宏最难唱的歌之一。前面的弱混处理，到第二段真声，代表了感情的并进。。。后面的solo少了你的世界C5，喔那句，应该是D5，都是质量很高的混声。音不是力宏最高的歌，但是全程混声和卡男生的换声点，相信我，即使是高音歌手一首唱下来，喉咙也会很蓝瘦,2018年3月9日 23:32,暂无数据
生何以陌,神仙打架的那个年代歌手，脱引而出的歌手每一首歌都是经典，放到这个年代依然那么好听。,2023年6月6日 12:04  ,贵州
麦哥,一首老歌《爱错》，这是让人听到心疼的一首歌，喜欢力宏的朋友，一定对这首《爱错》不陌生。当年在演唱会深情演唱的力宏，如今已经为人夫为人父了。祝福偶像的同时，也感叹时光流逝。“我从来没想过，我会这样做。从来没爱过，所以爱错。”人最遗憾莫过于在不成熟的年纪，遇到了最爱的人。愿你遇到一个成熟的爱人，不再《爱错》。☕,2017年4月13日 22:53,暂无数据
我说,能翻到爱错评论区的朋友，大多都是老粉至少也是老路人粉了。心情很复杂,2021年12月18日 01:28,暂无数据
。,强烈安利力宏《2008 Music-Man 世界巡回演唱会》，这场演唱会也唱了爱错，B站有高清视频，至今最爱的一个现场版，无论唱功还是情感表达，无人能超越。,2019年8月23日 23:41,暂无数据
Peter Jung,这首歌曲给了我很多回忆。那会还要去买歌碟。后来买了，mp4.上晚自习时最喜欢偷偷地放着听。mv也是王力宏ko吴建豪。挺好看的，就是这首歌在ktv里不好唱啊,2016年5月29日 10:56,暂无数据
