Username,CommentContent,Time,Location
joe,"爱情有时就像一出荒诞剧,白鸽爱上乌鸦,明知没有结果,却还是义无反顾。人生百态,爱恨交织,或许那就是生命的意义所在。",9月27日 14:47  ,广东
米苏ღ.,希望被指到的人永远幸福,8月25日 11:19  ,广东
米苏ღ.,屏幕前的你给我听好了：少焦虑 多睡觉 常开心,8月29日 19:12  ,广东
……,我问你这个你愿意接不接,9月2日 10:49  ,河南
Shiny,白鸽乌鸦相爱的戏码 只会出现在童话,8月25日 12:12  ,云南
幸运遇见你🍀,这个歌没人听，不是因为不好听，而是没有有品位的人挖掘就像谈恋爱一样，你不是没有人跟你谈，只是你没有遇见懂你的人,8月15日 21:33  ,辽宁
你也是个宝宝,圆周率没有尽头，你我也只记得开头。,8月10日 12:26  ,湖南
乡野村夫,希望我奶奶快点好起来，也希望在座的各位的亲人永远远离伤病,8月31日 20:45  ,宁夏
野马🚗,电影《绿皮书》里有这样一段话：“这世界上有各种各样的人，恰巧我们成为了朋友，这不是缘分，是因为我们本就是应该朋友。”,8月24日 22:55  ,山西
米苏ღ.,"中文：“教堂的白鸽不会亲吻乌鸦，因为它们会死在流言蜚语中。”“迟来的阳光救不了枯萎的向日葵”英文：""The doves of the church will not kiss the crows, because they will die in the gossip."" ""The late sunshine can't save the withered sunflowers.""",8月25日 11:49  ,广东
米苏ღ.,“永远喜欢简单又真诚的人，我的爱，从来不和那些差点意思的人周旋”,8月25日 11:48  ,广东
止水。,我时常不敢相信自己已经二十四了，身边的人都在往前走，恋爱，工作，谈婚论嫁，结婚生子，只有我好像停在了十几岁的时光里，在读书的道路上徐徐前行，喜怒哀乐仍然在我脸上，时间让我长了年岁，却没有让我成为一个合格的大人，我以为我二十多岁，会去看大山大海，落日余晖，没想到，到了曾经向往的年龄，我还在找自己的路上。,8月14日 02:47  ,河南
失落,这首《白鸽乌鸦相爱的戏码》写的是当时一对情侣的遗憾，两个相爱的人因为女方父母的强烈反对而拆散，女孩出国了，而男孩成了云南的出租车司机，十年之后偶然的一天，女孩在云南坐上了男孩的车，阔别十年，女孩亦如当初模样，而男孩确满脸沧桑，男孩认出了女孩却不敢打招呼，，但他不清楚坐后排的女孩是否认出了自己，透过后视镜男孩看到女孩拨通了一个电话，电话里似乎是女孩的好朋友，一路上女孩一直在电话里讲述着在国外的种种，而男孩只是默默的听着，终于到达目的地了，女孩也挂断了电话说：我已经把我这十年期间的经历都说给你听了，你连句你好都不说吗？原来女孩从一上车就认出了男孩，那通电话对面没有任何人，一切都是女孩说给男孩听,9月1日 03:39  ,浙江
极端！,早知道那是最后一次见面，我就买一束你喜欢的花。,8月6日 15:29  ,云南
刈魍,“希望大家的最后一张牌永远是真诚”,8月28日 01:05  ,广东
喃梦椿生,明明我可以有这个能力为什么要让她遇见更好的他,11:51  ,甘肃
SUSU,好难听的歌,11:49  ,浙江
鸡排饭加个🥚,现在的歌真是火的莫名其妙,11:03  ,江西
闭心,哪怕童话里，公主喜欢的也是王子，而不是骑士，骑士所谓守护公主王子的荣誉也不过是在自我感动而已,11:01  ,广东
湫,又舍不得你，又和你结不成婚，又多想陪你走一段路，这道题该怎么解,09:40  ,未知
ᥬᥬ😎ᩤᩤ,所有的委屈涌上心头,09:16  ,广西
浮梦,好！谢谢小纸条！！,08:59  ,湖北
.,好！谢谢小纸条！！,08:48  ,江苏
好运连连大🍊大利,调调好听,07:43  ,四川
怕在黑暗中……错过你,从抖音刷到的，听说这是败方MVP的歌,06:52  ,河北
对话老思,什么非主流歌,06:15  ,广东
。,什么^ ^#¥歌,05:51  ,福建
