Username,CommentContent,Time,Location
HOYO-MiX,好耶！,9月28日 18:58  ,上海
原神,派蒙会一直陪伴旅行者呀！,9月28日 18:58  ,上海
原神,谢谢旅行者！,9月28日 18:57  ,上海
原神,看！,9月28日 18:57  ,上海
原神,那派蒙不得不来了！,9月28日 18:56  ,上海
原神,一起经过～,9月28日 18:56  ,上海
原神,来啦旅行者,9月28日 18:56  ,上海
原神,四周年快乐！,9月28日 18:56  ,上海
HOYO-MiX,不要哭呀！！天天开心！,9月28日 18:55  ,上海
原神,好呀,9月28日 18:55  ,上海
原神,不知不觉和旅行者一起这么久啦(＞_＜),9月28日 18:54  ,上海
HOYO-MiX,好耶！♪( ´▽｀),9月28日 18:54  ,上海
原神,来啦,9月28日 18:53  ,上海
原神,谢谢旅行者呀,9月28日 18:53  ,上海
原神,一起继续旅行吧,9月28日 18:53  ,上海
张杰,新歌被这么多人喜欢，很开心，星际的旅行者们，演唱会见^_^,9月28日 19:45  ,上海
张杰,很多人最喜欢“越坠落”，和我一样^_^,9月28日 19:27  ,上海
张杰,看了大家留言，觉得这首歌演唱会上出现很合适,9月28日 19:00  ,上海
HOYO-MiX,我翻～,9月28日 19:00  ,上海
原神,好啦！时间差不多啦，旅行者们下次再见哦！派蒙一直都在！( ´ ▽ ` )ﾉ( ´ ▽ ` )ﾉ四周年快乐！✨,9月28日 19:00  ,上海
张杰,谁刚好“经过”评论区？告诉我你听歌的感受吧,9月28日 18:18  ,上海
原神,旅行者们晚上好呀🌃～,9月28日 18:00  ,上海
游戏补给站,#原神四周年# 大家都有在活动页面找到杰哥的彩蛋嘛,9月28日 17:28  ,未知
游戏补给站,#原神四周年# hi各位旅行者们，9月28日18:00-19:00 张杰/派蒙/HOYO-MiX将空降单曲《经过》评论区，欢迎旅行者们蹲点守候哦,9月28日 00:15  ,广东
游戏补给站,#原神四周年# 亲爱的旅行者们！在《经过》歌曲评论区留下你的评论，由【游戏补给站】与【原神】共同挑选精选5条优质评论，被挑选的旅行者们即有机会获得【张杰签名照】一张!活动时间为：9月28日00:00-10月12日00:00，欢迎各位旅行者们踊跃参与活动！,9月28日 00:14  ,广东
米苏ღ.,四周年快乐！旅行者们，点赞有惊喜哦,9月28日 00:03  ,广东
添华,亲爱的旅行者们，四周年快乐！这一年经历了许多，有质疑，有节奏，可是我们仍然保持对原神的热爱，并且希望原宝可以越来越好，也希望创作团队可以更加用心，多听取读者的意见。在接下来的旅程里，我们会携手走到故事的终点，并为这段旅程画上圆满的句号。再次祝贺旅行者们四周年快乐！看到这段话的人天天开心，十连三金,9月28日 00:00  ,广东
星辰✨,这破天的富贵终于轮到原神了，华语live王杰神什么时候可以把这首歌拿到演唱会现场啊，想体验一下现场听着你的歌抽卡的感觉，祝我十连双金（期待哥哥的一个翻牌）,9月28日 00:00  ,黑龙江
我是丁晶晶,不愧是张杰啊，主歌的密集咬字，副歌的4组连续高音咬字，高音转音又如此优秀。我看词曲作者写歌都不用考虑难度，直接写张杰直接唱。,9月28日 00:03  ,重庆
春日已迟ᅠ⁧~,22年夏季入坑，原神已经陪伴了我三年时光。一路走来，不断变强的不只有账号中的旅行者，还有现实中的我们，只有细品才会发现原神剧情真的教会了我们太多太多…,9月28日 00:00  ,福建
芜湖( • ̀ω•́ )✧,好啦！时间差不多啦，旅行者们下次再见哦！派蒙一直都在！( ´ ▽ ` )ﾉ( ´ ▽ ` )ﾉ四周年快乐！✨,12:12  ,湖南
灵凝,喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢,12:12  ,河南
一只绿毛龟,唱的歌好好好好好好好好好听听太喜欢了吧,12:12  ,湖南
星火,为了活动，拼了！一切皆有可能，为了活动！为了活动！为了活动！,12:12  ,山东
小欣,原神4周年快乐，简直太好听了，啊啊啊啊啊啊,12:12  ,河南
