Username,CommentContent,Time,Location
王宇宙Leto,希望在听这首歌的每个你，都能与自己和解，收获自己生活中独一份的美好,3月13日 22:47  ,上海
の蓝冰๑´0`๑（互）,那些翻着评论，自己却从来不评论的人，或许才是真正孤独寂寞的人。有一种人，天天都笑嘻嘻的，好似和谁都合得来，但是从来不主动联系朋友。听歌还看评论？你应该很孤独吧，滑着滑着，看到触动内心的句子，眼泪就控制不住的涌上来。陌生人，天气冷了就多穿点，胃不好，就别吃辣的东西。想哭就哭吧，累了就听听歌，戴上耳机，坐在你爱的地方，你会发现生活也许并没有你想象中那么多烦多痛。你爱的人也没有多在乎你，有的只是你心中那片向往的生活。我想你应该很孤单吧，一个人缓慢翻着看着陌生人的评论。而这一秒，你正好看到了我这篇文章，这一秒你是属于我的。所以，不如留下点什么吧，至少证明你来过。,3月31日 14:24  ,上海
🎀,耽误大家一秒可以嘛，今天是我生日,6月30日 08:29  ,广东
睿智,夜色渐浓，天边微暗，独坐窗前，思绪万千。抬首仰望，银河灿烂，月影未现，心中微叹。若月亮没来，星光犹在，点点繁烁，洒满人间。清风徐来，拂过心田，拂去尘埃，留下清欢。若月亮没来，思绪如潮，涌上心头，浮想联翩。遥望远方，山河无眠，心有缱绻，望若初见。月隐云深处，风来寄相思，心随夜静谧，情在梦中寻。唯愿心中，明月常圆，星河璀璨，万事皆安！,6月11日 13:20  ,黑龙江
,我认为谈恋爱就要结婚，上了床就要负责，一个人只能和一个人暖昧，一个人就是不能吃两个人的菜。谈恋爱不是儿戏，在这个快餐式爱情的时代下，我仍然抱着结婚的结果来谈恋爱，与这个时代格格不入，我只知道，我仍会坚守着我的底线，我的家教和思想告诉我，如果你脱了一个女孩的衣服，就要为她穿上婚纱，即使这个时代变了，我也要一往无前，现在的社会一顿酒局，就可以带一个妹子回家，两个小时就可以到另外一个城市，三言两语就可以成为挚友，认识两三天就可以成为男女朋友，辛辛苦苦维持了几年的感情，可以因为一件小事而崩塌，我讨厌这样的社会，这是一个花钱就可以买到爱情的年代，领一张证就可以成为妻子，微信一删就是永别,4月7日 21:35  ,河南
♻️魅音♻️,这首歌的旋律有着独特的魅力，营造出一种或浪漫、空灵、带有某种情绪氛围的感觉。歌手的嗓音传达出细腻的情感，让听众能够感受到歌曲中所蕴含的故事或情感线索。,7月1日 09:56  ,广东
Maggie 麥,有这样一首歌，告诉你这个世界可以简单，可以解开心里的结，可以卸下背上沉重的包袱，最重要的是你自己怎么想。就好像是一个人老朋友，拍拍你的肩说，嘿，听我说，没有那么糟糕，你还拥有你自己。旋律抓人的同时歌词也很细腻戳人，像是一条纽带，将我们这些向往自由自在的的灵魂串在了一起，发出阵阵共鸣。我作为音乐人也很喜欢这种表达悠然自得的主题，欢迎听《野草的呼唤》，看向天空，迎着风吹，我们像野草一样快乐摇摆。,4月29日 12:52  ,广东
沙里,这首歌恰到好处，用旋律写景，用说唱写实。景物最能打开我们的想象力，拉扯出我们自己的情绪，作为一名词曲人，我很喜欢旋律的部分，歌手的表达也很有情绪。“若是月亮还没来，路灯也可照窗台”，歌词温暖，安抚人心，我能感觉到如果是正好碰到一些糟心事的朋友听到这首歌会得到很大的鼓励。同时我也想到了自己的歌《每一个我抱紧每一个你》，也是有旋律有说唱，如果说音乐的作用，那就是分享创作者的情绪，并尝试和陌生的人共情。,4月28日 10:31  ,四川
胡碧云,"怎么说呢？“月亮还没来，路灯也可照窗台”，多么洒脱坦然的自洽。当整个世界都在鼓吹理想与梦，我们需要这样的声音告诉我们静下心来适应平凡，因为这才是真真实实的生活。当目标挂在前方，我们给予所有的愿望和期许，其他很多东西都不能满足我们的欲望，快乐似乎变成了一种很难的事。然而被忽略的当下风景才是生命最珍贵的组成部分，也可以很美很让人沉醉。就做自己吧，你就是你的当下，像王宇宙老师说得一样，收获自己独一份的美好，可以听听我写的《real me》,通往平凡的路都要自己过，只要对这美好的世界保留着真挚的爱，就不负当下，不负年华！",4月9日 14:30  ,四川
ㅤ,讲真的，我经常不敢相信自己已经二十多岁了，身边的人都在往前走，恋爱，工作，谈婚论嫁，只有我好像还停留在十年前的时光里，喜怒哀乐仍然在我的脸上，时间让我长了年岁，却没有让我成为一个合格的大人。总在被一些小事影响情绪，我好像还没准备好，就到了这个需要懂事的年纪。我以为我的二十多岁，会去看山河大海，落日余晖没想到，到了谈婚论嫁的年纪，我还在找自己的路上。,2月29日 13:44  ,山东
