Username,CommentContent,Time,Location
米苏ღ.,点赞有特效Q 音你有版权的样子真帅！,7月1日 10:02  ,广东
米苏ღ.,"这首《西海情歌》创作的背后正是源于一个真实的故事：美丽寂寥的可可西里迎来了一对情侣，他们是刚刚大学毕业的瑛和勇儿。来“生命禁区”做志愿者是需要很大的勇气和毅力，勇儿在条件艰苦的陀陀河观察站，为了怕心爱的姑娘担心，勇儿每次见到瑛时总是聊起自己工作中的趣事，对艰苦的条件只字不提。这样一对相爱的人在可可西里度过了一段相互思念的时间，但就在志愿者工作即将结束时，勇儿却牺牲在收集资料的路上。刀郎听到这个故事后感动之余写下了这首歌，也许每个喜欢刀郎的歌迷都曾听过很多遍《西海情歌》，但若不知道他们伟大而平凡的爱情，那就理解不了“自你离开后从此就丢了温柔""是多么的刻骨铭心。",7月1日 10:08  ,广东
米苏ღ.,记得以前有很长一段时间我都以为刀郎是新疆人，却不知道他是四川的。听他那苍凉的声音，听众仿佛被带到了异域的土地翱翔，感受到的是一种质朴、一种粗犷、一种深情、一种热烈、甚至还有淡淡的忧伤，他用他独特的嗓音、直白的歌词和深沉的情感，述说着男人们的心声和执着，诠释着茫茫戈壁的空旷与荒凉，演绎着来自那方神秘土地的独有风情，展示了大西北人民特有的粗犷豪迈的性格……,7月1日 10:07  ,广东
彼岸,2024.7.1今天刀哥版权回归有多少人在听的☞,7月1日 19:20  ,江苏
雷锋欧巴,全程三个多小时从头看到尾，手机发烫的不行,8月31日 00:31  ,新疆
倚荷聽雨翁,创作背景瑛与勇儿都是大学学生一同报名参加了环保志愿者，一同来到零下40摄氏度的可可西里因高寒缺氧而被称为“生命禁区”。勇儿被安排在条件艰苦的陀陀河观察站，勇儿却牺牲在收集资料的路上，这是在可可西里第一个牺牲的志愿者。刀郎在一次采风中，听到了流传在西海的这个故事，他感动之余为瑛和勇儿的爱情故事写下了《西海情歌》。,2016年10月24日 12:32,暂无数据
阿文,在最辉煌的时候选择隐退，选择往祖国的最西部支教，试问，哪位歌手有这样的情怀，这样的胸怀。,2016年11月5日 21:35,暂无数据
peng,想不到如今还有这么多的人喜欢刀郎的歌，虽然他已退隐了好多年，但他的歌声已深深地印在了我们的心中。。。沧桑与高亢嗓音，灵动美妙的编曲，融合了新疆乐与中原乐的音乐元素，旋律略带悲伤却不浮躁，让在这个充满着浮躁与躁动不安的我们有一处心灵栖息的地方，这足可以影响着一个时代，自己喜欢的会一直喜欢一直听，经典永远不会过时,2016年7月4日 13:29,暂无数据
宁天,艺术是为人民服务的，刀郎自写歌词，自谱曲，自唱，是真正基层的声音，很接地气，有格局。好听，有共鸣。支持他！一个把心灵和声音贴近人民的人！,2017年1月12日 01:24,暂无数据
将心比干,刀郎歌曲的特点，虽时光久远，却源远流长。是否不止我一个人，在作单曲循环？😁,2017年1月12日 09:56,暂无数据
云端看雨,不管我换了几部手机，都会下载这首歌，百听不厌的经典。悠扬而又苍凉的伴奏，婉转凄美的歌词，沙哑清凉的嗓音，说是刀郎的巅峰之作应该是当之不愧了！,2016年9月11日 23:07,暂无数据
寒江雪,这首歌听了好几年了，百听不厌。唯美中带着凄凉忧伤让人痛彻心扉。把曾经相爱却不能相守的恋人表达得淋漓尽致。,2016年7月1日 07:36,暂无数据
不忘初心,这是一个真实的故事。故事的男女主人公正是一对花季年华的情侣。他们都是大学生，他们牵手走进了冰天雪地的可可西里，他们想把最美好的青春挥洒在这片热土，他们约定做完最后的工作双双返回温暖的家。可是，他却牺牲了，再也没能离开这片冰天雪地的土地。这是牺牲在可可西里第一个的志愿者……他的名字叫勇儿。刀郎在一次采风中，听到了流传在西海的这个故事，他感动之余为瑛和勇儿的爱情故事写下了那首《西海情歌》。🙏🙏🙏🙏,2017年4月2日 19:47,暂无数据
希¹,每次和我老公吵了架！就单曲循环这首歌！听着听着就原谅他了！听着听着就想他了！听着听着就更爱他了,2017年2月24日 07:58,暂无数据
上善若水,歌老了，哥也老了，歌还是当年歌，可哥以不是当年的哥，歌依然陪着哥，哥依然喜欢歌！！！,2020年5月2日 05:37,暂无数据
竺海,02年的零零后，竟然爱上了这首歌感觉一种苍茫悲壮的西域爱情，凄美的感动,2020年2月27日 12:07,暂无数据
胡歌,19年生意亏损，感情不顺，负债一百多w，2020年借各位陌生人的运气打个翻身仗好吗？,2020年5月9日 13:52,暂无数据
初心,爱情是两颗心的相互碰撞，单靠一个人努力，另外一方无所回应，爱情的火苗不可能成长壮大，爱情的花朵也不可能结出丰硕的果实。因此，在寻找爱情时，要找一个与自己的道德观念、理想、信仰追求相似的人。尽管这样的爱情得到的不易，适合自己的伴侣迟迟没有出现，也应该对真爱抱着坚定而执着的信念，做到“宁缺毋滥”。因为不适合自己的爱情，不仅不能给自己带来幸福，反而会浪费自己的青春和感情，给自己的心灵造成伤害，会使自己丧失对爱情的感悟力，使伤痕累累的我们没有信心再去尝试真正的爱情，从而错过最爱，这不是最大的悲剧吗？,2020年8月15日 19:10,暂无数据
牧心,"瑛与勇儿都是南方C市某大学的学生。那一年,他俩一同报名参加了环保志愿者,一同走进安睡中的美丽寂寥的可可西里……瑛所在的藏羚羊观察站在人比较多的不冻泉,勇儿被安排在条件艰苦的陀陀河观察站。巍峨的雪山下面是茫茫戈壁，光秃秃的丘陵在灿烂的阳光下显得分外刺眼。可可西里，因高寒缺氧而被称为“生命禁区”。观察站只有干净整洁的一顶帐篷 ，给人最强烈的感觉却是“空”和“冷”：除了床，什么都没有；进到里面，潮气和寒气直逼骨髓，让人无法想像在最低温度可达零下40摄氏度的可可西里，这样的条件该怎么住人。每次勇儿到瑛那里去汇总报表时,总是给瑛讲许多趣闻,从来没有提过一个苦字。",2017年1月18日 08:35,暂无数据
໑ຼₒ₂₃ღ᭄快乐的小鱼儿꧔ꦿ,李宗盛唱的是故事，林忆莲唱的是过去，梅艳芳唱的是灵魂，刀郎唱的是情怀，韩红唱的是天籁，张国荣唱的是我的上半生，张学友唱的是天赋，刘德华唱的是努力，罗大佑唱的是味道，我们……听的是自己,2020年10月27日 12:28,暂无数据
自渡,2024，9，30,11:59  ,广东
💤,,11:33  ,内蒙古
Nana,记得那时候还是用影碟机，爸爸经常放光盘听歌，听得最多的就是刀郎的歌，那时候听就很喜欢，现在听依然还是那么好听,11:07  ,贵州
梦中草原,经典老歌,09:30  ,贵州
子衿。,还记得你答应过我，不会让我把你找不见,08:41  ,北京
小旭,嚎庭,07:44  ,山东
我很好。,每次听这首歌都是对西北满满的画面感,07:43  ,山东
シ拒絕ぃ,不是不收费吗，怎么下载收费了？,07:29  ,山西
♨️这个杀手不大🚸,没有人不遗憾，只是有人不喊疼，我本以为人生最大的遗憾是所爱隔山海，山海不可平。后来才知道，海有舟可渡，山有路可行，山海皆可平，难平是人心。即便是盛世长安三万里，不也处处写尽了遗憾吗。无人不冤，有情皆灭，一切都在发生变化，且都难遂人心。就像人字有两撇，一撇写进前半生，写的是执着，一捺写进后半生，写的是释怀.,07:05  ,河南
🐾月梦星甜,听了感动,07:01  ,广东
不悲不喜,睡不着寂寞的人。不晓得说点什么,05:46  ,未知
