Username,CommentContent,Time,Location
惠茜,盘点比较有意思的三首歌名1.周杰伦《青花瓷》2.周传雄《青花》3.冷弦《青》，你们觉得那首歌好听？,9月2日 20:40  ,新疆
青花信物,有在2024年4月份听《青花》的吗,4月30日 19:34  ,广东
行者为你而来,2024快过去一半了，还在听青花的举手,6月29日 16:57  ,安徽
释相与云,“打听到了吗，天蓬元帅投胎成什么了？”“好像是只猪”“好，那我也要投胎成蜘蛛”,8月22日 12:46  ,山东
清风,听说当年跟青花瓷同一年出来的，生不逢时，这歌也很能打，不比青花瓷差，放现在碰到合适时机也是王炸,6月16日 16:09  ,浙江
joe,"岁月的青瓷,裂痕里开出花来。曾经以为永恒的,终究被时光冲刷。但那份深邃的蓝,却永远镌刻在心底,成为最珍贵的纪念。",9月27日 14:51  ,广东
MR.KING,《青花》不仅展现了中国传统文化的独特魅力，还深刻描绘了爱情中的承诺、离别与坚守，让人在旋律与歌词中品味到无尽的情感与哲思。周传雄那略带沙哑却饱含深情的嗓音，如同一位老者在缓缓诉说着一段尘封已久的爱情故事。作为一位音乐人，从《青花》中我学到了许多宝贵的创作方法，《青花》在音乐风格上实现了古典与现代的完美融合，特别是融入了摇滚元素，使得歌曲更加独特而富有层次感。在创作过程中，可以尝试将不同风格的音乐元素进行融合，创造出独具特色的音乐风格，以满足不同听众的审美需求。歌曲在情感表达上层层递进，从初识的甜蜜到离别的哀愁，再到对美好事物的坚守与执着，情感层次丰富而深刻。,9月13日 10:52  ,宁夏
曹真铭,人总会在不同阶段反复爱上周传雄。他的眼里常含悲伤，声音却有种熨帖了灵魂的温暖和舒适，有一种念旧怀远之感。《青花》这首歌就像是在寒冷的夜晚，你推开门发现他在房间里架了一炉火煮着东西，你以为是酒，却是慢慢溢出香味的茶。房间逐渐布满热气，茶味不浓不淡，他含笑着跟你娓娓道来，像个好久不见的老朋友。“恍恍惚惚已经隔世”，感觉又回到了高中刚入学的那个盛夏。特别对80、90的人来说，我们这一代人，成长历程犹如一部跨越时代的纪录片，见证了旧与新的激烈交织。我想，总有一句歌词在诉说你的故事，总有一段旋律能容纳你的情绪，同样作为音乐人的我，欢迎大家来听听我写的歌，献给所有的朋友们。,9月13日 16:22  ,江苏
张广森,《青花》宛如一幅细腻而深情的音乐画卷。歌曲的旋律悠扬动人，开篇的音符仿佛是轻轻叩开记忆之门的钥匙，周传雄那独特而富有磁性的嗓音，将歌词中所蕴含的思念、眷恋和无奈诠释得淋漓尽致，让人不禁沉浸其中。整首歌曲的编曲精致而大气，与周传雄的歌声相互呼应，共同营造出一种宏大而又细腻的音乐氛围，让人在聆听的过程中，仿佛经历了一场情感的洗礼。现在的我也是一位原创音乐人，坚持写歌发歌，尽管并没有多少人听过……如果没能实现我的梦想，也许我会遗憾，但绝不会后悔。如果您看到了这条评论，欢迎来听听我写的歌要是觉得我的歌还不错，可以随手点个关注~ 非常感谢您对原创音乐的支持！！！最后祝大家心想事成！,8月13日 21:29  ,江苏
小琴,周传雄对这首歌的演绎，让人感觉他就站在耳边，带着你一起沉浸在那个特别的时刻里。歌曲中表达的情感充满坚持和承诺，让人感觉爱情中的理智和热情并存。歌词充满了惊艳和痛楚，就像一颗生长在石头缝隙中的野花，充满了坚强和执着。这首歌在旋律中镶嵌了一颗瑰丽而悲伤的心，充满了摇滚的力量，是一首充满了质感的流行歌曲。💃🎶,2023年4月27日 20:09  ,广东
为你的眼眸干杯,古有青花，以瓷为名；今有青花，以爱为名；歌中青花，以信为名。青花，从古美到今的一个词，歌手周传雄借古喻今，穿越时空般地以青花歌唱爱情，土耳其偶遇的男孩送他的项链，让他得以实现夙愿，创作出一首关于信物的爱情歌曲，男孩送的项链便成了青花信物。,2021年2月2日 23:59,暂无数据
饰非,当你认真谈过一段感情，最后却分手了，后来你会很难再去喜欢别人，你不想花时间也不想去了解。就好比你写一篇文章快写完了，但老师说你字潦草把作业撕了让你重新写一遍。虽然你记得开头和内容但你也懒得写了，因为一篇文章花光了你所有精力，只差一个结尾，你却要从头来过。,2016年8月7日 15:31,暂无数据
你、我擦不掉的曾经,都说喜欢周传雄的歌的人，性格必定忧郁，压抑，才华脱俗，总是把爱恨放在心底！！！,2017年4月9日 09:01,暂无数据
岁月生香,有人说，分手以后就不要再联系，复合只有一种结果，那就是重蹈覆辙,2016年12月25日 22:41,暂无数据
Stein,有多少人当年信誓旦旦说要嫁给爱情，最后成全了适合。青花信物，埋在了过去！,2017年4月15日 17:48,暂无数据
张二岁😏,董卿写过一段话 无论我们最后生疏成什么样子 曾经对你的好都是真的 就算终有一散 也别辜负相遇 希望你不后悔认识我 也是真的快乐过 如果能回到以前 我会选择不认识你 不是我后悔 是我不能面对现在的结局。愿你别来无恙，愿你们一切安好。生生不见 岁岁平安，平平安安大概是我最美好的祝福了吧哥哥﹍,2021年12月5日 19:09,暂无数据
心寄流年,周传雄的这首歌 曲调没有过多华丽 却有种悲伤的情怀时时在耳畔环绕 忧郁的词 字字入心  “ 紧紧握着青花信物 信守着承诺“  是一种 怎样的情怀。只有经历过 才能吟唱出这样的味道。喜欢这首歌。。。,2016年12月21日 22:06,暂无数据
可,我98年出生，小时候跟爸妈在夜市摆摊，旁边卖磁带光碟的老板经常放，算是刻到童年里的歌。随便一说，听到2002年的第一场雪，就是要收摊回家了。,2023年5月26日 22:24  ,浙江
蜉蝣,"小丑在殿堂,大师在流浪",2021年2月1日 01:25,暂无数据
林显潘,恋爱的意义是互为支撑，是成为对方的力量，是成为彼此的避风港。在这个复杂的世界里，遇到一个相互喜欢且能同甘共苦的人真的很不容易，不亚于一次人生的救赎。,2023年5月25日 15:23  ,广东
发呆呆呆羊🐏,好听,12:01  ,贵州
k,我幸福的时候，真的不喜欢听歌,11:20  ,广东
T.,爱你 彤,11:07  ,山东
云雾,各自安好,10:46  ,内蒙古
Silence晴,记得这首歌跟周杰伦的青花瓷是同一年的，风格不同，不过都好听,10:39  ,北京
-,着凉了吗,09:27  ,北京
,🔱我来助你,09:24  ,河南
Gik-乄卝,你的歌迷一直都在,08:46  ,四川
Yuanzineng,好听,08:24  ,海南
花溅泪,遗憾无法说,08:10  ,湖南
小猫心事,紧紧握着青花信物信守着承诺,07:32  ,四川
༄皮卡丘の丘卡皮࿐,这歌还是火了我心中的大宝藏啊,07:20  ,云南
林yoyo,求时光卷轴一张 没有也没关系,06:50  ,广东
新,·一夢浮生·一紙余生,06:28  ,山东
张校长,萍,06:17  ,海南
阿叔,相处那么久相处那么久没见过你低头,06:08  ,江苏
心岂々,木性凋零，申月得水以润，得火以暖,04:34  ,江西
孟鑫,“打碎信物，取消来世~”,02:14  ,四川
就是爱音乐,好难过,00:53  ,青海
情书𓆡,荔枝味qq糖真好吃,00:30  ,安徽
lucky.,如果人生反着过就好了，遇到的每个人都是必然，离开的每个人都会忘记,00:16  ,山东
来自山顶的宝贝,自9.8上海站恍惚到现在,9月29日 23:57  ,安徽
7zzz7,标记,9月29日 23:40  ,上海
Ms.萌䒕,00:00,9月29日 23:31  ,广东
苏黎世.,谢谢小纸条,9月29日 23:27  ,江西
殁,如果一个男人，他在跟你分手了以后，他永远也不会联系你，不会主动给你打一个电话，问你的情况;那么可以说，在他的心中，已经决定死了心，绝了情;如果你还是放不下依然厚着脸皮，给他打电话，联系他的时候，他还是不理你，不在乎你，超级冷漠并且刀刀扎;那么可以肯定地说，在他的心中，你已经是一个陌生人;他已经不想，再跟你有任何的瓜葛，已经不想再跟你之间，再有任何的未来。,9月29日 23:13  ,上海
一只,刚刚刷屏的反动小仙女，是我举报的，你应该被平台删全部言论了，禁言或者封号了,9月29日 23:12  ,未知
H  L,加油陌生人,9月29日 23:11  ,广东
샤오샤오,向经典致敬🌟，永远的经典永远不会过时！(ღv)ღ*｡o♡,9月29日 23:11  ,内蒙古
非洲大老鼠,我们已经不可能了，他什么都比我好，我凭什么去跟你表白，凭这这张普通的脸还是这该死的内向自卑,9月29日 23:10  ,湖南
WEINI,好听耶！,9月29日 23:08  ,辽宁
没有雨的世界好悲哀,等你读懂我的隐喻啊 我早死了,9月29日 23:08  ,山东
杨小芸,我的爱情……,9月29日 23:07  ,广东
0.0魔亦有道༆,一首青花，一首青花瓷，天花板啊,9月29日 23:04  ,上海
0.0魔亦有道༆,遗憾无法说，惊觉心一蓑,9月29日 23:03  ,上海
捏捏小梨,哼,9月29日 22:54  ,河北
捏捏小梨,哼,9月29日 22:54  ,河北
lD铭牌小凝^🎸,青花，淡雅自然，有深沉的魅力，歌声中的感觉好像是虽是花，虽美丽，但是有一种淡淡而漫长悲伤，,9月29日 22:51  ,河北
告白气球,好久不听，又火了？￼,9月29日 22:48  ,江苏
洛可可（暂退）,在听的赞我，接下来的日子开开心心，顺顺利利,9月29日 22:44  ,福建
👑,热歌榜排行第一耶,9月29日 22:32  ,北京
½³,,9月29日 22:10  ,广东
½³,,9月29日 22:10  ,广东
奔赴在路上的小乖。,你的温柔在ta眼里值多少钱？,9月29日 22:04  ,河北
荔一茗,hhhj,9月29日 22:04  ,山东
㍿,布什戈门，这首为什么突然🔥,9月29日 21:58  ,重庆
甜酱芝士✨,好听,9月29日 21:56  ,四川
逐花（互）,落寞的心，逝去的情，淡去的缘。如今，梦已醒，雾亦散，半醉半醒亦潇然。你我情缘，抵不过一世云与烟。我们的爱若是错误，愿你我没有白白受苦。,9月29日 21:53  ,北京
烟雨🌧,青花是我最近单曲循环了很多遍的一首歌，不知道为什么，听这首歌总是能让我想到很多东西，或许关于过去，或许关于未来，有时候会莫名其妙感觉到难过，有时候也能让我更专注于要做的事。总之，是一首很好听的歌，值得花时间去慢慢体会。,9月29日 21:53  ,陕西
韶华博弈,我现在才听到这首歌，才发现这首歌，没想到已经是10多少前的事了,9月29日 21:46  ,山西
追龙在天,《青花》爆炸了,9月29日 21:39  ,贵州
余生,你的回头已经划上了沉默,9月29日 21:34  ,陕西
牛仔,恍恍惚惚，以经隔世,9月29日 21:28  ,吉林
YING,白天睡觉晚上EMO,9月29日 21:24  ,天津
往,小刚老师 你已经在网上恍了两个月了,9月29日 21:22  ,江苏
欢乐马,这歌这么好听么,9月29日 20:55  ,山东
罗世辉,最近被这段话治愈了你跑得快 22岁有个家 身边全是感叹你跑得慢 30岁还在路上追求梦想有的人为了车房拼了一辈子有些人买辆摩托车走遍大好河山并不是所有的人都能早上七点钟起床的也别拿一碗饭来衡量一个人胃口的大小有的人喜欢狼吞虎咽有的人喜欢细嚼慢咽允许别人做别人 也允许自己做自己一岁有一岁的味道 跟着自己的心就好不是所有选择都必须要做正确的选项只要你想 你可以选择你喜欢的选项沿途的花会一直开 以后的路也是,9月29日 20:55  ,广东
白菜,金曲捞知道的，张云京唱的也好听,9月29日 20:48  ,江西
亿歆栀/.,快国庆了  一人一句国庆快乐吧,9月29日 20:42  ,江西
多喝热水,我看青花还能再霸榜一个月,9月29日 20:41  ,安徽
,七万人在听。知道这首歌的含金量了吧,9月29日 20:39  ,广东
失眠小羊,“你还和当初一样喜欢我吗”“我不知道”,9月29日 20:34  ,河南
cityhunter,相濡相忘，都是疼痛。谁知这样的词后来竟成了现实。,9月29日 20:19  ,江苏
Xuan,哈哈哈哈,9月29日 19:29  ,浙江
夜游神🐟,真神归位,9月29日 19:02  ,江苏
§风之寂§,这一世，过得是个啥,9月29日 18:55  ,江苏
本尊,晚高峰来打卡,9月29日 18:42  ,江苏
不过风霜些许,自己喜欢的歌又火了,9月29日 18:35  ,浙江
溯,经久不衰,9月29日 18:35  ,四川
芳芳,承载着许多人的回忆,9月29日 18:31  ,山西
.,遗憾无法说。,9月29日 18:31  ,广东
知足常乐,我不知道这首歌怎么突然就二度火起来了，前两年听的时候基本都没人用这个当bgm的。今年突然梅开二度，总之挺高兴,9月29日 18:14  ,河南
仔仔,打碎信物，取消来世的时候我心一酸，紧接着就是“惊觉心一缩”，这感受太真实了,9月29日 17:43  ,湖北
pretrice,青花牛逼！霸榜！,9月29日 17:30  ,四川
本尊,好几首放一起循环播放,9月29日 16:50  ,江苏
Pei,祝好…,9月29日 16:38  ,安徽
这世界那么多人,上海在欺负我,9月29日 16:33  ,上海
大耳朵张图图,好听,9月29日 16:13  ,福建
双镜结局,我都是循环播放的好听,9月29日 16:13  ,江苏
HK-,听的心有感觉,9月29日 15:33  ,广东
本尊,无法形容 就是第一遍就喜欢,9月29日 15:08  ,江苏
逍遥王,这首歌充满了诗意和哲理，可以理解为：如果情感如同墨烟中绽放的青花一般深邃而美丽，那么我们又何必畏惧那些短暂易逝的春日繁华呢？它传达了一种超越时间流转、注重内在情感价值的态度，鼓励人们珍惜并欣赏那些深刻而持久的情感，而非仅仅追求表面的华丽与短暂的欢愉。同时，也暗示了情感的深邃与美好，如同墨烟青花一般，需要细细品味和欣赏。,9月29日 14:57  ,广东
未,喜欢这首歌的的时候是一种感觉，这种感觉我是不能描述出来的，看似是以青花为题，实则暗藏悲伤，爱情来的很晚，很渴望爱情，回头的那位故人也许经常想起，会有遗憾，但是我不为爱情随意选择，我也会同样“紧紧握着青花信使信守着承诺。”至少对得起自己这一关了。,9月29日 13:38  ,浙江
Mumma,我步入红尘，只是为了与你再次相逢，曾几何时，我相伴在你身旁可惜，君必要离别与我谁曾想再度能与君想见,9月29日 13:34  ,四川
Anlhony,遗憾无法说,9月29日 13:22  ,未知
盛 嗄ヽ,无论多久，听着依旧很好听，这或许就是所谓的经典。,9月29日 13:05  ,北京
吴天天,写的真好,9月29日 12:25  ,上海
小jin又困ˡᵃ💤,“爱会让人变的温柔与勇敢.”,9月29日 12:20  ,江苏
Logan,开始听这首歌还是用的复读机+盗版磁带,9月29日 11:38  ,四川
,01:48,9月29日 11:32  ,重庆
hahahhah,小刚老师，你还是有新粉的，我去年开始喜欢你的,9月29日 11:16  ,北京
木兰妃,这都什么时候的歌了  怎么又火一遍？？,9月29日 11:11  ,河北
记忆最忠诚,01:03,9月29日 10:56  ,河北
本尊,最喜欢青花,9月29日 10:55  ,江苏
这世界那么多人,澳大利亚在欺负我,9月29日 10:42  ,上海
◡̈⃝,你的回头划上了沉默,9月29日 10:07  ,重庆
就是爱音乐,还好青花比青花瓷出的早,9月29日 09:56  ,江苏
晚照,惊觉心一缩,9月29日 09:51  ,安徽
阿烨,是不是想到四妹,9月29日 09:11  ,上海
因斯罗,非常好的歌,9月29日 09:03  ,天津
潘艺翔,《青花》不仅展现了中国传统文化的独特魅力，还深刻描绘了爱情中的承诺、离别与坚守，让人在旋律与歌词中品味到无尽的情感与哲思。周传雄那略带沙哑却饱含深情的嗓音，如同一位老者在缓缓诉说着一段尘封已久的爱情故事。作为一位音乐人，从《青花》中我学到了许多宝贵的创作方法，《青花》在音乐风格上实现了古典与现代的完美融合，特别是融入了摇滚元素，使得歌曲更加独特而富有层次感。在创作过程中，可以尝试将不同风格的音乐元素进行融合，创造出独具特色的音乐风格，以满足不同听众的审美需求。歌曲在情感表达上层层递进，从初识的甜蜜到离别的哀愁，再到对美好事物的坚守与执着，情感层次丰富而深刻。,9月29日 08:54  ,安徽
💋💋💄刘晓燕👙👠,上学时候喜欢的小刚老师，现在听还是喜欢😄,9月29日 08:12  ,北京
听一万遍青花,可惜思念没有尽头，我们也不会再重逢,9月29日 07:53  ,未知
٩(๑❛ᴗ❛๑)۶,最近在刷大时代，我在想阿孝一辈子都为父亲所想，但他主动从顶楼跳下，当他回想起这三十几年的走马灯时，可否会想到后悔将方婷扔了下楼？他在阎王爷那遇到方婷，遇到方进新，我真好奇他会对他们说什么。,9月29日 07:21  ,美国
南初°,歌名挺像青花瓷，也没有什么不同,9月29日 07:16  ,新疆
3.9,遗憾无法说。,9月29日 05:00  ,河南
3.9,遗憾无法说。,9月29日 05:00  ,河南
听一万遍青花,紧紧握着青花信物，信守着承诺，遗憾总在失忆中度过。,9月29日 04:54  ,未知
阿宇,3：00,9月29日 03:00  ,湖北
这世界那么多人,澳大利亚,9月29日 02:58  ,上海
这世界那么多人,聊天记录,9月29日 02:16  ,上海
自逍遥,这首歌我就知道他必杀回来,9月29日 02:11  ,广东
白,花开花谢 缘聚缘散 谁又能记住我几年呢 走到最后终究还是会分别 与其分别不如彼此一开始就不联系,9月29日 02:08  ,辽宁
Embrace.,DTS＋臻品音质，带给我的不只是音乐上的享受，更有来自耳边的低语，戴上耳机，打开QQ音乐，在DTS自研音质加持下，仿佛置身现场，最喜欢悠扬舞台，给我的感觉就好像置身现场，和歌手一对一交流，音乐软件有很多，但我最喜欢的，只有QQ音乐，希望你能越做越好，我会一直陪伴你，共勉！03:01,9月29日 02:05  ,江苏
心旷神怡,青花黄昏2013听的，等一分钟2007年听的，都有种穿越时空的感觉,9月29日 02:01  ,山东
东木,我一个九零后第一次听小刚到这首歌，还以为是新专辑,9月29日 01:47  ,广西
这世界那么多人,怎么了？,9月29日 01:13  ,上海
姚文瑞,这首歌唱出了爱情中的承诺，和离别于坚守，周传雄他有人生经历，所以才能唱出这种味道，这首歌讲的就是一段凄美的爱情故事。,9月29日 01:02  ,未知
后备箱,遗憾无法说,9月29日 00:59  ,未知
7,我讨厌你,9月29日 00:46  ,福建
神雕大侠,,9月29日 00:35  ,江苏
破灭,666,9月29日 00:34  ,江苏
神雕大侠,太好听啦！！！霸榜一个多月啦！！！,9月29日 00:32  ,江苏
月牙.,遗憾无法说,9月29日 00:03  ,吉林
🙃,小张和小丽来的,9月29日 00:01  ,北京
顺手牵阳,现在还有人在听吗,9月28日 23:46  ,美国
Joker,流光容易把人抛，红了樱桃，绿了芭蕉。,9月28日 23:43  ,河南
晔,哎，文字的表达总是冰冷，好意被恶意解读，了解多了，不说都猜到了，她有时候真的傻的可爱,9月28日 23:31  ,湖北
孫,你终于不再是一个人了  你也找到了一个很爱你的人陪着你度过余生  我应该为你高兴 你的婚礼我没有去   或许是我没有勇气  或许是我怕看见你太幸福  但是我有看见你家窗户上的红双喜  看见了红彤彤的热闹  不知为什么那天显得我特别的孤独   好在我挺过来了  这一天在我心里已经深深的帮你放下了  婚礼上对她的承诺  对她家人的承诺  娶了她就什么都不要再想了  过好日子  往事就让它随风去吧   愿许秋风知我意  散我心中意难平  愿君安好,9月28日 23:28  ,安徽
这世界那么多人,怎么了？,9月28日 23:25  ,上海
我看几分像从前,越听越好听,9月28日 23:14  ,广东
me,能说一下你最爱的那个人的名字吗？,9月28日 23:05  ,四川
⁠​⁣　⁣​,喜欢,9月28日 22:56  ,山东
⁠​⁣　⁣​,最喜欢的歌之一,9月28日 22:56  ,山东
云深不知处,实至名归周传雄,9月28日 22:53  ,四川
涵总.,当我再次将目光移向你时，不是喜欢而是后悔,9月28日 22:48  ,四川
余生长醉不复忧,,9月28日 22:25  ,江苏
路真黑,紧紧握着青花信物信守着承诺,9月28日 22:18  ,安徽
托斯卡纳,比周XX 的国风作品更有意味,9月28日 22:06  ,四川
堂·吉诃德,小时候以为的粗粮，现在品起来都是珍馐,9月28日 22:01  ,海南
小石,#这一刻直接封神# 01:38 歌手的声线稳定而富有感染力,9月28日 21:43  ,广东
随枫飘零,梦,9月28日 21:41  ,江苏
@你好、张先生🌱,你的回头、划伤了沉默,9月28日 21:39  ,新疆
Vincent，杨,10多年了,9月28日 21:38  ,四川
驰,太好听了,9月28日 21:23  ,广西
云天河,热搜榜占据了这么久确实有点东西,9月28日 21:09  ,四川
失眠小羊,人这辈子最没用的一句话就是“你还爱我吗”,9月28日 20:56  ,河南
Nocturne,想你啦 还有祝你幸福꒦ິ^꒦ິ,9月28日 20:53  ,云南
星云,17年前的歌，我在17岁那年听到,9月28日 20:34  ,山东
你真好骗,后来遇到的人再也走不进我的心里,9月28日 20:19  ,青海
